number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.7054862976074219,2020-06-12 12:59:16.631958,2020-06-12 13:00:41.085350,0 days 00:01:24.453392000,2.0324575378201006e-07,0.99,0.24525887341348876,constant,64,0.21783176833536688,COMPLETE
1,0.34764179587364197,2020-06-12 12:59:16.634413,2020-06-12 13:00:45.565173,0 days 00:01:28.930760000,0.07821181122355106,0.95,1.658478122117776e-05,linear,32,0.7137703436400885,COMPLETE
2,0.37776318192481995,2020-06-12 12:59:16.636088,2020-06-12 13:00:34.689354,0 days 00:01:18.053266000,0.00046426842014672676,0.999,0.008306062696746365,linear,256,0.8800631481098407,COMPLETE
3,0.4215567708015442,2020-06-12 12:59:16.638349,2020-06-12 13:00:44.966478,0 days 00:01:28.328129000,4.251669194617456e-08,0.98,5.7022569635728294e-05,linear,32,0.5599090594869349,COMPLETE
4,0.576560378074646,2020-06-12 12:59:16.640628,2020-06-12 13:00:34.811846,0 days 00:01:18.171218000,5.591156131735552e-07,0.999,5.943895120251223e-05,constant,256,0.7790354272672307,COMPLETE
5,0.5878695249557495,2020-06-12 12:59:16.643402,2020-06-12 13:00:45.560143,0 days 00:01:28.916741000,2.3413687060514602e-05,0.95,0.0009222375799586858,linear,16,0.4177709969365848,COMPLETE
6,inf,2020-06-12 12:59:16.646069,2020-06-12 12:59:39.907716,0 days 00:00:23.261647000,1.4674722227512945e-07,0.9999,0.050069164899405966,constant,2048,0.9705806998627413,COMPLETE
7,0.5606807470321655,2020-06-12 12:59:16.647984,2020-06-12 13:00:39.412557,0 days 00:01:22.764573000,0.001145343151126902,0.95,0.12751665100282675,linear,128,0.42236584853705694,COMPLETE
8,3.8295226097106934,2020-06-12 12:59:16.699189,2020-06-12 13:00:45.334088,0 days 00:01:28.634899000,2.2478353517699642e-07,0.995,0.8138642653409573,constant,16,0.13880628099249503,COMPLETE
9,0.4193080961704254,2020-06-12 12:59:16.700574,2020-06-12 13:00:41.443467,0 days 00:01:24.742893000,1.0013816366056892e-08,0.9,0.0004300233101459353,constant,128,0.7210326444399241,COMPLETE
