number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
0,5.21067476272583,2020-06-12 13:00:48.401323,2020-06-12 13:04:29.402875,0 days 00:03:41.001552000,128,0.99,0.002666883372512464,100000,0.5348470653591343,normal,False,False,COMPLETE
1,2.822220802307129,2020-06-12 13:00:48.411883,2020-06-12 13:03:47.001469,0 days 00:02:58.589586000,32,0.999,2.0693139979281902e-05,1000000,0.6017845023553606,adaptive-param,True,False,COMPLETE
2,3.6882293224334717,2020-06-12 13:00:48.419114,2020-06-12 13:04:06.140096,0 days 00:03:17.720982000,64,0.99,0.001249898535678131,10000,0.2382587931684469,adaptive-param,False,True,COMPLETE
3,5.882699966430664,2020-06-12 13:00:48.420160,2020-06-12 13:04:31.281345,0 days 00:03:42.861185000,128,0.9,0.020766474733365337,1000000,0.547837218070728,ornstein-uhlenbeck,True,False,COMPLETE
4,3.2735843658447266,2020-06-12 13:00:48.420560,2020-06-12 13:03:33.960245,0 days 00:02:45.539685000,16,0.9999,0.9421430085265402,10000,0.2915274699054373,adaptive-param,True,True,COMPLETE
5,1.7329504489898682,2020-06-12 13:00:48.432540,2020-06-12 13:04:30.010920,0 days 00:03:41.578380000,128,0.9,0.3078714628726059,100000,0.6994611281377401,normal,False,False,COMPLETE
6,4.7599968910217285,2020-06-12 13:00:48.442340,2020-06-12 13:04:32.987222,0 days 00:03:44.544882000,128,0.99,0.025400511353044206,100000,0.21701886164839235,adaptive-param,False,False,COMPLETE
7,2.8264710903167725,2020-06-12 13:00:48.448314,2020-06-12 13:03:17.594071,0 days 00:02:29.145757000,16,0.995,0.0002665072133979657,1000000,0.3864369316025178,ornstein-uhlenbeck,True,False,COMPLETE
8,2.7745044231414795,2020-06-12 13:00:48.490109,2020-06-12 13:03:30.770910,0 days 00:02:42.280801000,32,0.99,1.9368820130412853e-05,100000,0.9686831449007207,normal,False,False,COMPLETE
9,1.249428391456604,2020-06-12 13:00:48.500966,2020-06-12 13:03:09.541490,0 days 00:02:21.040524000,16,0.9999,0.00024171093854726683,10000,0.9140268074088557,ornstein-uhlenbeck,False,False,COMPLETE
