number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
0,0.5713614225387573,2020-06-12 13:04:35.483093,2020-06-12 13:05:49.589413,0 days 00:01:14.106320000,32,0.2,0.0006034542468585707,0.95,0.92,7.470141950589042e-05,32,50,COMPLETE
1,1.5813233852386475,2020-06-12 13:04:35.485702,2020-06-12 13:05:44.655226,0 days 00:01:09.169524000,32,0.4,0.0490903356888874,0.9,0.9,0.0001059281125619306,128,5,COMPLETE
2,3.011505603790283,2020-06-12 13:04:35.488055,2020-06-12 13:05:43.398021,0 days 00:01:07.909966000,128,0.3,1.9960515246236883e-05,0.9,0.92,0.0001404122064763965,128,5,COMPLETE
3,0.8700659871101379,2020-06-12 13:04:35.490219,2020-06-12 13:05:48.018515,0 days 00:01:12.528296000,32,0.4,0.044209465856200184,0.98,0.95,0.000756000747679458,32,20,COMPLETE
4,1.0897853374481201,2020-06-12 13:04:35.493041,2020-06-12 13:05:44.487253,0 days 00:01:08.994212000,32,0.3,0.02039109844175093,0.9,0.98,6.322522029280864e-05,128,5,COMPLETE
5,3.0187416076660156,2020-06-12 13:04:35.496042,2020-06-12 13:05:37.693480,0 days 00:01:02.197438000,256,0.1,2.83508547791368e-08,0.9999,0.95,0.4411592281206873,256,20,COMPLETE
6,inf,2020-06-12 13:04:35.498152,2020-06-12 13:04:44.162792,0 days 00:00:08.664640000,256,0.4,4.174109132020476e-08,0.995,0.9,0.9786126334184857,2048,10,COMPLETE
7,2.9994068145751953,2020-06-12 13:04:35.500630,2020-06-12 13:05:47.023631,0 days 00:01:11.523001000,64,0.4,0.0022116735567928743,0.95,0.95,3.409304322362483e-05,32,1,COMPLETE
8,1.1517689228057861,2020-06-12 13:04:35.513829,2020-06-12 13:05:44.899081,0 days 00:01:09.385252000,32,0.2,3.8951603073385325e-06,0.995,0.92,0.019665677288232746,1024,30,COMPLETE
9,0.8262798190116882,2020-06-12 13:04:35.516313,2020-06-12 13:05:46.208006,0 days 00:01:10.691693000,32,0.3,8.080197439278467e-06,0.995,1.0,0.002418495800301596,64,5,COMPLETE
