number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,0.5209220051765442,2020-06-14 12:24:12.095880,2020-06-14 12:24:18.394422,0 days 00:00:06.298542000,16,100000,0.1,0.995,20000,0.009209225155490892,small,,10,COMPLETE
1,0.62923264503479,2020-06-14 12:24:18.395140,2020-06-14 12:25:14.469386,0 days 00:00:56.074246000,256,1000000,auto,0.9999,1000,1.921165975741197e-05,medium,-100.0,100,COMPLETE
2,0.6852315664291382,2020-06-14 12:25:14.470172,2020-06-14 12:25:20.312793,0 days 00:00:05.842621000,32,10000,0.05,0.95,20000,2.2655846366566637e-05,medium,,1,COMPLETE
3,1.3281347751617432,2020-06-14 12:25:20.313597,2020-06-14 12:25:26.127079,0 days 00:00:05.813482000,16,1000000,0.5,0.9999,20000,5.032153752306311e-05,medium,,1,COMPLETE
4,0.3850402235984802,2020-06-14 12:25:26.127860,2020-06-14 12:25:57.284795,0 days 00:00:31.156935000,16,100000,auto,0.99,1000,0.024796914843620316,big,-50.0,10,COMPLETE
5,2.239685297012329,2020-06-14 12:25:57.285669,2020-06-14 12:26:03.351340,0 days 00:00:06.065671000,64,10000,auto,0.99,10000,8.544009383165993e-05,small,-100.0,1,COMPLETE
6,0.2915861904621124,2020-06-14 12:26:03.352387,2020-06-14 12:26:09.322522,0 days 00:00:05.970135000,256,100000,0.5,0.999,20000,0.011494196400307428,big,,1,COMPLETE
7,0.4901277422904968,2020-06-14 12:26:09.323434,2020-06-14 12:26:15.337688,0 days 00:00:06.014254000,32,100000,0.5,0.98,20000,0.011622974618502183,big,,10,COMPLETE
8,0.6243016123771667,2020-06-14 12:26:15.338663,2020-06-14 12:26:21.185860,0 days 00:00:05.847197000,128,10000,0.0001,0.99,10000,0.00011269711680133673,small,,300,COMPLETE
9,0.5939084887504578,2020-06-14 12:26:21.186793,2020-06-14 12:26:27.339888,0 days 00:00:06.153095000,128,10000,0.01,0.95,10000,1.556421180899162e-05,small,,1,COMPLETE
