#{"t_start": 1592130381.203736, "env_id": "widowx_reacher-v5"}
r,l,t
-0.866988,100,0.882439
-0.445741,100,0.898978
-0.356492,100,0.915792
-0.347022,100,0.932328
-0.457106,100,0.949013
-0.417792,100,1.167267
-0.564506,100,1.184154
-0.398247,100,1.201092
-0.545218,100,1.217851
-0.629429,100,1.234367
-0.461043,100,1.411155
-0.42248,100,1.427788
-0.463048,100,1.444617
-0.493147,100,1.461179
-0.382697,100,1.477668
-0.405653,100,1.661081
-0.379997,100,1.679514
-0.582693,100,1.698694
-0.620707,100,1.715983
-0.47885,100,1.73389
-0.436001,100,1.910208
-0.353397,100,1.927961
-0.391211,100,1.946304
-0.548401,100,1.963042
-0.424157,100,1.980009
-0.353422,100,2.164289
-0.511488,100,2.182097
-0.974456,100,2.200421
-0.418747,100,2.217437
-0.475951,100,2.233815
-0.373392,100,2.40739
-0.391185,100,2.424953
-0.544323,100,2.441994
-0.399939,100,2.459442
-0.434793,100,2.476377
-0.602208,100,2.658338
-0.4257,100,2.674948
-0.312273,100,2.691638
-0.415428,100,2.708274
-1.443479,100,2.724518
-0.427621,100,2.901877
-0.397808,100,2.918449
-0.643908,100,2.93468
-0.450703,100,2.951117
-0.431936,100,2.96742
-0.645616,100,3.140538
-0.40059,100,3.157979
-0.38415,100,3.174706
-0.465194,100,3.19138
-0.325366,100,3.20812
-0.456115,100,3.382433
-0.427117,100,3.399605
-0.549137,100,3.416489
-0.563566,100,3.434175
-0.454783,100,3.452125
-0.607003,100,3.631973
-1.006697,100,3.648598
-0.358587,100,3.665339
-0.572852,100,3.681818
-0.443879,100,3.699247
-0.473271,100,3.888996
-0.593348,100,3.905847
-0.409224,100,3.922592
-0.363287,100,3.9393
-0.455488,100,3.956238
-0.34301,100,4.134315
-0.415029,100,4.152323
-0.401596,100,4.170336
-0.446222,100,4.18777
-0.396369,100,4.204976
-0.357352,100,4.380475
-0.364752,100,4.397339
-0.42775,100,4.414135
-0.413459,100,4.431653
-0.44499,100,4.449561
-0.393302,100,4.632972
-0.55046,100,4.649833
-0.332969,100,4.666758
-0.377725,100,4.683556
-0.420067,100,4.7003
-0.392893,100,4.878826
-0.438107,100,4.896182
-0.460569,100,4.913623
-0.412546,100,4.931062
-0.503017,100,4.947766
-0.386458,100,5.118151
-0.500264,100,5.134734
-0.522352,100,5.15292
-0.718521,100,5.169519
-0.494125,100,5.186074
-0.465726,100,5.363433
-0.466628,100,5.383948
-0.363778,100,5.400446
-0.545802,100,5.417311
-0.696705,100,5.434213
-0.401518,100,5.608902
-0.344357,100,5.625873
-1.03895,100,5.642766
-0.757622,100,5.659915
-0.646615,100,5.677247
