number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
0,1.0972950458526611,2020-06-14 13:21:34.119951,2020-06-14 13:21:40.528968,0 days 00:00:06.409017000,16,100000,0.995,0.009209225155490892,0.3843817072926998,normal,1000,COMPLETE
1,0.6921120882034302,2020-06-14 13:21:40.529614,2020-06-14 13:21:46.363909,0 days 00:00:05.834295000,128,1000000,0.9999,1.921165975741197e-05,0.8121687287754932,ornstein-uhlenbeck,10,COMPLETE
2,0.5647538304328918,2020-06-14 13:21:46.364600,2020-06-14 13:21:52.403861,0 days 00:00:06.039261000,256,100000,0.9999,0.006921859910208607,0.6481718720511972,normal,1,COMPLETE
3,0.5209429264068604,2020-06-14 13:21:52.404510,2020-06-14 13:21:58.263014,0 days 00:00:05.858504000,512,10000,0.9,0.14557916623227773,0.7991585642167236,normal,100,COMPLETE
4,0.47102898359298706,2020-06-14 13:21:58.263761,2020-06-14 13:22:04.162027,0 days 00:00:05.898266000,100,1000000,0.99,0.004003016661601721,0.1433532874090464,normal,1,COMPLETE
5,1.1177432537078857,2020-06-14 13:22:04.162713,2020-06-14 13:22:09.922532,0 days 00:00:05.759819000,128,1000000,0.9,0.0040666950653938435,0.45615033221654855,ornstein-uhlenbeck,1000,COMPLETE
6,0.6480762362480164,2020-06-14 13:22:09.923262,2020-06-14 13:22:15.790752,0 days 00:00:05.867490000,128,100000,0.98,4.743412208473007e-05,0.38648898112586194,ornstein-uhlenbeck,1,COMPLETE
7,1.2902286052703857,2020-06-14 13:22:15.791552,2020-06-14 13:22:21.545121,0 days 00:00:05.753569000,64,10000,0.995,0.025650834317709894,0.09928035035897387,normal,10,COMPLETE
8,0.37501421570777893,2020-06-14 13:22:21.545887,2020-06-14 13:22:27.362312,0 days 00:00:05.816425000,100,1000000,0.95,0.021569177143056173,0.7506861412184562,normal,100,COMPLETE
9,0.33506932854652405,2020-06-14 13:22:27.363087,2020-06-14 13:22:33.174507,0 days 00:00:05.811420000,32,1000000,0.99,0.0006584970818505349,0.9883738380592262,normal,2000,COMPLETE
