#{"t_start": 1592133747.395564, "env_id": "widowx_reacher-v5"}
r,l,t
-0.408602,100,0.696146
-0.356284,100,0.712639
-0.508378,100,0.728866
-1.163141,100,0.745059
-0.410485,100,0.761516
-0.519471,100,0.975296
-0.419881,100,0.991539
-0.311498,100,1.007664
-0.537174,100,1.023732
-0.324443,100,1.039875
-0.435603,100,1.227893
-0.46834,100,1.244836
-0.705702,100,1.261819
-0.581192,100,1.279116
-0.368435,100,1.296615
-0.315863,100,1.481896
-0.484664,100,1.498438
-0.553221,100,1.514744
-0.399006,100,1.530974
-0.378059,100,1.547098
-0.620023,100,1.726011
-0.383943,100,1.742256
-0.453586,100,1.758513
-0.653552,100,1.774836
-0.5193,100,1.791529
-0.594184,100,1.968952
-0.389822,100,1.98525
-0.475359,100,2.002393
-0.457617,100,2.020262
-0.79037,100,2.038185
-0.549983,100,2.215862
-0.468845,100,2.231728
-0.435626,100,2.247729
-0.36764,100,2.265346
-0.432372,100,2.281596
-0.325111,100,2.45986
-0.511928,100,2.476192
-0.369269,100,2.492508
-0.350278,100,2.508758
-0.562164,100,2.52496
-0.664473,100,2.710695
-0.508545,100,2.727329
-0.366166,100,2.74402
-0.353535,100,2.760754
-0.415106,100,2.77741
-0.46368,100,2.95994
-0.855769,100,2.977217
-0.684079,100,2.994004
-0.277291,100,3.010947
-0.530981,100,3.027603
-0.438478,100,3.209734
-0.378228,100,3.226367
-0.416148,100,3.243497
-0.426898,100,3.260125
-0.390501,100,3.276741
-0.331776,100,3.464474
-0.309342,100,3.481167
-0.375219,100,3.497851
-0.751909,100,3.515948
-0.438302,100,3.534276
-0.387112,100,3.72093
-0.744504,100,3.737598
-0.390645,100,3.754374
-0.697409,100,3.771233
-0.586073,100,3.787994
-0.457136,100,3.976354
-0.422355,100,3.993641
-0.387669,100,4.01233
-0.626671,100,4.030995
-0.33728,100,4.04891
-0.38129,100,4.231073
-0.578182,100,4.248044
-0.393759,100,4.264902
-0.52542,100,4.281756
-0.739496,100,4.298643
-0.454171,100,4.483086
-0.59476,100,4.500564
-0.65763,100,4.51748
-0.502275,100,4.534394
-0.612062,100,4.551342
-0.507795,100,4.733664
-0.527811,100,4.75061
-0.379932,100,4.76757
-1.167618,100,4.784591
-0.496302,100,4.801676
-0.534786,100,4.981063
-0.289841,100,4.997731
-0.634173,100,5.014392
-0.627608,100,5.030995
-0.508116,100,5.047619
-0.623455,100,5.231538
-0.485922,100,5.248557
-0.436776,100,5.265495
-0.480716,100,5.282498
-0.763381,100,5.299638
-0.607118,100,5.478699
-0.526835,100,5.495828
-0.349079,100,5.512742
-0.610074,100,5.529707
-0.416046,100,5.546705
