number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,0.5596138834953308,2020-06-12 13:07:27.116882,2020-06-12 13:07:39.182159,0 days 00:00:12.065277000,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,0.7061308026313782,2020-06-12 13:07:39.182812,2020-06-12 13:07:51.559013,0 days 00:00:12.376201000,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
2,0.32371026277542114,2020-06-12 13:07:51.559671,2020-06-12 13:08:02.034877,0 days 00:00:10.475206000,30,2.300239849486517e-06,0.95,0.98,0.10386580256500279,512,1,0.0006937575128144786,COMPLETE
3,0.5621973276138306,2020-06-12 13:08:02.035513,2020-06-12 13:08:14.938472,0 days 00:00:12.902959000,30,1.699634491174657e-05,0.98,0.95,0.06236650188352654,128,1,3.902762553553292e-05,COMPLETE
4,0.5411098599433899,2020-06-12 13:08:14.939184,2020-06-12 13:08:36.462751,0 days 00:00:21.523567000,20,7.99159708744152e-06,0.95,0.95,0.0013523525694052886,16,20,0.07433073841273528,COMPLETE
5,0.6296323537826538,2020-06-12 13:08:36.463467,2020-06-12 13:08:53.906713,0 days 00:00:17.443246000,10,0.00021059520545246572,0.98,1.0,1.296399344054502e-06,16,20,0.012152621852509347,COMPLETE
6,1.34584641456604,2020-06-12 13:08:53.907409,2020-06-12 13:09:06.780423,0 days 00:00:12.873014000,30,4.954073578738671e-08,0.95,0.9,0.25947259726504646,4096,10,0.01843742127649596,COMPLETE
7,1.1130098104476929,2020-06-12 13:09:06.781146,2020-06-12 13:09:18.896406,0 days 00:00:12.115260000,10,1.6143528192274821e-06,0.9999,0.99,5.936873372035253e-06,64,20,0.007095513849771357,COMPLETE
8,0.7061308026313782,2020-06-12 13:09:18.897051,2020-06-12 13:09:31.525627,0 days 00:00:12.628576000,30,0.0003711352619121185,0.99,0.98,0.5671469641942559,256,20,0.9473224693917235,COMPLETE
9,2.3837361335754395,2020-06-12 13:09:31.526290,2020-06-12 13:09:42.454134,0 days 00:00:10.927844000,15,1.2965434798948996e-07,0.9,0.99,2.9278818805431125e-05,256,3,0.019127047981511353,COMPLETE
