#{"t_start": 1591960171.5432441, "env_id": "widowx_reacher-v5"}
r,l,t
-0.682334,100,1.099665
-0.60353,100,1.141896
-0.759626,100,1.5395
-0.268758,100,1.582196
-0.57327,100,1.623336
-0.43379,100,1.926885
-0.723606,100,1.968761
-0.37177,100,2.032949
-0.493035,100,2.076847
-0.700787,100,2.119559
-0.543731,100,2.411692
-1.127454,100,2.45352
-1.415325,100,2.519969
-0.590933,100,2.562463
-0.572073,100,2.604116
-1.101665,100,2.884758
-0.49373,100,2.925967
-0.34665,100,2.990037
-0.703049,100,3.026323
-0.93301,100,3.067647
-0.874917,100,3.34961
-0.557548,100,3.39179
-0.37712,100,3.43382
-0.346614,100,3.500736
-1.043277,100,3.544569
-0.81748,100,3.831778
-0.363665,100,3.872343
-0.275579,100,3.911338
-0.507892,100,3.976191
-0.463266,100,4.017529
-0.717805,100,4.303174
-1.529896,100,4.345565
-0.772347,100,4.386699
-1.497951,100,4.45349
-0.498825,100,4.495561
-0.512547,100,4.773309
-0.375931,100,4.810272
-0.503531,100,4.847205
-0.876212,100,4.906348
-0.390241,100,4.942922
-0.625757,100,5.206867
-0.385708,100,5.249254
-0.9319,100,5.291815
-0.498538,100,5.358305
-0.381389,100,5.400162
-0.483334,100,5.645154
-0.428869,100,5.713033
-0.767853,100,5.755087
-0.783728,100,5.813782
-0.684763,100,5.852849
-0.553527,100,6.103153
-0.742718,100,6.166153
-0.325343,100,6.207491
-1.426967,100,6.273296
-0.655755,100,6.315814
-0.364592,100,6.568648
-1.386306,100,6.630049
-0.453519,100,6.670742
-0.478481,100,6.736191
-1.404497,100,6.776511
-0.748945,100,7.025751
-0.298315,100,7.09318
-0.557261,100,7.136073
-0.630285,100,7.177443
-0.290686,100,7.238595
-0.59432,100,7.494699
-0.650395,100,7.561725
-0.901001,100,7.601546
-0.401468,100,7.640406
-0.471283,100,7.707625
-1.065177,100,7.96628
-0.609454,100,8.032501
-0.391461,100,8.07441
-0.812473,100,8.110955
-0.480358,100,8.172045
-0.784289,100,8.419783
-0.349472,100,8.483257
-0.576741,100,8.523733
-0.29441,100,8.562397
-0.37942,100,8.621146
-1.328444,100,8.867759
-0.66731,100,8.935597
-1.024932,100,8.977816
-0.395894,100,9.019902
-0.928518,100,9.084875
-0.723817,100,9.32919
-0.595414,100,9.371739
-0.642644,100,9.438074
-0.491506,100,9.478677
-0.508527,100,9.543708
-0.398918,100,9.784705
-0.333024,100,9.827308
-0.604339,100,9.896215
-0.36574,100,9.938375
-0.489016,100,10.005546
-0.99691,100,10.253357
-0.374372,100,10.294732
-0.381089,100,10.359368
-0.584622,100,10.401785
-0.369562,100,10.466691
-0.321037,100,10.716055
-1.457476,100,10.75908
