number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.12526538968086243,2020-06-12 19:36:01.079595,2020-06-12 19:52:32.676480,0 days 00:16:31.596885000,1.3592260616254783e-08,0.999,2.4082149022198272e-05,linear,1024,0.012042089435780112,COMPLETE
1,0.5426473021507263,2020-06-12 19:36:01.081357,2020-06-12 19:52:53.070363,0 days 00:16:51.989006000,0.0009727373998597242,0.999,0.005579088093396533,constant,16,0.7718996419099154,COMPLETE
2,0.33742755651474,2020-06-12 19:36:01.083207,2020-06-12 19:52:38.863527,0 days 00:16:37.780320000,0.004540907171547535,0.9,0.0013274921313362038,linear,64,0.575657500172202,COMPLETE
3,0.7061610221862793,2020-06-12 19:36:01.085906,2020-06-12 19:52:57.241604,0 days 00:16:56.155698000,2.3679619462541733e-07,0.99,0.005807070386229071,linear,8,0.21472967042636149,COMPLETE
4,0.4956595003604889,2020-06-12 19:36:01.097747,2020-06-12 19:52:55.534264,0 days 00:16:54.436517000,0.005571084502189626,0.98,0.0002131254056076826,linear,16,0.3872747094261081,COMPLETE
5,0.47650399804115295,2020-06-12 19:36:01.122630,2020-06-12 19:52:42.854309,0 days 00:16:41.731679000,0.005986915337957049,0.9,1.6372568516129313e-05,linear,256,0.3710446686043025,COMPLETE
6,0.48514142632484436,2020-06-12 19:36:01.138907,2020-06-12 19:52:35.813459,0 days 00:16:34.674552000,1.3529551506994836e-08,0.99,0.04860246671902593,linear,128,0.486086592930416,COMPLETE
7,1.2117645740509033,2020-06-12 19:36:01.140581,2020-06-12 19:52:58.612544,0 days 00:16:57.471963000,0.003760279904310818,0.98,0.008606374799415275,constant,8,0.6102015638294624,COMPLETE
8,0.8155023455619812,2020-06-12 19:36:01.174200,2020-06-12 19:52:34.303263,0 days 00:16:33.129063000,0.0018075125889357034,0.95,0.3171989058554071,linear,128,0.00665125401251232,COMPLETE
9,0.5568016767501831,2020-06-12 19:36:01.216393,2020-06-12 19:52:43.415520,0 days 00:16:42.199127000,3.512032645574351e-08,0.9999,0.00010418439653455181,linear,256,0.6877389197730568,COMPLETE
