#{"t_start": 1589927759.696317, "env_id": "widowx_reach-v3"}
r,l,t
-1.505323,100,2.762415
-1.633188,100,2.829539
-1.265577,100,3.306171
-0.922569,100,3.567115
-0.815022,100,3.829237
-0.620872,100,4.090652
-0.516404,100,4.353734
-0.503083,100,4.617929
-1.181446,100,4.866319
-0.566448,100,5.114799
-0.541867,100,5.359416
-0.54463,100,5.620879
-0.541893,100,5.87151
-0.553816,100,6.116556
-0.57051,100,6.358502
-0.59688,100,6.604846
-0.581933,100,6.866168
-0.565325,100,7.125561
-0.542585,100,7.386609
-0.554757,100,7.649736
-0.545915,100,7.9186
-0.568044,100,8.182168
-0.548977,100,8.444747
-0.524047,100,8.704807
-0.501655,100,8.97241
-0.506029,100,9.239713
-0.51678,100,9.504305
-0.486066,100,9.768559
-0.465006,100,10.01473
-0.465904,100,10.258313
-0.457541,100,10.506895
-0.453924,100,10.772093
-0.435398,100,11.036856
-0.441208,100,11.298043
-0.431549,100,11.561125
-0.436495,100,11.827098
-0.44541,100,12.093324
-0.435971,100,12.359637
-0.444623,100,12.627156
-0.462523,100,12.893769
-0.447198,100,13.160162
-0.435331,100,13.427503
-0.430072,100,13.691489
-0.427546,100,13.941409
-0.443798,100,14.187882
-0.453216,100,14.43178
-0.464088,100,14.692394
-0.46696,100,14.957893
-0.496712,100,15.213171
-0.50979,100,15.468246
-0.539785,100,15.723067
-0.594184,100,15.994325
-0.606138,100,16.26006
-0.626768,100,16.524083
-0.633529,100,16.791605
-0.639055,100,17.06518
-0.618811,100,17.332201
-0.616248,100,17.599303
-0.616373,100,17.860517
-0.627588,100,18.108138
-0.600972,100,18.355474
-0.580092,100,18.607639
-0.586108,100,18.874975
-0.624604,100,19.141995
-0.617046,100,19.408131
-0.61345,100,19.672165
-0.619486,100,19.949465
-0.610735,100,20.215715
-0.666665,100,20.473907
-0.724394,100,20.729505
-0.757674,100,20.988987
-0.827802,100,21.260878
-0.801778,100,21.532418
-0.822907,100,21.79901
-0.811245,100,22.046715
-0.764924,100,22.294333
-0.805154,100,22.542577
-0.728091,100,22.814095
-0.770475,100,23.079494
-0.748441,100,23.347204
-0.75747,100,23.613531
-0.738556,100,23.886594
-0.712526,100,24.153676
-0.716679,100,24.423088
-0.697386,100,24.696128
-0.720535,100,24.964352
-0.713922,100,25.231959
-0.692295,100,25.496532
-0.709013,100,25.7569
-0.695442,100,26.005823
-0.668873,100,26.257453
-0.660753,100,26.507418
-0.664198,100,26.773658
-0.698076,100,27.033185
-0.657931,100,27.295528
-0.689928,100,27.549947
-0.678114,100,27.822697
-0.717938,100,28.092004
-0.70848,100,28.356323
-0.70237,100,28.618826
