#{"t_start": 1589927656.3386035, "env_id": "widowx_reach-v3"}
r,l,t
-0.405091,100,3.990622
-0.402996,100,4.922469
-0.474135,100,5.273806
-0.38321,100,5.62876
-0.878805,100,5.984855
-0.445891,100,6.339297
-0.386709,100,6.696314
-0.488027,100,7.050203
-0.474472,100,7.404338
-0.329187,100,7.758982
-0.444771,100,8.119898
-0.481408,100,8.475941
-0.312241,100,8.832426
-0.374912,100,9.18801
-0.676659,100,9.543777
-0.384065,100,9.89924
-0.390086,100,10.253802
-0.546346,100,10.613144
-0.464424,100,10.971411
-0.481508,100,11.325734
-0.323857,100,11.685378
-0.359841,100,12.042856
-0.353695,100,12.400254
-0.577003,100,12.754895
-0.356844,100,13.109679
-0.906186,100,13.465014
-0.460913,100,13.823766
-0.677449,100,14.184909
-0.990839,100,14.538873
-0.376042,100,14.890329
-0.770162,100,15.244344
-0.591844,100,15.602027
-0.637525,100,15.95706
-0.564317,100,16.312949
-0.614925,100,16.668384
-0.426017,100,17.024341
-0.502541,100,17.379016
-0.491049,100,17.732177
-0.449746,100,18.090546
-0.466332,100,18.444901
-0.509917,100,18.797975
-0.915438,100,19.153619
-0.479826,100,19.503591
-0.48945,100,19.855155
-0.658611,100,20.206097
-0.404782,100,20.55602
-0.517006,100,20.906692
-0.511278,100,21.26242
-0.486497,100,21.61374
-0.505192,100,21.966062
-0.600775,100,22.317904
-0.523759,100,22.67374
-0.44398,100,23.031706
-0.495528,100,23.380392
-0.49363,100,23.730074
-0.392181,100,24.078936
-0.501052,100,24.430981
-0.398969,100,24.781444
-0.497761,100,25.136755
-0.564694,100,25.48519
-0.478459,100,25.836339
-0.661437,100,26.189175
-1.392612,100,26.544055
-2.837662,100,26.895367
-0.644922,100,27.24424
-3.76319,100,27.600779
-0.60711,100,27.95458
-2.68714,100,28.303446
-2.829329,100,28.660986
-0.522289,100,29.012498
-0.481109,100,29.362638
-0.563043,100,29.719685
-0.639525,100,30.073263
-0.583877,100,30.420562
-0.671264,100,30.774573
-0.522599,100,31.131077
-0.484983,100,31.484622
-0.570747,100,31.839132
-0.649404,100,32.194435
-0.463882,100,32.547525
-0.406584,100,32.896153
-0.349445,100,33.24755
-0.641742,100,33.602999
-0.94769,100,33.95694
-0.776313,100,34.311366
-0.514571,100,34.671557
-0.79232,100,35.02969
-2.147237,100,35.389508
-0.501838,100,35.743045
-1.454126,100,36.098333
-0.996313,100,36.452425
-0.475724,100,36.809491
-0.495817,100,37.167599
-0.961558,100,37.520643
-0.679447,100,37.874412
-0.536632,100,38.230048
-0.928503,100,38.581909
-0.659715,100,38.935415
-0.417413,100,39.290642
-1.277711,100,39.646494
