#{"t_start": 1589927702.695357, "env_id": "widowx_reach-v3"}
r,l,t
-0.364545,100,3.849125
-0.362186,100,3.876662
-0.392647,100,3.904271
-0.379026,100,3.932289
-0.457781,100,3.959937
-0.416841,100,3.987629
-0.388803,100,4.015081
-0.331224,100,4.042931
-0.696135,100,4.070541
-0.517909,100,4.098261
-0.529852,100,4.12591
-0.458528,100,4.1537
-0.38011,100,4.181193
-0.487175,100,4.208716
-0.602521,100,4.236243
-0.35717,100,4.264134
-0.38328,100,4.292518
-0.447994,100,4.320252
-0.393864,100,4.34824
-0.395176,100,4.375945
-0.730865,100,4.403479
-0.624149,100,4.430951
-0.703895,100,4.458386
-0.484311,100,4.486405
-0.416441,100,4.514087
-0.320235,100,4.542004
-0.493267,100,4.569706
-0.428497,100,4.597389
-0.399595,100,4.624948
-0.512454,100,4.652704
-0.494155,100,4.680315
-0.354162,100,4.708279
-1.047779,100,4.736274
-0.490324,100,4.764035
-0.49078,100,4.791869
-0.421994,100,4.819632
-0.377746,100,4.847322
-0.499679,100,4.874944
-0.32288,100,4.902582
-0.498892,100,4.930699
-0.35948,100,4.958547
-0.386505,100,4.986331
-0.484444,100,5.014253
-0.453042,100,5.042162
-0.552245,100,5.06982
-0.340963,100,5.097444
-0.319759,100,5.125209
-0.779945,100,5.153343
-0.292633,100,5.181144
-0.479108,100,5.208971
-0.486788,100,5.236873
-0.73742,100,5.264761
-0.434337,100,5.292604
-0.621657,100,5.320283
-0.519323,100,5.348027
-0.428019,100,5.376113
-0.371228,100,5.403993
-0.659153,100,5.431957
-0.49544,100,5.459807
-0.420979,100,5.488431
-0.289945,100,5.516184
-0.317394,100,5.543909
-0.4471,100,5.571641
-0.521641,100,5.599811
-0.433352,100,5.627919
-0.417524,100,5.655871
-0.345858,100,5.683962
-0.359758,100,5.712145
-0.383876,100,5.740071
-1.231617,100,5.76792
-0.38484,100,5.795829
-0.358263,100,5.824398
-0.36661,100,5.852597
-0.395903,100,5.881024
-0.480925,100,5.90927
-0.328507,100,5.937485
-0.334135,100,5.965379
-0.515753,100,5.993383
-0.376001,100,6.021428
-0.53302,100,6.050068
-0.685885,100,6.07821
-0.370219,100,6.106409
-0.374467,100,6.134611
-0.305915,100,6.163128
-0.471129,100,6.191374
-0.690648,100,6.219631
-0.567688,100,6.247782
-0.56134,100,6.276298
-0.365959,100,6.304482
-0.467438,100,6.332672
-0.530375,100,6.360971
-0.394243,100,6.389487
-0.407256,100,6.417819
-0.458765,100,6.446214
-0.500375,100,6.474457
-0.441414,100,6.503138
-0.477963,100,6.531602
-0.359338,100,6.560108
-0.388423,100,6.58836
-0.359423,100,6.616664
