#{"t_start": 1589927716.0566397, "env_id": "widowx_reach-v3"}
r,l,t
-0.394601,100,2.15216
-0.48402,100,2.226842
-0.570473,100,2.302644
-0.470584,100,2.376739
-0.682267,100,2.45185
-1.243479,100,2.527142
-0.392052,100,2.601225
-0.739987,100,2.674807
-0.397674,100,2.747716
-0.397854,100,2.822809
-0.424658,100,3.726618
-1.086947,100,3.800761
-0.562688,100,3.878015
-0.606847,100,3.955343
-2.065294,100,4.031111
-0.405233,100,4.108252
-0.759914,100,4.185779
-0.384889,100,4.265981
-1.131869,100,4.341223
-0.369768,100,4.417911
-0.390749,100,4.640474
-1.141094,100,4.717502
-0.825721,100,4.792675
-0.633516,100,4.868917
-0.382307,100,4.945185
-0.651048,100,5.02193
-0.360307,100,5.100084
-0.77968,100,5.172693
-1.09368,100,5.247216
-0.753519,100,5.315967
-0.612109,100,5.523783
-0.616501,100,5.59473
-0.544053,100,5.665421
-0.547196,100,5.737161
-0.767268,100,5.809165
-0.666097,100,5.883116
-0.584238,100,5.956482
-0.516718,100,6.02917
-0.644039,100,6.105899
-0.827439,100,6.18122
-0.640919,100,6.40619
-0.393811,100,6.482377
-0.500776,100,6.558237
-1.20323,100,6.634255
-0.271792,100,6.711797
-0.900612,100,6.78922
-0.744053,100,6.865536
-0.619536,100,6.941382
-0.569821,100,7.018784
-0.323402,100,7.096627
-0.441747,100,7.171369
-0.63505,100,7.390211
-0.510971,100,7.466084
-0.619102,100,7.542483
-0.789347,100,7.62005
-0.430582,100,7.69777
-0.641928,100,7.774799
-0.584612,100,7.852175
-0.541199,100,7.929667
-0.748978,100,8.005546
-0.217982,100,8.082029
-0.5395,100,8.302878
-0.360722,100,8.380764
-0.849675,100,8.454439
-0.84927,100,8.530525
-0.271636,100,8.608181
-0.253261,100,8.68353
-0.866237,100,8.759122
-0.492212,100,8.836763
-0.527641,100,8.914966
-0.379946,100,8.992001
-0.63523,100,9.211119
-0.311327,100,9.282722
-0.444348,100,9.352771
-0.208774,100,9.424691
-1.411437,100,9.497038
-0.489447,100,9.570602
-0.375095,100,9.645429
-0.892767,100,9.718301
-0.492689,100,9.789487
-0.57634,100,9.859243
-1.019306,100,10.068213
-0.507729,100,10.144711
-0.502334,100,10.22108
-0.684303,100,10.295091
-0.773468,100,10.370055
-0.396586,100,10.445428
-0.660402,100,10.522014
-0.985401,100,10.59855
-0.341803,100,10.676173
-0.387695,100,10.751288
-0.626248,100,10.831587
-0.401266,100,11.051915
-0.282175,100,11.126715
-0.45523,100,11.203241
-1.422943,100,11.277311
-0.627362,100,11.352268
-0.446007,100,11.427966
-0.523611,100,11.503609
-0.470871,100,11.579103
-0.385588,100,12.139962
-0.649643,100,12.208127
