#{"t_start": 1591091554.0500312, "env_id": "widowx_reacher-v5"}
r,l,t
-1.626019,100,1.104332
-1.632237,100,1.254106
-1.217797,100,1.853635
-1.772752,100,1.989979
-1.731574,100,2.130594
-1.073083,100,2.577291
-1.426888,100,2.714074
-1.480439,100,3.160695
-1.21623,100,3.29846
-1.79284,100,3.435101
-2.061127,100,3.885631
-1.563814,100,4.02376
-1.521881,100,4.869012
-1.510687,100,5.007192
-1.843596,100,5.143551
-1.623107,100,5.592462
-1.994775,100,5.727785
-1.476169,100,6.177276
-2.329011,100,6.317086
-2.32754,100,6.454583
-1.239053,100,6.905452
-2.063256,100,7.041418
-1.573465,100,7.175246
-1.60296,100,7.632018
-1.667307,100,7.768519
-2.325173,100,8.551074
-1.445909,100,8.691121
-1.33615,100,8.826514
-1.368211,100,9.302522
-2.081311,100,9.43989
-2.66817,100,9.892559
-1.935521,100,10.033621
-0.909641,100,10.169673
-1.155399,100,10.617852
-1.492555,100,10.748697
-1.207056,100,11.19564
-2.073654,100,11.335186
-1.138666,100,11.793169
-2.152477,100,12.24342
-0.847537,100,12.380151
-2.421301,100,12.82994
-0.848229,100,12.967759
-0.963559,100,13.102794
-1.188746,100,13.551922
-1.374802,100,13.689085
-1.759383,100,13.823254
-1.904552,100,14.327822
-1.080993,100,14.466423
-2.173253,100,14.918575
-1.211092,100,15.058566
-1.432568,100,15.521784
-1.097312,100,15.978673
-1.877417,100,16.115526
-2.70226,100,16.568609
-1.300177,100,16.706559
-1.404556,100,16.840621
-1.456901,100,17.305766
-1.127614,100,17.439552
-2.116134,100,17.886078
-1.796082,100,18.026927
-1.649707,100,18.163079
-1.69896,100,18.669862
-1.074194,100,19.152883
-2.31575,100,19.298406
-2.220605,100,19.758318
-1.640145,100,19.89827
-1.908911,100,20.361346
-1.546119,100,20.503614
-2.176535,100,20.64466
-2.108974,100,21.105116
-2.479065,100,21.24577
-2.11343,100,21.704883
-1.353504,100,21.843595
-0.815,100,21.979489
-2.526011,100,22.439639
-1.345581,100,22.94628
-0.989883,100,23.448397
-1.322558,100,23.588299
-0.704663,100,23.72363
-1.559729,100,24.181273
-2.29966,100,24.316265
-2.107486,100,24.771305
-0.642181,100,24.912051
-1.005335,100,25.049643
-1.177922,100,25.503253
-0.52255,100,25.63765
-1.433348,100,25.769244
-2.039443,100,26.550359
-0.630971,100,26.684989
-0.871226,100,27.130621
-0.636217,100,27.279544
-1.209652,100,27.42312
-0.7915,100,27.89134
-0.675007,100,28.037201
-0.542935,100,28.528715
-0.820882,100,28.681042
-0.667159,100,28.836412
-1.030719,100,29.330704
-0.689619,100,29.489017
-0.602513,100,30.022836
-0.405879,100,30.556782
-0.614338,100,30.73565
-0.675329,100,31.2175
-0.522792,100,31.358033
-0.50485,100,31.846698
-0.675856,100,31.985607
-0.544925,100,32.124942
-0.7111,100,32.60972
-0.442476,100,32.768449
-1.194378,100,32.922434
-0.677878,100,33.439937
-0.579289,100,33.592288
-0.471577,100,34.474807
-0.604379,100,34.635786
-0.752765,100,34.781054
-0.55007,100,35.225348
-0.552538,100,35.356434
-0.554601,100,35.813712
-0.630726,100,35.954929
-0.99562,100,36.094091
-0.862568,100,36.554803
-0.524546,100,36.708659
