#{"env_id": "widowx_reacher-v5", "t_start": 1591089918.7924664}
r,l,t
-0.471065,100,2.736874
-0.892371,100,2.756934
-0.381441,100,2.776919
-0.422914,100,2.797086
-0.475941,100,2.817627
-0.362624,100,2.837732
-0.359939,100,2.857695
-0.425893,100,2.877719
-0.406079,100,2.897728
-0.462367,100,2.917723
-0.37287,100,2.937908
-0.348286,100,2.958107
-0.47616,100,2.97811
-0.363822,100,2.998237
-0.52125,100,3.018212
-0.304123,100,3.038397
-0.474759,100,3.058402
-0.393235,100,3.078504
-0.428511,100,3.098557
-0.522328,100,3.118289
-0.446746,100,3.138936
-0.568834,100,3.15885
-1.406711,100,3.179117
-0.320268,100,3.199096
-0.46623,100,3.219182
-0.489941,100,3.239275
-0.906908,100,3.259266
-0.591615,100,3.279441
-0.768079,100,3.299566
-0.630589,100,3.319621
-0.495803,100,3.339831
-0.42171,100,3.360014
-0.428003,100,3.380569
-0.489102,100,3.400563
-0.391659,100,3.420548
-0.676287,100,3.440853
-0.473361,100,3.460942
-0.696267,100,3.481221
-0.46882,100,3.50131
-0.238783,100,3.521488
-0.350711,100,3.541725
-0.42292,100,3.56179
-0.688608,100,3.581959
-0.405635,100,3.602211
-0.334306,100,3.623148
-0.416201,100,3.643363
-0.409474,100,3.662957
-0.402899,100,3.682971
-0.393587,100,3.703072
-0.563357,100,3.723231
-0.529723,100,3.743356
-0.383208,100,3.763665
-0.485176,100,3.783838
-0.783678,100,3.804116
-0.437332,100,3.824434
-0.70108,100,3.844696
-0.69692,100,3.864889
-0.355664,100,3.885012
-0.370147,100,3.905267
-0.35223,100,3.925698
-0.342377,100,3.945935
-0.345898,100,3.965942
-0.748522,100,3.986118
-0.472428,100,4.006602
-0.439531,100,4.027324
-0.48176,100,4.047432
-0.811912,100,4.067136
-0.557542,100,4.087228
-0.39969,100,4.107755
-0.336228,100,4.127953
-0.400182,100,4.148097
-0.455087,100,4.168683
-0.761812,100,4.188998
-0.56955,100,4.209121
-0.50108,100,4.229342
-0.243018,100,4.249747
-0.618945,100,4.269939
-0.403114,100,4.290176
-0.486795,100,4.310566
-0.406421,100,4.330957
-0.409414,100,4.351112
-0.38357,100,4.37159
-0.505757,100,4.391877
-0.89434,100,4.412224
-0.344757,100,4.433021
-0.608657,100,4.453373
-0.448699,100,4.473624
-0.666661,100,4.49424
-0.537281,100,4.514556
-0.612384,100,4.534906
-0.466194,100,4.55511
-0.283128,100,4.575558
-0.389525,100,4.596062
-0.38186,100,4.616363
-0.394573,100,4.636693
-0.463322,100,4.657214
-0.376588,100,4.677561
-0.673263,100,4.697934
-0.433549,100,4.718589
-0.387045,100,4.739397
-2.545541,100,8.599434
-2.605287,100,8.64927
-2.673268,100,8.696745
-2.635592,100,8.74372
-2.720612,100,8.792592
-2.51336,100,8.841565
-2.900537,100,8.889239
-2.482099,100,8.938588
-2.864774,100,8.987336
-2.48291,100,9.035876
-1.517217,100,12.317796
-1.443246,100,12.367372
-1.485281,100,12.416417
-1.384721,100,12.465171
-1.677077,100,12.514535
-1.482226,100,12.561922
-1.512892,100,12.609318
-1.503493,100,12.656449
-1.557513,100,12.703356
-1.533556,100,12.750843
-3.526817,100,15.945994
-3.726022,100,15.994816
-3.614967,100,16.042193
-3.690683,100,16.091153
-3.577284,100,16.139963
-3.523521,100,16.188336
-3.629227,100,16.237069
-3.545406,100,16.285944
-3.593239,100,16.335207
-3.517207,100,16.384624
-0.830314,100,19.517561
-0.868278,100,19.566738
-0.841913,100,19.614991
-0.818021,100,19.662484
-0.823966,100,19.71056
-0.899027,100,19.758384
-0.889571,100,19.805971
-0.847814,100,19.856086
-0.861336,100,19.903721
-0.863521,100,19.951883
-3.275345,100,23.148702
-3.52934,100,23.198587
-3.745162,100,23.247186
-3.391268,100,23.296326
-3.74894,100,23.344983
-3.629947,100,23.393747
-3.604235,100,23.442236
-3.567873,100,23.491634
-3.681782,100,23.539487
-3.695899,100,23.587069
-2.588388,100,26.923089
-2.638821,100,26.972274
-2.625495,100,27.021539
-2.584681,100,27.070691
-2.653616,100,27.119106
-2.656122,100,27.16807
-2.525319,100,27.216344
-2.655738,100,27.264268
-2.61196,100,27.312142
-2.652883,100,27.360624
-2.108896,100,30.823733
-2.122,100,30.870435
-2.15269,100,30.918868
-2.133331,100,30.96687
-2.149088,100,31.01456
-2.158241,100,31.062757
-2.183573,100,31.109151
-2.113475,100,31.15689
-2.087402,100,31.204464
-2.103333,100,31.25217
-1.839983,100,34.631689
-1.836092,100,34.679888
-1.816868,100,34.728052
-1.829675,100,34.775662
-1.826332,100,34.823329
-1.845229,100,34.873299
-1.857763,100,34.92192
-1.832989,100,34.96742
-1.839625,100,35.0127
-1.818355,100,35.061732
-0.79041,100,38.645507
-0.792991,100,38.692531
-0.791974,100,38.738562
-0.791754,100,38.786187
-0.7901,100,38.832981
-0.791601,100,38.879455
-0.795681,100,38.92508
-0.791813,100,38.972054
-0.792001,100,39.019919
-0.79098,100,39.067003
-0.759496,100,42.398708
-0.786754,100,42.448581
-0.775886,100,42.497175
-0.794235,100,42.545177
-0.775384,100,42.593248
-0.777323,100,42.642037
-0.797222,100,42.689996
-0.795838,100,42.73797
-0.781313,100,42.786389
-0.7985,100,42.835765
-0.661332,100,46.420788
-0.683285,100,46.469427
-0.67472,100,46.518617
-0.704049,100,46.57016
-0.671446,100,46.618285
-0.67342,100,46.666742
-0.683036,100,46.714754
-0.677671,100,46.763032
-0.695466,100,46.81114
-0.696323,100,46.859364
-0.57385,100,50.227633
-0.578764,100,50.275492
-0.575749,100,50.323309
-0.575645,100,50.37087
-0.576793,100,50.417247
-0.573342,100,50.463832
-0.57741,100,50.510582
-0.576719,100,50.557293
-0.577747,100,50.603704
-0.576011,100,50.649761
-0.417404,100,54.025948
-0.423959,100,54.073701
-0.423726,100,54.12101
-0.423901,100,54.168566
-0.424431,100,54.215885
-0.423797,100,54.263149
-0.424659,100,54.310481
-0.425218,100,54.358809
-0.423227,100,54.406308
-0.424688,100,54.453621
-0.506873,100,57.700487
-0.506107,100,57.749593
-0.50485,100,57.798405
-0.507157,100,57.846393
-0.505828,100,57.893985
-0.505802,100,57.94156
-0.507273,100,57.989342
-0.505297,100,58.036764
-0.506118,100,58.084395
-0.506026,100,58.133035
-0.562268,100,61.656472
-0.562134,100,61.704001
-0.560515,100,61.751761
-0.562158,100,61.798876
-0.562897,100,61.847657
-0.561117,100,61.896472
-0.561138,100,61.942696
-0.56145,100,61.989153
-0.561806,100,62.035429
-0.561551,100,62.082916
-0.562854,100,65.460198
-0.561603,100,65.509259
-0.560303,100,65.556422
-0.561967,100,65.603418
-0.560735,100,65.650244
-0.560511,100,65.697994
-0.560756,100,65.74481
-0.56146,100,65.791744
-0.562309,100,65.838937
-0.561517,100,65.885754
-0.516763,100,69.249858
-0.516203,100,69.299207
-0.517343,100,69.347955
-0.518815,100,69.399363
-0.517511,100,69.446901
-0.516516,100,69.494593
-0.517495,100,69.540065
