#{"t_start": 1591090273.7943666, "env_id": "widowx_reacher-v5"}
r,l,t
-1.347384,100,2.797908
-1.568341,100,2.817996
-1.609227,100,2.838305
-1.170809,100,2.858418
-1.57182,100,2.878403
-1.396597,100,2.89846
-1.396086,100,2.918312
-1.414117,100,2.938238
-1.945582,100,2.958581
-1.420406,100,2.981195
-1.71023,100,3.004415
-1.523584,100,3.026117
-1.527783,100,3.048458
-1.592843,100,3.07039
-1.368833,100,3.091801
-1.167578,100,3.119623
-1.72035,100,3.14167
-1.671791,100,3.163514
-1.551069,100,3.184714
-1.171026,100,3.206337
-1.627074,100,3.227609
-1.850831,100,3.248749
-1.382848,100,3.269705
-1.686171,100,3.290474
-1.725579,100,3.310988
-1.686055,100,3.331379
-1.432154,100,3.35184
-1.773603,100,3.372501
-1.82161,100,3.392993
-1.527553,100,3.413311
-1.328272,100,3.433494
-1.460557,100,3.453715
-1.186881,100,3.473913
-1.756444,100,3.493927
-1.576405,100,3.513887
-1.690373,100,3.534061
-1.537821,100,3.554379
-1.767519,100,3.574912
-1.644191,100,3.595488
-1.582149,100,3.615619
-1.901605,100,3.63581
-1.578541,100,3.656227
-1.611797,100,3.676373
-1.501395,100,3.696792
-1.531801,100,3.717153
-1.734852,100,3.737497
-1.705559,100,3.757669
-1.633691,100,3.778007
-1.36341,100,3.798228
-1.512949,100,3.818899
-1.546704,100,3.838971
-2.005766,100,3.859268
-1.678423,100,3.879419
-1.521621,100,3.899562
-1.452022,100,3.922741
-1.342481,100,3.946411
-1.482757,100,3.967701
-1.811386,100,3.988743
-1.556116,100,4.009437
-1.561652,100,4.030178
-1.604478,100,4.050804
-1.652618,100,4.071539
-1.790307,100,4.092141
-1.459589,100,4.112983
-1.452928,100,4.133998
-1.838221,100,4.154671
-1.673918,100,4.175358
-1.478011,100,4.196176
-1.440202,100,4.216834
-1.662221,100,4.23755
-1.548089,100,4.258232
-1.817309,100,4.279181
-1.536596,100,4.299786
-1.846364,100,4.320046
-1.518829,100,4.340125
-1.742572,100,4.360521
-1.336908,100,4.380735
-1.108044,100,4.401052
-1.549456,100,4.421399
-1.542609,100,4.441697
-1.384534,100,4.461892
-1.773466,100,4.482068
-1.521464,100,4.502259
-1.754898,100,4.522615
-1.619157,100,4.545468
-1.470305,100,4.568323
-1.427144,100,4.588881
-1.465803,100,4.609425
-1.460799,100,4.629682
-1.662418,100,4.649822
-1.530713,100,4.670104
-1.580616,100,4.69042
-1.19096,100,4.711079
-1.630792,100,4.731406
-1.470503,100,4.751624
-1.814423,100,4.772259
-1.486365,100,4.792619
-1.434818,100,4.813153
-1.520738,100,4.833494
-1.251451,100,4.854065
-1.741996,100,8.672931
-1.756948,100,8.721627
-1.764048,100,8.766369
-1.760453,100,8.816529
-1.744972,100,8.864109
-1.744211,100,8.911464
-1.744104,100,8.958749
-1.759792,100,9.006277
-1.776721,100,9.053849
-1.732936,100,9.100934
-2.08659,100,12.254179
-2.106644,100,12.303083
-2.101718,100,12.352183
-2.016642,100,12.401016
-2.081013,100,12.448503
-2.076953,100,12.4949
-2.076699,100,12.542222
-2.120809,100,12.589324
-2.065101,100,12.636189
-2.060538,100,12.684924
-5.131801,100,15.920493
-5.313679,100,15.968838
-5.117938,100,16.017684
-5.159231,100,16.066135
-5.156221,100,16.114053
-4.632752,100,16.161827
-5.081161,100,16.209853
-5.021787,100,16.258904
-5.162273,100,16.307888
-5.045642,100,16.356373
-2.20849,100,19.5297
-2.263177,100,19.57931
-2.250656,100,19.62748
-2.21077,100,19.675337
-2.229906,100,19.723077
-2.26575,100,19.772826
-2.244393,100,19.821445
-2.273844,100,19.869727
-2.241809,100,19.917383
-2.259776,100,19.967706
-2.385237,100,23.212257
-2.320118,100,23.260801
-2.326407,100,23.30895
-2.304185,100,23.357533
-2.302572,100,23.405513
-2.338215,100,23.453429
-2.327917,100,23.501444
-2.32312,100,23.549871
-2.321324,100,23.597887
-2.365163,100,23.646369
-1.324111,100,26.965456
-1.321215,100,27.015064
-1.334275,100,27.063349
-1.354221,100,27.111234
-1.33657,100,27.158263
-1.363364,100,27.20554
-1.32156,100,27.25277
-1.316901,100,27.299595
-1.328379,100,27.346849
-1.318729,100,27.394357
-1.045748,100,30.69974
-1.112137,100,30.748248
-1.077773,100,30.796737
-1.059305,100,30.845191
-1.048738,100,30.89272
-1.094707,100,30.940727
-1.074149,100,30.988341
-1.059627,100,31.036397
-1.136138,100,31.084168
-1.086053,100,31.131842
-1.494346,100,34.470004
-1.433177,100,34.518466
-1.428489,100,34.566239
-1.516728,100,34.61377
-1.417494,100,34.662213
-1.405572,100,34.710625
-1.480116,100,34.757962
-1.388328,100,34.804592
-1.460107,100,34.853484
-1.386206,100,34.903581
-1.212344,100,38.444532
-1.188533,100,38.492492
-1.230115,100,38.539778
-1.171839,100,38.587968
-1.269105,100,38.635385
-1.227665,100,38.682424
-1.142951,100,38.729618
-1.243331,100,38.777681
-1.179291,100,38.826825
-1.230213,100,38.874935
-0.550299,100,42.328513
-0.552518,100,42.379829
-0.552421,100,42.427653
-0.55343,100,42.474962
-0.552519,100,42.522325
-0.552835,100,42.569972
-0.553997,100,42.617526
