#{"t_start": 1589927995.5231185, "env_id": "widowx_reach-v3"}
r,l,t
-1.775581,100,2.922456
-4.267097,100,3.117952
-2.947316,100,3.315841
-1.98111,100,3.517364
-2.028797,100,3.715266
-2.089663,100,3.916568
-3.106704,100,4.114369
-1.333962,100,4.314349
-5.255496,100,4.51638
-2.722169,100,4.717847
-2.303966,100,4.914532
-1.85772,100,5.112986
-1.815178,100,5.831386
-3.627474,100,6.031529
-2.790473,100,6.231918
-1.830637,100,6.428546
-2.817784,100,6.627745
-1.207857,100,6.826229
-3.244626,100,7.024813
-2.252447,100,7.222755
-2.693405,100,7.423425
-3.132269,100,7.621818
-1.943371,100,7.816883
-2.238739,100,8.011698
-1.468043,100,8.212826
-2.538543,100,8.826085
-3.039483,100,9.024354
-2.341532,100,9.220545
-4.163662,100,9.418288
-3.5207,100,9.617085
-1.479195,100,9.816107
-2.266422,100,10.014433
-2.183226,100,10.215505
-2.41896,100,10.412697
-2.421668,100,10.614165
-2.144176,100,10.814842
-3.698396,100,11.011834
-2.383875,100,11.62422
-3.941898,100,11.826097
-3.479744,100,12.027528
-2.172964,100,12.235677
-1.146652,100,12.436436
-4.241609,100,12.638441
-2.183553,100,12.840721
-2.603793,100,13.047345
-3.311104,100,13.254611
-2.294638,100,13.45528
-4.087139,100,13.653351
-2.407589,100,13.85434
-2.136751,100,14.052137
-2.670129,100,14.710718
-2.884375,100,14.907926
-2.894083,100,15.104454
-3.127643,100,15.298164
-1.335693,100,15.494955
-2.246106,100,15.690993
-2.228246,100,15.888527
-4.284582,100,16.087282
-4.132178,100,16.285362
-1.963344,100,16.482985
-2.127391,100,16.683946
-2.669647,100,16.884231
-3.840341,100,17.502127
-2.178658,100,17.704614
-2.993563,100,17.911825
-1.56747,100,18.121569
-4.009404,100,18.327636
-2.896634,100,18.532642
-2.215944,100,18.740687
-5.41613,100,18.945696
-1.82205,100,19.151749
-2.84983,100,19.361127
-2.158743,100,19.563456
-3.153235,100,19.771572
-1.464809,100,19.983083
-2.24015,100,20.608107
-3.219041,100,20.818914
-2.472441,100,21.031949
-2.231743,100,21.254419
-3.392619,100,21.482666
-2.75112,100,21.680678
-1.761023,100,21.87567
-4.038713,100,22.074561
-1.552433,100,22.268328
-2.591477,100,22.472179
-2.481173,100,22.671426
-2.113733,100,22.866885
-3.125834,100,23.469291
-1.33516,100,23.670093
-1.886561,100,23.865229
-4.143732,100,24.057444
-2.978434,100,24.258017
-2.292845,100,24.455829
-3.71543,100,24.652455
-1.682516,100,24.850366
-4.671287,100,25.046503
-2.033936,100,25.245129
-2.98481,100,25.438771
-2.531272,100,25.638118
-3.607919,100,25.834929
-0.937951,100,26.451471
-2.091673,100,26.650108
-3.3921,100,26.85094
-2.761575,100,27.04367
-1.824057,100,27.243077
-3.393903,100,27.439293
-3.331324,100,27.637057
-2.120684,100,27.83729
-2.716539,100,28.030901
-2.477,100,28.226646
-2.109676,100,28.425504
-3.775759,100,28.618605
-2.57603,100,29.233189
-3.400492,100,29.434841
-2.26383,100,29.632009
-2.939908,100,29.824996
-1.997014,100,30.022041
-2.221634,100,30.222154
-3.091611,100,30.419686
-2.318161,100,30.613843
-2.947429,100,30.815774
-2.025386,100,31.012212
-4.046282,100,31.206438
-2.67898,100,31.4043
-1.929046,100,31.60098
-2.094056,100,32.232828
-1.357544,100,32.426526
-1.635321,100,32.621133
-3.895367,100,32.818374
-2.558004,100,33.015427
-2.142449,100,33.211022
-1.878555,100,33.406247
-1.912179,100,33.600578
-4.590338,100,33.797614
-4.500357,100,33.992902
-3.706451,100,34.194084
-2.122686,100,34.39068
-1.294863,100,35.007748
-1.666478,100,35.203542
-2.912942,100,35.400037
-2.207836,100,35.594506
-3.83068,100,35.790964
-1.384548,100,35.987122
-1.433474,100,36.178924
-2.386122,100,36.381782
-3.303504,100,36.580678
-3.676131,100,36.779208
-2.377221,100,36.975473
-2.008376,100,37.170106
-3.195895,100,37.3698
-1.967021,100,37.994646
-1.971462,100,38.192333
-2.644337,100,38.391051
-3.023771,100,38.58533
-2.529852,100,38.784686
-3.196452,100,38.97985
-3.410073,100,39.171395
-3.031681,100,39.364374
-2.769551,100,39.558658
-1.940073,100,39.750582
-2.887412,100,39.947363
-2.250515,100,40.140074
-1.895808,100,40.740714
-1.833331,100,40.937765
-3.492064,100,41.13562
-2.245954,100,41.337006
-2.86933,100,41.536391
-2.299854,100,41.731016
-2.165095,100,41.92722
-1.795895,100,42.122722
-2.597195,100,42.317411
-3.422159,100,42.51035
-2.514549,100,42.706732
-1.749131,100,42.898789
-1.960048,100,43.091367
-2.812306,100,43.687305
-2.420159,100,43.884125
-4.178242,100,44.078104
