#{"t_start": 1589940616.0305305, "env_id": "widowx_reach-v3"}
r,l,t
-1.863511,100,5.044996
-2.346469,100,5.310612
-2.465193,100,5.593205
-2.439886,100,5.856894
-2.29915,100,6.129759
-1.561839,100,6.393778
-1.624831,100,6.653994
-1.292634,100,6.914794
-2.750862,100,7.185953
-1.814853,100,7.448471
-1.457454,100,7.71242
-2.815038,100,7.975924
-1.999295,100,8.815163
-1.514254,100,9.097582
-3.056808,100,9.381043
-1.537161,100,9.670348
-1.480627,100,9.968292
-1.709535,100,10.256109
-1.12627,100,10.537516
-1.060084,100,10.802418
-1.127432,100,11.070091
-1.324996,100,11.328264
-1.376774,100,11.586063
-1.939353,100,11.844371
-1.643089,100,12.111717
-1.695458,100,12.844586
-2.008552,100,13.127116
-3.64536,100,13.40866
-2.693682,100,13.701792
-2.402792,100,13.990486
-1.660586,100,14.278576
-2.494779,100,14.558781
-2.441743,100,14.846751
-1.784506,100,15.129326
-2.542092,100,15.407699
-2.67925,100,15.69329
-3.443271,100,15.98069
-3.40606,100,16.754168
-4.784205,100,17.040353
-2.065382,100,17.329232
-2.059976,100,17.629719
-5.883677,100,17.924093
-5.311986,100,18.226818
-6.221943,100,18.519861
-6.034873,100,18.822809
-1.125421,100,19.112655
-2.193665,100,19.404397
-5.858329,100,19.700596
-5.700512,100,20.006637
-5.42231,100,20.296568
-1.860038,100,21.082226
-3.82356,100,21.365902
-2.280615,100,21.659215
-2.163171,100,21.944938
-2.138602,100,22.23516
-2.044375,100,22.526037
-2.288155,100,22.822059
-2.920943,100,23.106045
-2.169307,100,23.399484
-2.333649,100,23.69271
-2.380231,100,23.987542
-4.141622,100,24.274484
-2.688256,100,25.068023
-4.303868,100,25.358407
-3.905761,100,25.656639
-3.601566,100,25.947475
-5.92848,100,26.22988
-5.730944,100,26.502445
-4.373178,100,26.775842
-4.509787,100,27.040781
-4.718793,100,27.303926
-3.981638,100,27.570366
-3.320339,100,27.849914
-4.901515,100,28.113544
-2.80297,100,28.377783
-3.149937,100,29.094691
-2.147422,100,29.37855
-1.828079,100,29.656009
-3.897885,100,29.937094
-2.556564,100,30.215428
-2.139887,100,30.499243
-2.169278,100,30.771636
-1.91383,100,31.044176
-2.042922,100,31.324126
-1.88924,100,31.618938
-1.946252,100,31.903108
-1.870982,100,32.186
-1.717178,100,32.972152
-1.672601,100,33.264156
-1.712153,100,33.55069
-1.629961,100,33.839535
-1.644892,100,34.133208
-1.592043,100,34.430839
-1.702838,100,34.712126
-1.63064,100,34.998534
-1.832736,100,35.280612
-1.696087,100,35.570668
-1.722685,100,35.850877
-1.909373,100,36.134439
-1.800591,100,36.400236
-1.713321,100,37.149187
-1.854844,100,37.420235
-1.925663,100,37.689647
-1.988406,100,37.962161
-1.717999,100,38.242212
-1.859118,100,38.50816
-2.148285,100,38.769071
-1.787918,100,39.036732
-1.953527,100,39.313244
-2.015645,100,39.583251
-2.144101,100,39.847949
-2.283055,100,40.114287
-2.262223,100,40.853152
-2.77605,100,41.119473
-2.611394,100,41.374185
-3.326501,100,41.618123
-2.650373,100,41.872094
-2.551903,100,42.118009
-2.230194,100,42.359913
-2.860377,100,42.602606
-2.637578,100,42.857692
-2.691328,100,43.100117
-2.870122,100,43.342889
-2.722587,100,43.58569
-2.468853,100,43.83713
-3.025214,100,44.51455
-2.45181,100,44.780143
-2.329095,100,45.048756
-2.707884,100,45.329015
-2.395715,100,45.605581
-2.109461,100,45.879004
-2.398143,100,46.151854
-2.193101,100,46.414069
-2.235082,100,46.655061
-2.764965,100,46.907857
-2.319466,100,47.161794
-2.500011,100,47.42459
-2.488014,100,48.125661
-2.616648,100,48.383255
-2.163325,100,48.63715
-2.904131,100,48.899764
-3.039338,100,49.15313
-2.448542,100,49.410825
-1.998869,100,49.668869
-2.627042,100,49.93835
-2.249919,100,50.193686
-2.859152,100,50.447598
-2.96057,100,50.702095
-2.804303,100,50.965591
-2.514605,100,51.218966
-2.467781,100,51.918809
-2.790682,100,52.172566
-2.295372,100,52.435034
-2.036639,100,52.68897
-2.598115,100,52.945215
-2.113436,100,53.199054
-2.013994,100,53.464263
-2.018308,100,53.722802
-2.161811,100,53.981741
-2.222225,100,54.236898
-1.998228,100,54.499595
-2.136625,100,54.752028
-2.054761,100,55.454926
-2.062705,100,55.707584
-1.895936,100,55.970249
-2.252486,100,56.22252
-2.306123,100,56.47516
-2.16533,100,56.731424
-2.167394,100,57.007993
-1.947766,100,57.276341
-1.905325,100,57.544359
-2.065775,100,57.813819
-2.103615,100,58.095177
-1.854755,100,58.358769
-1.932591,100,58.623797
-1.78203,100,59.365173
-1.938644,100,59.641239
-1.959779,100,59.90875
-1.876473,100,60.17314
-1.882294,100,60.438631
-2.035,100,60.718254
-2.033854,100,60.983524
-2.101107,100,61.253387
-1.897453,100,61.518123
-2.043217,100,61.795303
-1.905002,100,62.067516
-2.162982,100,62.332816
-2.107175,100,63.084118
-2.120585,100,63.360451
-2.064984,100,63.627313
-2.168149,100,63.895157
-2.142714,100,64.160685
-2.146624,100,64.43814
-2.191177,100,64.706248
-2.121984,100,64.972859
-2.274641,100,65.244734
-2.311701,100,65.519058
-2.413896,100,65.78613
-2.29782,100,66.059201
-2.366464,100,66.324462
-2.483836,100,67.051204
-2.480127,100,67.306239
-2.721722,100,67.5625
-2.651671,100,67.818653
-2.672277,100,68.084778
-2.606209,100,68.339867
-2.481581,100,68.596662
-2.675521,100,68.851886
-2.394182,100,69.114853
-2.517727,100,69.371977
-2.558248,100,69.630855
-2.459559,100,69.889146
-2.358424,100,70.60506
-2.49483,100,70.860041
-2.506015,100,71.115182
-2.580629,100,71.37129
-2.353531,100,71.634602
-2.204358,100,71.88762
-2.208786,100,72.133226
-2.108126,100,72.377929
-2.147083,100,72.6306
-2.108274,100,72.874281
-2.098502,100,73.120067
-2.190055,100,73.370707
-2.050828,100,73.634513
-2.028384,100,74.311096
-2.013847,100,74.576797
-1.890667,100,74.843901
-2.049783,100,75.116117
-2.057212,100,75.380113
-2.010815,100,75.647231
-1.972543,100,75.912886
-2.048813,100,76.184514
-1.99857,100,76.445557
-2.032613,100,76.709216
-2.081709,100,76.973813
-2.180973,100,77.250515
-2.003109,100,77.970926
-2.024083,100,78.240159
-2.223065,100,78.499808
-1.982688,100,78.762717
-2.496745,100,79.016752
-2.60896,100,79.271384
-2.663016,100,79.526699
-2.817251,100,79.789473
-2.798473,100,80.043435
-2.308845,100,80.301542
-2.185155,100,80.555835
-2.212228,100,80.818519
-2.719359,100,81.072461
-2.628576,100,81.778526
-2.512611,100,82.034673
-2.023394,100,82.284525
-2.054541,100,82.524997
-2.278036,100,82.769291
-2.416893,100,83.01487
-2.115745,100,83.269123
-1.981648,100,83.513658
-2.133408,100,83.757855
-2.17191,100,84.002459
-2.050531,100,84.256963
-2.046595,100,84.502257
-2.06145,100,85.169382
-2.226183,100,85.436914
-2.198867,100,85.712061
-2.123568,100,85.982116
-2.202151,100,86.249593
-2.326612,100,86.516746
-2.503582,100,86.788264
-2.101361,100,87.052056
-2.328797,100,87.306675
-2.371362,100,87.560545
-2.173615,100,87.823805
-2.100267,100,88.078388
-2.501268,100,88.333619
-2.14608,100,89.169314
-2.29326,100,89.434635
-2.069632,100,89.693968
-2.030545,100,89.952063
-2.065315,100,90.208407
-2.371098,100,90.484463
-2.00419,100,90.754689
-2.018901,100,91.022766
-2.121326,100,91.28618
-1.978645,100,91.558111
-1.953179,100,91.823716
-2.090849,100,92.090935
-2.058153,100,92.845176
-2.205116,100,93.120908
-2.187047,100,93.392214
-2.074362,100,93.661495
-2.252429,100,93.932336
-2.481899,100,94.21471
-3.176285,100,94.482327
-2.111146,100,94.74609
-2.202837,100,95.007262
-2.791296,100,95.281761
-3.115026,100,95.55048
-2.079112,100,95.819118
-2.755824,100,96.089227
-2.74595,100,96.827379
-3.041482,100,97.096951
-3.093002,100,97.371152
-2.321136,100,97.64437
-3.079588,100,97.927937
-2.683988,100,98.201591
-2.903785,100,98.470877
-3.231285,100,98.743333
-3.508973,100,99.019601
-2.759609,100,99.28562
-2.928603,100,99.554463
-2.896785,100,99.826252
-2.914959,100,100.591745
-3.065592,100,100.861369
-2.807871,100,101.128848
-2.187319,100,101.397052
-2.032955,100,101.6736
-2.049519,100,101.943914
-2.062795,100,102.20327
-2.19148,100,102.450537
-2.126083,100,102.706808
-2.170652,100,102.952526
-2.30825,100,103.19611
-2.445333,100,103.446283
-2.102873,100,103.726238
-2.15822,100,104.473666
-2.388932,100,104.742046
-2.1817,100,105.009699
-1.969703,100,105.29031
-2.207577,100,105.555253
-2.059688,100,105.825007
-2.06463,100,106.101173
-1.938328,100,106.372854
-2.104239,100,106.635942
-1.928959,100,106.90176
-1.887781,100,107.167903
-1.903555,100,107.43176
-1.985047,100,108.128876
-1.759846,100,108.382554
-2.002995,100,108.635875
-2.022881,100,108.898282
-2.146397,100,109.150132
-1.939978,100,109.406049
-1.906822,100,109.661313
-1.861984,100,109.928346
-1.852571,100,110.183931
-1.929567,100,110.44906
-1.949522,100,110.714694
-1.905814,100,110.991216
-1.832344,100,111.257288
-1.811734,100,111.983404
-1.884972,100,112.250294
-2.004388,100,112.525757
-1.939767,100,112.7971
-1.941524,100,113.069257
-1.969537,100,113.339832
-1.950779,100,113.617557
-1.899334,100,113.887851
-1.87199,100,114.160492
-1.908965,100,114.430423
-1.868201,100,114.707273
-1.906021,100,114.977961
-1.899903,100,115.730205
-1.90714,100,115.995365
-1.916617,100,116.270607
-1.921895,100,116.5324
-2.029408,100,116.797263
-1.922481,100,117.063844
-2.005293,100,117.338419
-2.03923,100,117.581234
-2.065175,100,117.824483
-2.067112,100,118.067844
-2.015371,100,118.320147
-2.109457,100,118.570451
-2.113613,100,118.824843
-2.102348,100,119.520897
-2.227932,100,119.795653
-2.101607,100,120.064757
-2.088642,100,120.332484
-2.034663,100,120.601807
-2.099839,100,120.87743
-2.256012,100,121.144691
-2.08459,100,121.412628
-2.052643,100,121.681892
-2.096979,100,121.962919
-1.995058,100,122.231754
-1.995225,100,122.498641
-2.048447,100,123.24744
-1.950689,100,123.522826
-2.041105,100,123.792086
-1.95211,100,124.058672
-1.848681,100,124.326619
-2.125074,100,124.604305
-1.936034,100,124.872552
-2.002599,100,125.142203
-2.049701,100,125.407959
-1.93675,100,125.685457
-1.296932,100,125.955985
-1.957212,100,126.224693
-0.720693,100,126.495346
-2.00088,100,127.234714
-2.010838,100,127.499247
-1.971167,100,127.756526
