#{"t_start": 1589928648.4910843, "env_id": "widowx_reach-v3"}
r,l,t
-0.369862,100,2.786579
-0.364914,100,2.855629
-0.462331,100,3.334034
-0.445039,100,3.587777
-0.213998,100,3.850056
-0.869821,100,4.107728
-0.862229,100,4.364863
-1.186935,100,4.626041
-0.41958,100,4.885424
-0.47972,100,5.127751
-0.35557,100,5.366289
-0.619176,100,5.608069
-0.511954,100,5.867249
-0.766071,100,6.137949
-1.828444,100,6.399832
-0.791311,100,6.664922
-0.338569,100,6.932322
-0.34644,100,7.193376
-0.408205,100,7.455956
-0.487772,100,7.723027
-0.402661,100,7.990408
-0.572446,100,8.259212
-0.606283,100,8.523977
-0.230048,100,8.791504
-0.414152,100,9.040351
-0.503903,100,9.287968
-0.526978,100,9.53328
-0.638593,100,9.801076
-1.13588,100,10.070882
-1.184453,100,10.338337
-1.044939,100,10.602959
-0.687744,100,10.869149
-1.04283,100,11.13955
-1.191894,100,11.409812
-1.077496,100,11.680001
-0.962915,100,11.946633
-0.784714,100,12.214959
-1.19195,100,12.480887
-0.965047,100,12.754456
-0.799761,100,13.008424
-0.649775,100,13.252291
-1.033385,100,13.496848
-1.248759,100,13.749214
-1.500063,100,14.015893
-1.37444,100,14.270139
-1.673065,100,14.523345
-1.998561,100,14.780044
-1.846389,100,15.048
-1.436827,100,15.31436
-1.612418,100,15.5819
-3.156685,100,15.850555
-2.1079,100,16.124057
-1.475255,100,16.392756
-2.185149,100,16.660371
-2.064185,100,16.92539
-1.545794,100,17.16867
-0.808706,100,17.415149
-0.415431,100,17.662214
-0.4436,100,17.928578
-0.422274,100,18.194873
-0.411402,100,18.464628
-0.426613,100,18.732259
-0.412407,100,19.000309
-0.403952,100,19.26517
-0.419675,100,19.522168
-0.509394,100,19.780425
-0.489882,100,20.038524
-0.468347,100,20.306509
-0.510854,100,20.57523
-0.558204,100,20.833024
-0.465376,100,21.079979
-0.418156,100,21.324184
-0.395252,100,21.56876
-0.295128,100,21.822719
-0.079768,46,22.040719
-0.143396,100,22.291592
-0.198299,100,22.558882
-0.55449,100,22.836257
-0.504191,100,23.107478
-0.469466,100,23.375529
-0.609244,100,23.647988
-0.478819,100,23.919559
-1.156762,100,24.188319
-1.148544,100,24.459761
-1.193914,100,24.730118
-1.311761,100,24.985442
-1.188736,100,25.235119
-1.213832,100,25.485465
-1.405419,100,25.75336
-0.513353,100,26.024596
-0.936413,100,26.303935
-0.571523,100,26.574363
-0.673256,100,26.843558
-0.563668,100,27.113195
-0.527009,100,27.381882
-0.476877,100,27.648739
-0.455986,100,27.920131
-0.477299,100,28.187918
-0.506295,100,28.455967
-0.413195,100,28.723248
-0.462656,100,29.406575
-0.413301,100,29.663533
-0.334073,100,29.920972
-0.300718,100,30.176845
-0.314965,100,30.43475
-0.327705,100,30.705252
-0.173873,100,30.978286
-0.208709,100,31.252074
-0.214758,100,31.523884
-0.200534,100,31.795684
-0.233167,100,32.068577
-0.157981,100,32.338707
-0.162218,100,32.604152
-0.15498,100,32.871354
-0.174625,100,33.135389
-0.233877,100,33.386526
-0.161233,100,33.64042
-0.179152,100,33.911271
-0.171406,100,34.181948
-0.143985,100,34.462344
-0.187331,100,34.736762
-0.241148,100,35.000587
-0.322015,100,35.258281
-0.45237,100,35.518462
-0.685773,100,35.78551
-1.121025,100,36.058084
-1.252622,100,36.331441
-1.275578,100,36.605728
-1.447957,100,36.865398
-1.461266,100,37.112931
-1.533924,100,37.362596
-0.043152,24,37.378312
-1.649781,100,37.630887
-1.33974,100,37.900933
-1.130812,100,38.173858
-0.905463,100,38.441731
-0.040386,24,38.457346
-0.724524,100,38.732377
-0.604973,100,39.006655
-0.355419,100,39.279926
-0.496996,100,39.553628
-0.48251,100,39.826892
-0.81935,100,40.091361
-0.491554,100,40.347038
-0.428851,100,40.604292
-0.341439,100,40.861756
-0.760852,100,41.110157
-0.674976,100,41.362912
-0.54282,100,41.617123
-0.566729,100,41.881489
-0.551491,100,42.153894
-0.601571,100,42.421586
-0.805893,100,42.690351
-0.799249,100,42.961361
-0.648632,100,43.229067
-0.884123,100,43.498771
-0.945042,100,43.77093
-1.15686,100,44.041877
-1.099864,100,44.310015
-1.264292,100,44.578424
-1.123536,100,44.850391
-0.908338,100,45.099238
-0.823685,100,45.349325
-0.559317,100,45.600455
-0.37596,100,45.852522
-0.825974,100,46.120142
-0.791365,100,46.388435
-0.79454,100,46.654234
-0.729046,100,46.922645
-0.840747,100,47.18954
-0.544449,100,47.456677
-0.872618,100,47.722534
-0.760358,100,47.98826
-0.608033,100,48.253414
-0.5249,100,48.517191
-0.507837,100,48.779765
-0.484198,100,49.037841
-0.629501,100,49.293707
-0.548574,100,49.551592
-0.561551,100,49.814365
-0.561784,100,50.084291
-0.634402,100,50.335451
-0.629645,100,50.586654
-0.55206,100,50.837463
-0.582087,100,51.089135
-0.496631,100,51.351964
-0.596292,100,51.607348
-0.612272,100,51.86413
-0.621975,100,52.129095
-0.601271,100,52.38657
-0.464123,100,52.646091
-0.507653,100,52.899888
-0.517733,100,53.149832
-0.478111,100,53.395717
-0.474659,100,53.644214
-0.602149,100,53.902312
-0.548948,100,54.165114
-0.498803,100,54.421493
-0.51411,100,54.681805
-0.502856,100,54.93757
-0.574252,100,55.202368
-0.595263,100,55.462289
-0.620393,100,56.032245
-0.578868,100,56.289405
-0.547388,100,56.538768
-0.494135,100,56.789644
-0.401001,100,57.036897
-0.31505,100,57.290045
-0.521574,100,57.542953
-0.462222,100,57.801063
-0.823485,100,58.062249
-0.925308,100,58.32214
-1.078831,100,58.584892
-0.584005,100,58.842323
-1.042374,100,59.11633
-1.062185,100,59.37715
-1.382104,100,59.637151
-0.838766,100,59.893477
-0.655511,100,60.159231
-0.839643,100,60.417626
-0.625129,100,60.674074
-0.534062,100,60.929634
-0.609705,100,61.178114
-0.567933,100,61.427388
-0.505413,100,61.682242
-0.575095,100,61.940069
-0.535593,100,62.204447
-0.557426,100,62.460017
-0.592336,100,62.718573
-0.590663,100,62.978031
-0.589303,100,63.240379
-0.651901,100,63.496776
-0.69055,100,63.753291
-0.681774,100,64.011964
-0.672567,100,64.268651
-0.665912,100,64.524741
-0.604811,100,64.78223
-0.594828,100,65.034074
-0.656805,100,65.280602
-0.672389,100,65.524863
-0.608811,100,65.77959
-0.598008,100,66.040509
-0.563355,100,66.299676
-0.55253,100,66.554491
-0.55678,100,66.820212
-0.570831,100,67.084144
-0.512062,100,67.342736
-0.63101,100,67.60198
-0.646623,100,67.857222
-0.639112,100,68.124221
-0.639445,100,68.385046
-0.632031,100,68.641325
-0.639892,100,68.896451
-0.632172,100,69.144603
-0.621391,100,69.392136
-0.629855,100,69.641651
-0.620624,100,69.900741
-0.622776,100,70.169017
-0.625534,100,70.425611
-0.578199,100,70.68133
-0.589829,100,70.932382
-0.593255,100,71.182067
-0.576742,100,71.438076
-0.564374,100,71.689385
-0.571389,100,71.939442
-0.558151,100,72.190463
-0.544101,100,72.442244
-0.522564,100,72.693753
-0.493757,100,72.935845
-0.476818,100,73.180412
-0.483868,100,73.42502
-0.493587,100,73.675537
-0.511451,100,73.928253
-0.531296,100,74.192759
-0.553228,100,74.448827
-0.544214,100,74.704321
-0.552623,100,74.963863
-0.550765,100,75.2247
-0.555178,100,75.477923
-0.548597,100,75.732563
-0.513928,100,75.988631
-0.470068,100,76.24913
-0.488237,100,76.501765
-0.499648,100,76.754272
-0.522963,100,77.001917
-0.543797,100,77.247219
-0.55542,100,77.497123
-0.557563,100,77.757456
-0.547238,100,78.014868
-0.53668,100,78.276
-0.515607,100,78.531016
-0.510204,100,78.783046
-0.50892,100,79.040473
-0.501789,100,79.296553
-0.467365,100,79.552384
-0.459289,100,79.80862
-0.407186,100,80.0852
-0.455342,100,80.343431
-0.427321,100,80.599429
-0.426841,100,80.850178
-0.384133,100,81.102391
-0.369365,100,81.347974
-0.362293,100,81.929525
-0.357055,100,82.191002
-0.433375,100,82.449714
-0.403908,100,82.707
-0.470036,100,82.963516
-0.393355,100,83.22648
-0.350536,100,83.483449
-0.437138,100,83.740807
-0.403235,100,84.000165
-0.369714,100,84.260395
-0.447443,100,84.518305
-0.425333,100,84.771927
-0.488491,100,85.020629
-0.499135,100,85.26582
-0.445988,100,85.51733
-0.438481,100,85.7738
-0.483076,100,86.03116
-0.444398,100,86.288741
-0.468352,100,86.542443
-0.501957,100,86.801876
-0.511554,100,87.060603
-0.581474,100,87.315785
-0.683323,100,87.574745
-0.731001,100,87.829176
-0.783772,100,88.093142
-0.919077,100,88.347794
-0.788204,100,88.601488
-0.859447,100,88.849049
-0.742581,100,89.099236
-0.99122,100,89.347613
-0.926991,100,89.603156
-0.921684,100,89.860662
-1.089157,100,90.122227
-1.15146,100,90.379985
-1.120365,100,90.637672
-1.093395,100,90.8932
-1.209995,100,91.155221
-1.337694,100,91.413809
-1.40236,100,91.67414
-1.911812,100,91.933085
-1.158618,100,92.191058
-0.746432,100,92.451919
-0.685657,100,92.711483
-0.712979,100,92.958457
-0.701751,100,93.210459
-0.646835,100,93.463348
-0.610111,100,93.721159
