#{"t_start": 1589943483.9859672, "env_id": "widowx_reach-v3"}
r,l,t
-1.954678,100,2.351224
-1.047738,100,2.544425
-1.487333,100,3.502402
-1.845525,100,3.683741
-1.568081,100,3.868258
-1.613945,100,4.55175
-1.418912,100,4.732057
-2.125235,100,5.407375
-1.30089,100,5.587281
-2.27315,100,5.773926
-2.365583,100,6.465199
-2.808741,100,6.649199
-2.6918,100,7.837837
-2.14895,100,8.019449
-2.285909,100,8.201191
-2.326989,100,8.885067
-2.467808,100,9.068721
-2.372961,100,9.759126
-2.446764,100,9.962474
-2.66603,100,10.167101
-2.525448,100,10.858458
-2.592622,100,11.039598
-1.830478,100,11.221798
-2.326916,100,11.888782
-2.217357,100,12.070459
-2.622724,100,13.179367
-2.501673,100,13.36129
-2.209858,100,13.542662
-2.072304,100,14.247664
-2.143173,100,14.439734
-2.287186,100,15.113128
-2.79369,100,15.30074
-2.730497,100,15.48775
-2.593736,100,16.166383
-1.555058,100,16.347044
-2.508588,100,17.037565
-1.9707,100,17.219662
-1.43612,100,17.825736
-1.720018,100,18.524999
-2.157081,100,18.705257
-2.12354,100,19.388021
-1.659294,100,19.568237
-1.632781,100,19.749359
-2.442932,100,20.417826
-1.766915,100,20.603821
-2.481233,100,20.790435
-0.996815,100,21.469742
-2.382635,100,21.655213
-2.422073,100,22.359975
-1.941069,100,22.547029
-1.093985,100,23.162169
-1.020767,100,23.841033
-1.498079,100,24.022257
-1.117029,100,24.701678
-2.185976,100,24.882296
-0.951149,100,25.062597
-1.266299,100,25.750627
-2.617662,100,25.936128
-1.607019,100,26.623687
-1.818726,100,26.810653
-1.070723,100,27.001034
-1.503434,100,27.691097
-0.968967,100,28.315247
-2.48411,100,28.504297
-0.778225,100,29.196784
-0.812029,100,29.377413
-1.444909,100,30.07346
-0.84566,100,30.265974
-0.625138,100,30.452146
-1.666296,100,31.151928
-0.450899,100,31.336892
-0.833857,100,32.030401
-0.885127,100,32.21871
-1.079582,100,32.406472
-1.581089,100,33.094535
-0.751105,100,33.724022
-2.559681,100,34.447729
-0.559786,100,34.647459
-1.005089,100,34.847447
-1.719198,100,35.55201
-2.100717,100,35.735617
-2.253602,100,36.434186
-1.994039,100,36.617345
-1.520647,100,36.803038
-1.608723,100,37.501268
-0.937077,100,37.685001
-2.402519,100,37.869606
-2.265687,100,38.984749
-2.20542,100,39.168679
-1.160588,100,39.860189
-2.059406,100,40.063732
-0.471794,100,40.26863
-1.66289,100,40.96954
-0.844874,100,41.15668
-2.136432,100,41.858504
-3.218692,100,42.045383
-1.909274,100,42.234206
-0.500598,100,42.915154
-0.59629,100,43.096861
-2.264763,100,43.789961
-0.535662,100,44.392788
-0.569169,100,44.581225
-2.037415,100,45.277673
-0.849588,100,45.476182
-0.561337,100,46.191975
-0.537694,100,46.376465
-0.529436,100,46.56239
-0.633551,100,47.246646
-0.569751,100,47.426262
-1.120403,100,47.607196
-0.701774,100,48.303405
-0.611091,100,48.497742
-0.59863,100,49.623327
-0.501851,100,49.810007
-0.563606,100,49.997336
-0.505685,100,50.701807
-0.64429,100,50.883927
-0.56457,100,51.588347
-0.87037,100,51.782281
-0.610534,100,51.974895
-2.931185,100,52.673976
-0.576596,100,52.85566
-0.577193,100,53.554943
-0.597743,100,53.740237
-0.47236,100,53.926538
-0.535253,91,55.066172
-0.97193,100,55.247095
-0.938441,100,55.427532
-0.511491,100,56.1231
-0.68488,100,56.306647
-0.514054,100,57.010172
-0.511125,100,57.198606
-0.53091,100,57.388001
-3.385344,100,58.081604
-0.615716,100,58.276625
-0.66542,100,58.97714
-0.689602,100,59.157683
-0.727646,100,59.75404
-0.503255,100,60.462698
-0.485313,100,60.666897
-0.516977,100,61.359046
-0.590227,100,61.542962
-0.484996,100,61.727961
-0.472828,100,62.413773
-0.611019,100,62.598145
-0.489305,100,62.782474
-0.764349,100,63.469017
-0.431352,100,63.662584
-0.535243,100,64.374709
-3.248402,100,64.555838
-0.747197,100,65.152505
-0.640656,100,65.845374
-0.473526,100,66.034889
-0.656623,100,66.715627
-2.382004,100,66.894313
-0.539167,100,67.073105
-0.482532,100,67.743654
-0.874524,100,67.925659
-0.580425,100,68.606351
-0.473334,100,68.787743
-0.479747,100,68.968783
-0.51083,100,69.660213
-0.667629,100,70.256025
-0.556218,100,70.954498
-0.593543,100,71.135097
-0.506812,100,71.31559
-0.540865,100,72.006881
-0.491527,100,72.193271
-0.45515,100,72.375792
-0.442825,100,73.066296
-0.453917,100,73.253955
-0.465353,100,73.96389
-0.533247,100,74.148229
-0.53129,100,74.332564
-0.567299,100,75.027156
-0.527798,100,75.626479
-0.423865,100,76.31939
-0.476629,100,76.512723
-0.520343,100,76.708614
-0.593799,100,77.397535
-0.487043,100,77.577072
-0.550037,100,78.274504
-0.515833,100,78.460112
-0.453185,100,78.639181
-0.543658,100,79.320107
-0.547664,100,79.505247
-0.44209,100,80.187624
-0.587231,100,80.786888
-0.561921,100,80.97161
-0.488902,100,81.643892
-0.439934,100,81.823533
-0.521106,100,82.003109
-0.523669,100,82.685845
-0.538597,100,82.864901
-0.508395,100,83.544634
-0.521288,100,83.728878
-0.491995,100,83.912737
-0.524982,100,84.596551
-0.487396,100,84.778189
-0.610715,100,85.458986
-0.563104,100,86.04397
-0.567047,100,86.234238
-0.548029,100,86.920939
-0.548798,100,87.104214
-0.468407,100,87.785342
-0.438688,100,87.964895
-0.513294,100,88.144396
-0.42363,100,88.819509
-0.465487,100,89.002518
-0.519642,100,89.188066
-0.543175,100,89.865166
-0.489859,100,90.044639
-0.484179,100,91.124259
-0.488504,100,91.308857
-0.635112,100,91.493772
-0.532221,100,92.174183
-0.492331,100,92.358816
-0.454093,100,93.029097
-0.448535,100,93.209666
-0.496572,100,93.389539
-0.445399,100,94.059611
-0.459447,100,94.244144
-0.422642,100,94.920908
-0.448606,100,95.107284
-0.605553,100,95.29245
-0.455232,100,96.378918
-0.444598,100,96.558213
-0.410991,100,97.238325
-0.401635,100,97.420027
-0.410951,100,97.602489
-0.473253,100,98.293174
-0.445616,100,98.479399
-0.446752,100,98.663706
-0.410135,100,99.340733
-0.416501,100,99.52016
-0.476973,100,100.192475
-0.470337,100,100.376523
-0.392416,100,100.960728
-0.517974,100,101.63201
-0.469423,100,101.81123
-0.39557,100,102.486564
-0.538655,100,102.670949
-0.538822,100,102.855628
-0.49712,100,103.522517
-0.564863,100,103.702104
-0.450263,100,104.378855
-0.484428,100,104.558502
-0.522006,100,104.738176
-1.470446,100,105.429313
-0.465655,100,105.611239
-0.458834,100,106.721169
-0.473511,100,106.900533
-0.510251,100,107.079916
-0.494494,100,107.754579
-0.500008,100,107.936645
-0.515868,100,108.118806
-0.581734,100,108.804909
-0.46438,100,108.987276
-0.505755,100,109.670784
-0.475042,100,109.84938
-0.439441,100,110.028416
-0.450524,100,110.707459
-0.549041,100,111.30648
-0.445436,100,111.986935
-0.524799,100,112.166364
-0.482947,100,112.345825
-0.546374,100,113.015224
-2.075995,100,113.194492
-2.604565,100,113.877158
-1.310657,100,114.065765
-0.469506,100,114.260943
-0.479882,100,114.942967
-1.608381,100,115.123702
-0.50354,100,115.304174
-0.492834,100,115.981556
-0.454297,100,116.575681
-0.502206,100,117.259404
-0.506135,100,117.44206
-0.537981,100,117.625188
-0.460737,100,118.320359
-0.46355,100,118.509394
-0.492487,100,119.186992
-0.434497,100,119.365943
-0.454833,100,119.544853
-0.536088,100,120.236884
-1.602631,100,120.434671
-0.48035,100,121.136665
-0.469527,100,121.717251
-0.473319,100,121.90225
-0.537314,100,122.599406
-0.87603,100,122.800986
-0.531385,100,123.500718
-0.504545,100,123.681845
-1.94904,100,123.863204
-0.507139,100,124.546997
-0.476468,100,124.733662
-0.491733,100,124.92013
-0.470585,100,125.60785
-0.492932,100,125.794154
-0.491423,100,126.487764
-1.155894,100,127.071869
-0.742372,100,127.2558
-0.487282,100,127.940092
-0.496289,100,128.119064
-0.490644,100,128.79354
-0.454731,100,128.972874
-0.478109,100,129.152371
-0.493078,100,129.841886
-2.522541,100,130.029418
-1.850812,100,130.71609
-0.539184,100,130.895321
-2.124165,100,131.079691
-0.459343,100,132.157464
-0.486974,100,132.336687
-0.621928,100,133.020481
-0.465594,100,133.205947
-0.466267,100,133.392169
-0.527585,100,134.084897
-0.470068,100,134.276239
-0.504215,100,134.461373
-0.48035,100,135.137727
-0.491184,100,135.316903
-0.763412,100,135.995235
-0.469015,100,136.173486
-0.490915,100,136.352708
-0.531893,100,137.429492
-0.517253,100,137.609184
-0.567717,100,138.291026
-0.458498,100,138.48285
-0.508249,100,138.669526
-0.518003,100,139.351005
-0.502461,100,139.534904
-0.48803,100,140.220926
-0.480632,100,140.404545
-0.510188,100,140.588333
-0.50148,100,141.268108
-0.486388,100,141.451777
-0.464304,100,142.031837
-0.597315,100,142.710226
-1.264553,100,142.894371
-0.498792,100,143.584635
-0.74917,100,143.763648
-0.518822,100,143.943029
-0.553401,100,144.642061
-0.52181,100,144.821244
-0.531084,100,145.503761
-0.511593,100,145.688685
-2.084121,100,145.873614
-0.53264,100,146.568034
-0.497,100,146.747383
-0.498957,100,147.833411
-0.543535,100,148.017939
-0.534567,100,148.202817
-0.495694,100,148.86875
-0.546718,100,149.048918
-0.576486,100,149.724673
-0.526263,100,149.914875
-0.474592,100,150.105983
-0.539823,100,150.79266
-0.55478,100,150.97118
-0.692711,100,151.149602
-0.514136,100,151.828204
-0.760544,100,152.404953
