#{"t_start": 1589944017.5625858, "env_id": "widowx_reach-v3"}
r,l,t
-1.281451,100,4.051349
-1.290056,100,4.980054
-1.414309,100,5.340176
-1.775974,100,5.704255
-1.2196,100,6.068673
-1.482826,100,6.428229
-1.431349,100,6.787236
-1.477026,100,7.151525
-1.441714,100,7.509852
-0.862674,100,7.866184
-1.350649,100,8.22767
-1.354245,100,8.586722
-1.09946,100,8.948203
-1.355132,100,9.305617
-1.540825,100,9.663448
-0.96701,100,10.023773
-1.355855,100,10.378408
-1.263867,100,10.738349
-1.229564,100,11.095456
-1.18446,100,11.455031
-0.89623,100,11.812028
-1.497024,100,12.168914
-1.3864,100,12.534028
-1.041422,100,12.899421
-1.127294,100,13.261559
-1.377822,100,13.620098
-1.282245,100,13.978966
-1.476072,100,14.339369
-1.392951,100,14.697872
-1.44696,100,15.060078
-1.072169,100,15.426454
-1.461262,100,15.790668
-0.981525,100,16.149372
-1.27089,100,16.508862
-1.184767,100,16.869759
-1.214956,100,17.230084
-1.1931,100,17.591242
-1.126599,100,17.951565
-0.74457,100,18.317302
-1.10842,100,18.677124
-0.728686,100,19.036882
-1.19295,100,19.397207
-1.459385,100,19.757344
-1.260659,100,20.11923
-1.05351,100,20.485106
-0.7721,100,20.848182
-1.407025,100,21.214213
-1.8639,100,21.575924
-1.082668,100,21.939341
-0.650375,100,22.305865
-0.633792,100,22.667936
-1.342015,100,23.033181
-0.972105,100,23.397892
-1.203573,100,23.760324
-0.80942,100,24.125062
-2.294548,100,24.493513
-0.800755,100,24.858806
-0.822286,100,25.222143
-0.690892,100,25.58699
-0.915534,100,25.949937
-0.75275,100,26.315478
-0.664503,100,26.679179
-1.279704,100,27.047728
-0.854802,100,27.4087
-1.917494,100,27.771195
-0.841063,100,28.128681
-1.043269,100,28.491271
-0.627104,100,28.856869
-0.700478,100,29.220161
-1.07116,100,29.580904
-0.493952,100,29.94098
-0.486501,100,30.301824
-0.586112,100,30.66135
-0.546672,100,31.021894
-0.593371,100,31.383743
-0.746457,100,31.74234
-0.65912,100,32.102546
-0.650649,100,32.465727
-0.584725,100,32.831708
-0.559605,100,33.194945
-0.558022,100,33.558135
-0.58483,100,33.921667
-0.605961,100,34.284336
-0.641066,100,34.646877
-0.61017,100,35.012406
-0.580647,100,35.377237
-0.646575,100,35.738659
-0.877075,100,36.099189
-0.698796,100,36.460444
-0.743928,100,36.82324
-0.731324,100,37.18525
-0.874803,100,37.547854
-0.784838,100,37.913571
-0.808702,100,38.274737
-0.908476,100,38.639966
-0.859406,100,39.002124
-0.794143,100,39.365903
-0.686017,100,39.7322
-0.67006,100,40.094149
-0.670487,100,40.459376
-0.698125,100,41.568776
-0.627849,100,41.930021
-0.666251,100,42.294173
-0.780269,100,42.656431
-0.592263,100,43.023344
-0.794653,100,43.387362
-0.728477,100,43.750938
-0.709639,100,44.118038
-0.761714,100,44.480392
-0.658092,100,44.845641
-0.678926,100,45.209713
-0.74584,100,45.578782
-0.744203,100,45.942573
-0.660242,100,46.306679
-0.713647,100,46.671846
-0.634267,100,47.04189
-0.667655,100,47.404945
-0.68381,100,47.768185
-0.680931,100,48.134826
-0.662551,100,48.497686
-0.726098,100,48.866103
-0.78832,100,49.23094
-0.764981,100,49.593507
-0.755861,100,49.956134
-0.781276,100,50.321099
-0.802576,100,50.687415
-0.747827,100,51.054703
-0.788356,100,51.418424
-0.74632,100,51.782798
-0.747682,100,52.146931
-0.812464,100,52.512435
-0.831149,100,52.880342
-0.812097,100,53.256175
-0.807198,100,53.618011
-0.751633,100,53.983198
-0.826715,100,54.347044
-0.960818,100,54.711622
-0.812236,100,55.075998
-0.794344,100,55.442805
-0.89421,100,55.80267
-0.803293,100,56.163821
-0.71905,100,56.523663
-0.800041,100,56.886675
-0.880044,100,57.248786
-0.814694,100,57.611125
-0.782283,100,57.975323
-1.064695,100,58.335954
-0.798434,100,58.69497
-0.906627,100,59.055168
-0.695914,100,59.418827
-0.809853,100,59.777278
-0.664665,100,60.134778
-0.656713,100,60.497366
-0.668014,100,60.852993
-0.796678,100,61.211641
-0.751442,100,61.571119
-0.70905,100,61.933857
-0.664259,100,62.292522
-0.846994,100,62.652894
-0.627172,100,63.014576
-0.656228,100,63.367915
-0.757399,100,63.720623
-0.704785,100,64.078083
-0.738746,100,64.44356
-0.813443,100,64.807439
-0.954861,100,65.171011
-0.79713,100,65.538276
-0.725814,100,65.899884
-0.666217,100,66.258606
