#{"t_start": 1589935286.466191, "env_id": "widowx_reach-v3"}
r,l,t
-0.287929,100,5.542292
-0.414048,100,5.570464
-0.484635,100,5.598599
-0.408424,100,5.626809
-0.232582,100,5.654774
-0.334712,100,5.683168
-0.473923,100,5.711377
-0.944998,100,5.739834
-0.387003,100,5.768015
-0.393355,100,5.797005
-0.404792,100,5.825221
-0.522808,100,5.853668
-0.419061,100,5.881911
-0.354275,100,5.910088
-0.440799,100,5.938289
-0.475995,100,5.966738
-0.574858,100,5.995052
-1.044034,100,6.023305
-0.402467,100,6.051823
-0.457614,100,6.080249
-0.367866,100,6.108531
-0.409183,100,6.136795
-0.373949,100,6.16509
-0.791866,100,6.193582
-0.378532,100,6.221853
-0.440208,100,6.250405
-0.34017,100,6.278712
-0.515403,100,6.307168
-0.448669,100,6.335444
-0.537335,100,6.363781
-0.461922,100,6.392155
-0.521954,100,6.420649
-0.510125,100,6.449083
-0.693982,100,6.477422
-0.437216,100,6.50575
-0.443561,100,6.53427
-0.349845,100,6.56262
-0.503552,100,6.590979
-0.471616,100,6.619294
-0.396778,100,6.648004
-0.661051,100,6.676341
-0.411957,100,6.70474
-0.445169,100,6.733079
-0.635157,100,6.761611
-0.431492,100,6.790007
-0.590846,100,6.818526
-0.382426,100,6.846888
-0.537361,100,6.875485
-0.507405,100,6.903843
-0.409279,100,6.93219
-0.452347,100,6.960618
-0.339014,100,6.989197
-0.430992,100,7.017697
-0.342142,100,7.046139
-0.318646,100,7.074532
-0.905529,100,7.103072
-0.420119,100,7.131466
-0.646244,100,7.159941
-0.448174,100,7.188356
-0.535069,100,7.217435
-0.851125,100,7.24601
-0.569118,100,7.274426
-0.455032,100,7.302885
-0.388379,100,7.331548
-0.403401,100,7.360144
-0.486964,100,7.388927
-0.415742,100,7.418003
-0.30746,100,7.446833
-0.567628,100,7.475438
-0.51831,100,7.504061
-0.623682,100,7.532634
-0.555306,100,7.561524
-0.573152,100,7.590169
-0.503784,100,7.61896
-0.421493,100,7.647805
-0.57119,100,7.676732
-0.468894,100,7.705527
-0.424301,100,7.734238
-0.491033,100,7.76307
-0.389413,100,7.791924
