#{"t_start": 1589903791.0683913, "env_id": "widowx_reach-v3"}
r,l,t
-1.50284,100,1.516224
-1.631456,100,1.558929
-1.446595,100,1.81084
-1.104421,100,1.957403
-0.852231,100,2.103738
-0.513391,100,2.253463
-0.435863,100,2.402028
-0.483641,100,2.546115
-0.809811,100,2.694642
-0.684272,100,2.841668
-0.62142,100,2.993034
-0.680686,100,3.145126
-1.286276,100,3.297161
-0.468376,100,3.450286
-0.45235,100,3.606128
-0.404701,100,3.759176
-0.471288,100,3.908946
-0.4913,100,4.056376
-0.46411,100,4.208846
-0.428481,100,4.362128
-0.433627,100,4.513707
-0.424462,100,4.663187
-0.459631,100,4.819606
-0.58981,100,4.974463
-0.550967,100,5.129583
-0.833651,100,5.28335
-0.560261,100,5.436049
-0.66115,100,5.589536
-0.704374,100,5.743345
-0.72648,100,5.899433
-0.729362,100,6.059048
-0.722304,100,6.242466
-0.709502,100,6.394552
-0.706596,100,6.543549
-0.713109,100,6.699287
-0.718921,100,6.853803
-0.726141,100,6.996496
-0.71814,100,7.14306
-0.734929,100,7.297641
-0.753517,100,7.449705
-0.820427,100,7.604076
-0.887913,100,7.757513
-0.789508,100,7.911573
-0.735658,100,8.067985
-0.580974,100,8.224821
-0.521106,100,8.377755
-0.61558,100,8.529814
-0.429767,100,8.681418
-0.436755,100,8.825759
-0.437547,100,8.966905
-0.432546,100,9.118953
-0.401362,100,9.274156
-0.401247,100,9.428987
-0.420373,100,9.582674
-0.410024,100,9.734846
-0.462575,100,9.890849
-0.401858,100,10.045849
-0.44627,100,10.203948
-0.468895,100,10.358411
-0.444369,100,10.516301
-0.428973,100,10.672411
-0.459186,100,10.825808
-0.436304,100,10.986718
-0.433524,100,11.145393
-0.580899,100,11.300911
-0.472176,100,11.457993
-0.536783,100,11.61188
-0.418632,100,11.765466
-0.455516,100,11.921742
-0.43599,100,12.078433
-0.479999,100,12.236096
-0.440722,100,12.395181
-0.438178,100,12.556589
-0.48932,100,12.713703
-0.566626,100,12.871446
-0.465878,100,13.033217
-0.511767,100,13.188678
-0.436661,100,13.342166
-0.576005,100,13.491829
-0.555166,100,13.649319
-0.511319,100,13.806489
-0.433033,100,13.964677
-0.533377,100,14.123393
-0.507211,100,14.286517
-0.506227,100,14.442738
-0.446087,100,14.60617
-0.50973,100,14.763657
-0.38108,100,14.922144
-0.450184,100,15.084255
-0.475171,100,15.24456
-0.480191,100,15.399099
-0.486503,100,15.559688
-0.461993,100,15.722618
-0.482492,100,15.881681
-0.484316,100,16.037482
-0.448689,100,16.200356
-0.462659,100,16.356989
-0.476468,100,16.512247
-0.443565,100,16.674699
-0.473301,100,16.83465
