number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.4330768585205078,2020-06-14 14:57:16.571898,2020-06-14 16:33:23.607422,0 days 01:36:07.035524000,1.93753790119625e-07,0.98,0.005568547324911977,constant,1024,0.6365102601066418,COMPLETE
1,0.3828173279762268,2020-06-14 14:57:16.574492,2020-06-14 16:34:50.249809,0 days 01:37:33.675317000,5.781331549589946e-08,0.999,0.0009748788484962528,constant,512,0.6426736139106881,COMPLETE
2,0.4905502200126648,2020-06-14 14:57:16.576691,2020-06-14 16:37:21.546773,0 days 01:40:04.970082000,0.019438807452200887,0.995,0.004933644156736804,linear,16,0.9799960201369042,COMPLETE
3,3.2823498249053955,2020-06-14 14:57:16.578751,2020-06-14 16:34:36.229410,0 days 01:37:19.650659000,1.4632030923639538e-06,0.9999,0.054794269470073736,constant,64,0.9080617017312863,COMPLETE
4,3.9823079109191895,2020-06-14 14:57:16.580799,2020-06-14 16:34:14.738372,0 days 01:36:58.157573000,0.00116193618523135,0.995,0.6144973881053711,constant,64,0.43450767523200273,COMPLETE
5,1.9254531860351562,2020-06-14 14:57:16.582989,2020-06-14 16:37:33.512491,0 days 01:40:16.929502000,1.0915896050651e-08,0.999,2.8633576040534542e-05,linear,16,0.09140057202120555,COMPLETE
6,1.1404601335525513,2020-06-14 14:57:16.585068,2020-06-14 16:33:59.747595,0 days 01:36:43.162527000,7.082062478486588e-05,0.99,0.44351984016414775,constant,32,0.29256742442761496,COMPLETE
7,0.6816874146461487,2020-06-14 14:57:16.586683,2020-06-14 16:42:03.734412,0 days 01:44:47.147729000,7.242277855081667e-08,0.98,0.0024587828673123427,constant,8,0.3102065343330659,COMPLETE
8,1.1404601335525513,2020-06-14 14:57:16.588775,2020-06-14 16:34:52.418691,0 days 01:37:35.829916000,0.00023570511645456537,0.999,0.3141610860698136,constant,128,0.8856115325759203,COMPLETE
9,0.43900030851364136,2020-06-14 14:57:16.590823,2020-06-14 16:32:17.823683,0 days 01:35:01.232860000,0.011090093961463439,0.9999,3.4748596602703675e-05,linear,2048,0.050675516871869775,COMPLETE
10,0.4458783268928528,2020-06-14 14:57:16.593072,2020-06-14 16:35:15.076335,0 days 01:37:58.483263000,0.09966901911229599,0.99,0.09851595059939458,constant,128,0.3083922392849002,COMPLETE
11,3.169792652130127,2020-06-14 14:57:16.595181,2020-06-14 16:36:20.865088,0 days 01:39:04.269907000,0.024582822809107053,0.99,0.001120448711386638,constant,32,0.094810480287291,COMPLETE
12,0.2957746982574463,2020-06-14 14:57:16.597299,2020-06-14 16:35:19.829163,0 days 01:38:03.231864000,5.728487375584642e-07,0.95,0.034306516896705136,constant,512,0.5333205390886561,COMPLETE
13,0.4575428068637848,2020-06-14 14:57:16.599380,2020-06-14 16:34:09.680681,0 days 01:36:53.081301000,0.06888859170644836,0.995,0.0001750676156296803,linear,2048,0.2074434960114384,COMPLETE
14,1.1639719009399414,2020-06-14 14:57:16.602266,2020-06-14 16:39:41.532294,0 days 01:42:24.930028000,0.00013474308033593327,0.9999,0.027728283726870178,linear,16,0.5688695814857758,COMPLETE
15,0.08529174327850342,2020-06-14 14:57:16.604366,2020-06-14 16:39:20.895561,0 days 01:42:04.291195000,0.01712665675930629,0.9,0.18124458248476055,constant,8,0.08492398017263125,COMPLETE
16,0.3895312249660492,2020-06-14 14:57:16.606573,2020-06-14 16:34:38.050592,0 days 01:37:21.444019000,3.873314737328906e-08,0.9,1.676543344532885e-05,linear,128,0.2455441089474666,COMPLETE
17,1.4667927026748657,2020-06-14 14:57:16.608705,2020-06-14 16:36:08.659653,0 days 01:38:52.050948000,2.1806533403343335e-06,0.95,0.2430696853630349,linear,16,0.41793176395719034,COMPLETE
18,0.35963860154151917,2020-06-14 14:57:16.610864,2020-06-14 16:33:56.978204,0 days 01:36:40.367340000,0.012142583907841398,0.9,0.000923930223855638,constant,1024,0.17627381886206095,COMPLETE
19,0.5275060534477234,2020-06-14 14:57:16.613148,2020-06-14 16:35:35.161212,0 days 01:38:18.548064000,1.5609479818703416e-08,0.999,0.018102491235748957,linear,256,0.6873336609983806,COMPLETE
20,0.4033524990081787,2020-06-14 14:57:16.615272,2020-06-14 16:34:00.630848,0 days 01:36:44.015576000,0.0003831035825250808,0.98,1.780862677798898e-05,linear,128,0.11885768635267369,COMPLETE
21,1.1404601335525513,2020-06-14 14:57:16.617577,2020-06-14 16:33:38.425075,0 days 01:36:21.807498000,1.0650895881588417e-06,0.999,0.9966914602856851,constant,256,0.3707269819622936,COMPLETE
