number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
0,1.023368239402771,2020-06-16 10:12:39.091375,2020-06-16 12:05:20.618218,0 days 01:52:41.526843000,256,0.4,0.001273620793731241,0.999,1.0,0.0013754616289035984,1024,50,COMPLETE
1,0.6605555415153503,2020-06-16 10:12:39.095137,2020-06-16 12:05:22.627969,0 days 01:52:43.532832000,128,0.3,4.543330180604212e-06,0.9999,0.99,0.03967175858343139,32,10,COMPLETE
2,0.4449686110019684,2020-06-16 10:12:39.097866,2020-06-16 13:12:42.601976,0 days 03:00:03.504110000,32,0.4,2.8561812923596104e-05,0.98,0.8,0.0011741090167595892,128,50,COMPLETE
3,0.2801150977611542,2020-06-16 10:12:39.100507,2020-06-16 12:05:36.384802,0 days 01:52:57.284295000,256,0.2,2.950846968218909e-06,0.9,0.99,0.09646315294374516,512,50,COMPLETE
4,0.35335028171539307,2020-06-16 10:12:39.103236,2020-06-16 12:21:20.397369,0 days 02:08:41.294133000,64,0.4,0.005345928322481197,0.995,1.0,0.0005086188909451205,128,30,COMPLETE
5,1.464572548866272,2020-06-16 10:12:39.105835,2020-06-16 12:13:50.461858,0 days 02:01:11.356023000,64,0.3,2.2244948594398875e-07,0.9999,0.99,0.11190087230918874,64,50,PRUNED
6,1.648313283920288,2020-06-16 10:12:39.108581,2020-06-16 11:50:42.758029,0 days 01:38:03.649448000,128,0.3,2.725227597332204e-07,0.95,0.95,0.26561632238223226,128,5,COMPLETE
7,1.6295865774154663,2020-06-16 10:12:39.111272,2020-06-16 12:07:44.662972,0 days 01:55:05.551700000,128,0.1,0.0005047285776184611,0.98,0.8,0.18425631893355324,512,30,COMPLETE
8,0.7838812470436096,2020-06-16 10:12:39.113972,2020-06-16 11:56:19.794707,0 days 01:43:40.680735000,32,0.3,0.0028155235002997056,0.995,0.98,0.00020487272551024792,2048,5,COMPLETE
9,0.6903703808784485,2020-06-16 10:12:39.116590,2020-06-16 12:06:17.307652,0 days 01:53:38.191062000,256,0.4,3.88055398080236e-08,0.98,0.9,1.4442344619093292e-05,128,30,COMPLETE
10,0.5693635940551758,2020-06-16 10:12:39.119207,2020-06-16 13:58:52.499055,0 days 03:46:13.379848000,128,0.2,3.0409980549761222e-05,0.95,0.9,0.0008593091076900036,16,50,COMPLETE
11,0.3489065170288086,2020-06-16 10:12:39.121970,2020-06-16 12:06:46.821033,0 days 01:54:07.699063000,128,0.1,0.0007754299540050374,0.9999,0.99,0.14246366315969072,2048,30,COMPLETE
12,0.349545955657959,2020-06-16 10:12:39.124663,2020-06-16 12:53:13.242976,0 days 02:40:34.118313000,64,0.2,1.2437433959328905e-07,0.99,0.95,0.0007322795005895935,16,20,COMPLETE
13,0.6504942774772644,2020-06-16 10:12:39.127368,2020-06-16 11:56:55.329973,0 days 01:44:16.202605000,32,0.1,0.00012757386265049717,0.9999,1.0,0.0027642774731984642,64,20,PRUNED
14,1.2197214365005493,2020-06-16 10:12:39.130402,2020-06-16 12:07:30.468887,0 days 01:54:51.338485000,128,0.1,3.0245699984143652e-05,0.98,1.0,0.04230489146488272,512,30,COMPLETE
15,1.0733630657196045,2020-06-16 10:12:39.133177,2020-06-16 11:54:52.107394,0 days 01:42:12.974217000,256,0.1,0.00038219607499889795,0.999,0.8,0.002339606926769039,1024,20,COMPLETE
16,0.3850402235984802,2020-06-16 10:12:39.135898,2020-06-16 12:23:09.641784,0 days 02:10:30.505886000,128,0.2,0.08424247293514775,0.95,0.95,0.06801500911078036,64,30,COMPLETE
17,0.5539866089820862,2020-06-16 10:12:39.138677,2020-06-16 11:57:14.685637,0 days 01:44:35.546960000,128,0.3,1.3047113997601151e-05,0.995,0.8,0.0004961619881591926,32,5,COMPLETE
18,0.037845417857170105,2020-06-16 10:12:39.141452,2020-06-16 12:09:27.940579,0 days 01:56:48.799127000,256,0.3,0.013840360301145483,0.9,0.9,0.0003499157559282683,64,20,COMPLETE
19,2.5331573486328125,2020-06-16 10:12:39.144174,2020-06-16 11:52:19.201923,0 days 01:39:40.057749000,128,0.2,0.001568978311643636,0.995,0.8,0.03250953312391431,1024,5,COMPLETE
20,0.7320480346679688,2020-06-16 10:12:39.146919,2020-06-16 12:03:48.703900,0 days 01:51:09.556981000,256,0.2,0.0004976536720280449,0.9999,0.95,0.5509327019459471,32,30,PRUNED
21,0.5145577788352966,2020-06-16 10:12:39.149796,2020-06-16 12:03:05.203714,0 days 01:50:26.053918000,256,0.1,7.651781580774651e-07,0.995,0.8,1.0414398477548291e-05,2048,50,COMPLETE
22,0.30699118971824646,2020-06-16 10:12:39.152802,2020-06-16 11:53:38.452455,0 days 01:40:59.299653000,256,0.3,0.03533666982582199,0.999,1.0,0.0862815072269818,1024,10,COMPLETE
23,1.0088553428649902,2020-06-16 10:12:39.155624,2020-06-16 11:57:40.135113,0 days 01:45:00.979489000,128,0.2,5.991400139235995e-06,0.995,0.98,0.021534544449291423,1024,50,PRUNED
24,0.8803714513778687,2020-06-16 10:12:39.158530,2020-06-16 11:53:57.715463,0 days 01:41:18.556933000,128,0.3,0.00123648408710298,0.995,1.0,0.1627460172290183,128,10,COMPLETE
25,0.13921836018562317,2020-06-16 10:12:39.161269,2020-06-16 12:22:09.740712,0 days 02:09:30.579443000,32,0.2,0.0001232062933817578,0.98,1.0,3.283372815373969e-05,1024,20,COMPLETE
26,1.3964920043945312,2020-06-16 10:12:39.164097,2020-06-16 11:47:09.111755,0 days 01:34:29.947658000,64,0.4,1.2550249271111677e-08,0.995,0.99,0.00532076897698979,2048,1,COMPLETE
27,0.5663783550262451,2020-06-16 10:12:39.166905,2020-06-16 12:42:50.158276,0 days 02:30:10.991371000,128,0.2,4.3983748663008857e-08,0.999,0.98,0.07759297064185988,64,50,COMPLETE
28,0.47931694984436035,2020-06-16 10:12:39.169643,2020-06-16 12:07:16.452258,0 days 01:54:37.282615000,128,0.4,1.248311514913865e-05,0.9,0.99,0.00939133259999511,2048,30,COMPLETE
29,0.5915526151657104,2020-06-16 10:12:39.172358,2020-06-16 11:48:23.865840,0 days 01:35:44.693482000,128,0.1,0.0031112935036829302,0.98,0.8,0.0021801887959365875,256,1,COMPLETE
30,0.08529174327850342,2020-06-16 10:12:39.175444,2020-06-16 12:22:03.768819,0 days 02:09:24.593375000,32,0.4,0.00012339765637846362,0.9999,0.98,0.9802594708530432,1024,20,COMPLETE
