#{"t_start": 1592310487.2186174, "env_id": "widowx_reacher-v5"}
r,l,t
-1.84719,100,75.973926
-3.275277,100,81.766253
-2.334286,100,87.078701
-1.587834,100,92.386818
-2.785311,100,97.102587
-2.225345,100,102.237654
-1.211694,100,107.820108
-1.670819,100,112.960512
-2.601854,100,118.559879
-1.090722,100,124.599721
-2.299991,100,163.649054
-2.235174,100,168.922359
-1.344211,100,175.198954
-1.600305,100,180.856407
-3.651836,100,186.442966
-4.25107,100,191.122604
-2.238313,100,195.641296
-1.997744,100,200.179999
-3.471185,100,205.398299
-2.968606,100,212.166227
-3.568838,100,247.191539
-2.63824,100,252.634291
-0.557628,100,257.880355
-2.840711,100,263.114349
-1.768803,100,267.940276
-2.603394,100,272.991543
-2.377864,100,278.153113
-0.547427,86,282.253888
-3.024388,100,287.434406
-1.713001,100,293.10021
-0.593267,100,327.609038
-2.23421,100,343.725973
-1.960705,100,348.519356
-2.271054,100,353.562037
-1.776417,100,358.827956
-1.509747,100,363.456692
-2.241502,100,368.861408
-3.060988,100,374.22916
-2.505598,100,379.862955
-1.679224,100,387.306871
-2.954315,100,393.050106
-1.703426,100,423.353022
-1.838898,100,427.875829
-2.044213,100,432.637871
-2.546814,100,437.16271
-2.494285,100,441.589784
-1.980974,100,445.994009
-2.351413,100,451.195681
-2.141588,100,455.641035
-2.524475,100,460.289872
-2.111469,100,465.699743
-2.45455,100,500.39839
-1.582074,100,505.087368
-2.192195,100,509.786747
-3.330889,100,513.843342
-1.576771,100,518.261015
-2.334104,100,522.19461
-2.552379,100,526.35663
-1.696495,100,530.485965
-2.146378,100,535.355089
-1.475763,100,540.284533
-2.036464,100,572.932534
-2.008911,100,587.016383
-1.889836,100,591.020081
-3.040932,100,595.757013
-2.256561,100,599.78911
-1.351099,100,603.630665
-2.261589,100,607.963711
-1.965331,100,612.373477
-2.232128,100,616.652531
-2.083753,100,621.683417
-1.937962,100,645.291947
-2.123496,100,649.25616
-2.384833,100,653.368016
-1.655079,100,657.329932
-2.444738,100,660.772563
-1.630291,100,665.133413
-1.439427,100,668.919105
-2.207318,100,673.148856
-1.188636,100,676.866563
-1.461934,100,680.005688
-0.978787,100,683.950186
-2.090381,100,707.466734
-1.886844,100,711.209877
-2.387956,100,714.660892
-2.220423,100,717.480925
-2.190601,100,721.465691
-1.882414,100,724.991846
-1.858226,100,728.369411
-1.717932,100,731.691484
-2.706124,100,735.378222
-1.972447,100,739.314111
-2.289665,100,760.189443
-2.021438,100,770.066306
-1.676627,100,773.358583
-2.609534,100,776.396377
-2.402231,100,779.731735
-1.564201,100,783.325866
-1.705356,100,786.653276
-1.60656,100,790.316152
-1.917554,100,793.960166
-1.978966,100,797.573771
-1.749768,100,819.362416
-2.320396,100,822.546004
-1.712303,100,825.514004
-1.955332,100,828.218102
-2.475761,100,830.824434
-1.914343,100,833.965384
-1.923586,100,837.236975
-1.631893,100,840.610461
-2.227358,100,844.289158
-2.546688,100,848.146665
-1.87762,100,867.994427
-1.795796,100,872.01187
-1.758267,100,875.893201
-1.735769,100,879.445683
-1.837473,100,882.760057
-1.964269,100,885.731296
-3.165525,100,888.470039
-2.762959,100,891.30992
-2.642337,100,894.626009
-1.655055,100,897.737956
-1.916366,100,901.280788
-2.51672,100,920.813174
-1.971118,100,923.939005
-2.233963,100,933.822477
-2.667405,100,937.074717
-1.83757,100,940.007416
-2.447662,100,943.162963
-1.86824,100,946.229406
-1.934094,100,949.484612
