#{"t_start": 1589903709.6091971, "env_id": "widowx_reach-v3"}
r,l,t
-0.374082,100,1.594325
-0.370562,100,1.636882
-0.458854,100,1.899815
-0.258835,100,2.057539
-0.965771,100,2.211675
-0.747451,100,2.365807
-0.458751,100,2.542027
-0.943037,100,2.700745
-1.071164,100,2.866978
-0.291841,100,3.024323
-0.265849,100,3.179495
-0.432815,100,3.33642
-0.892623,100,3.499014
-0.991306,100,3.658146
-0.905614,100,3.81581
-0.548782,100,3.992223
-0.504642,100,4.149176
-1.19054,100,4.301913
-2.126801,100,4.459403
-2.782414,100,4.615373
-2.971338,100,4.79731
-2.386282,100,4.955086
-2.52055,100,5.115706
-2.366645,100,5.274517
-2.618713,100,5.432808
-2.498523,100,5.590793
-1.253773,100,5.749113
-2.197516,100,5.920317
-1.70016,100,6.098599
-0.579177,100,6.252756
-0.717796,100,6.401255
-0.442716,100,6.55819
-0.450379,100,6.716011
-0.399716,100,6.885743
-0.37323,100,7.051202
-0.311444,100,7.207939
-0.416304,100,7.373496
-0.371203,100,7.542002
-0.436927,100,7.699167
-0.426917,100,7.85711
-0.454949,100,8.015564
-0.414357,100,8.175171
-0.455222,100,8.336275
-0.453228,100,8.493495
-0.485003,100,8.652181
-0.460051,100,8.809851
-0.516189,100,8.967669
-0.596897,100,9.128885
-0.498121,100,9.289721
-0.479493,100,9.447632
-0.461002,100,9.608969
-0.528924,100,9.768567
-0.465723,100,9.927209
-0.46006,100,10.089657
-0.442231,100,10.247532
-0.547042,100,10.405445
-0.464024,100,10.562381
-0.536227,100,10.721793
-0.443577,100,10.88048
-0.376585,100,11.039552
-0.480718,100,11.200261
-0.588133,100,11.354583
-0.413025,100,11.506825
-0.41878,100,11.672095
-0.408947,100,11.8289
-0.436572,100,11.984492
-0.510762,100,12.145385
-0.505678,100,12.305027
-0.357538,100,12.460308
-0.392385,100,12.616646
-0.564569,100,12.769763
-0.465705,100,12.931608
-0.396785,100,13.092733
-0.516843,100,13.248667
-0.463438,100,13.415075
-0.500305,100,13.581473
-0.538471,100,13.764151
-0.565933,100,13.932783
-0.571082,100,14.106284
-0.528898,100,14.286256
-0.55703,100,14.457148
-0.710719,100,14.632069
-0.535368,100,14.797134
-0.534679,100,14.953218
-0.503795,100,15.117666
-0.564582,100,15.282711
-0.541092,100,15.443353
-0.568396,100,15.616475
-0.47532,100,15.778143
-0.46073,100,15.941383
-0.468824,100,16.101941
-0.449977,100,16.259795
-0.54486,100,16.438595
-0.466885,100,16.621989
-0.486903,100,16.794517
-0.526145,100,16.966326
-0.425311,100,17.135983
-0.476992,100,17.296763
-0.461069,100,17.457042
-0.142288,43,17.598541
