#{"t_start": 1589903816.4255118, "env_id": "widowx_reach-v3"}
r,l,t
-1.733406,100,2.256454
-1.838683,100,2.746768
-1.778349,100,2.953727
-1.337357,100,3.165134
-1.089373,100,3.372365
-1.829881,100,3.581096
-1.453091,100,3.789708
-2.002738,100,3.997985
-1.152064,100,4.20575
-1.690535,100,4.415514
-1.576727,100,4.643038
-1.071344,100,4.871447
-1.622644,100,5.098807
-1.215439,100,5.32667
-1.046629,100,5.554971
-1.51873,100,5.781543
-0.840961,100,6.008262
-1.313993,100,6.235432
-1.2377,100,6.463485
-1.860411,100,6.691032
-1.187049,100,6.917759
-1.281697,100,7.130335
-1.088455,100,7.346351
-1.377079,100,7.557715
-1.035115,100,7.773673
-1.228715,100,7.984205
-1.370847,100,8.195565
-0.833086,100,8.405393
-0.978818,100,8.615668
-1.502082,100,8.829524
-1.513976,100,9.040234
-1.216772,100,9.255002
-0.817987,100,9.467558
-1.015472,100,9.67737
-0.993037,100,9.886037
-1.080372,100,10.096298
-1.09913,100,10.305621
-1.08632,100,10.517656
-0.970534,100,10.726506
-1.294106,100,10.941353
-1.293161,100,11.155299
-0.741505,100,11.366388
-1.639809,100,11.586527
-0.933183,100,11.817182
-1.07611,100,12.046539
-0.853507,100,12.276116
-1.082243,100,12.531687
-1.438444,100,12.754789
-1.585122,100,12.983147
-1.063546,100,13.20838
-1.068802,100,13.424028
-1.213574,100,13.640265
-1.742517,100,13.861971
-1.081977,100,14.090036
-0.904458,100,14.313104
-1.138012,100,14.527923
-0.987794,100,14.776557
-1.08801,100,15.021079
-1.005078,100,15.262268
-1.242355,100,15.500547
-1.315946,100,15.723477
-0.970556,100,15.942697
-1.045748,100,16.15467
-1.017129,100,16.364609
-0.7381,100,16.574534
-0.941358,100,16.784631
-0.901976,100,16.994215
-1.648877,100,17.20635
-1.265024,100,17.429473
-1.053521,100,17.670719
-1.572376,100,17.917586
-1.407631,100,18.160498
-1.53149,100,18.397135
-1.053142,100,18.613917
-1.563735,100,18.829225
-1.232736,100,19.044688
-1.032801,100,19.256663
-0.974406,100,19.468791
-1.413718,100,19.682587
-1.471766,100,19.893232
-1.847583,100,20.10502
-1.180432,100,20.344007
-0.771467,100,20.558682
-0.645787,100,20.770868
-0.599602,100,20.984056
-0.953204,100,21.195295
-0.691664,100,21.409724
-0.913605,100,21.62476
-0.624173,100,21.838044
-0.754089,100,22.049108
-0.571569,100,22.259724
-0.838416,100,22.472935
-0.580376,100,22.693337
-0.639679,100,22.919334
-0.569954,100,23.136102
-0.588437,100,23.353715
-0.766752,100,23.590042
-0.69487,100,23.820156
-0.716406,100,24.03546
-0.876767,100,24.250595
