#{"t_start": 1592422796.9019344, "env_id": "widowx_reacher-v5"}
r,l,t
-0.443555,100,1.816299
-0.412709,100,1.875562
-0.348206,100,2.338029
-0.729476,100,2.58408
-1.51337,100,2.824693
-1.600989,100,3.069145
-1.041466,100,3.319106
-1.800069,100,3.560726
-0.893617,100,3.804574
-0.608563,100,4.046963
-0.444379,100,4.254964
-1.14635,100,4.46229
-1.368985,100,4.670074
-1.419304,100,4.877375
-1.399978,100,5.085706
-1.301641,100,5.29738
-1.254695,100,5.506301
-1.236795,100,5.726311
-1.207116,100,5.968188
-1.41648,100,6.213988
-1.210007,100,6.457973
-1.279799,100,6.703554
-0.503717,100,6.953628
-1.281146,100,7.206763
-0.49249,100,7.453063
-0.493776,100,7.69751
-0.47993,100,7.947524
-0.429099,100,8.201978
-0.45199,100,8.448577
-0.452917,100,8.685344
-0.483868,100,8.922308
-0.571551,100,9.162947
-0.533222,100,9.410729
-0.579278,100,9.655971
-0.551146,100,9.902963
-0.548161,100,10.124344
-0.656841,100,10.335952
-0.60761,100,10.546737
-0.574624,100,10.758172
-0.699703,100,10.969521
-1.551479,100,11.184185
-0.584097,100,11.396948
-0.543934,100,11.609257
-0.50684,100,11.821297
-1.535389,100,12.033809
-1.555643,100,12.245903
-1.574845,100,12.458311
-0.476854,100,12.676722
-0.666527,100,12.88896
-1.659299,100,13.108941
-0.506599,100,13.321492
-1.543055,100,13.533194
-0.679483,100,13.7463
-0.744315,100,13.960364
-1.759487,100,14.173313
-0.529371,100,14.386223
-0.576743,100,14.598993
-0.733563,100,14.811352
-0.52876,100,15.026678
-0.586524,100,15.239868
-0.86733,100,15.452975
-0.524667,100,15.666368
-0.684385,100,15.879549
-0.759955,100,16.092449
-0.682603,100,16.305456
-0.641993,100,16.518264
-0.688486,100,16.732343
-0.652839,100,16.945035
-0.557481,100,17.158635
-0.547305,100,17.371795
-0.659307,100,17.590082
-0.574096,100,17.803156
-0.662348,100,18.015963
-0.509639,100,18.228241
-0.5773,100,18.440845
-0.618111,100,18.652952
-0.529483,100,18.865702
-0.540617,100,19.077965
-0.446749,100,19.290794
-0.510344,100,19.503531
-0.514914,100,19.715749
-0.48809,100,19.927654
-0.398724,100,20.143442
-0.40935,100,20.357068
-0.358226,100,20.570837
-0.440662,100,20.784646
-0.524225,100,20.997521
-1.322783,100,21.209698
-0.596028,100,21.422899
-0.46144,100,21.635915
-0.443367,100,21.849321
-0.433089,100,22.061969
-0.613724,100,22.279917
-0.463964,100,22.492405
-0.402488,100,22.705466
-0.395971,100,22.918093
-0.403442,100,23.131084
-0.411165,100,23.343803
-0.429277,100,23.55756
-0.419707,100,23.770071
