#{"t_start": 1592510530.9712157, "env_id": "widowx_reacher-v7"}
r,l,t
-1.117921,100,1.961964
-0.677045,100,2.0308
-1.094111,100,2.101982
-3.085285,100,2.171625
-2.757289,100,2.242761
-3.620546,100,2.314143
-2.604181,100,2.384116
-1.199882,100,2.456608
-0.911841,100,2.527981
-0.666628,100,2.598152
-0.718898,100,3.547746
-2.262104,100,3.622688
-2.576265,100,3.6959
-0.565967,100,3.769982
-2.636238,100,3.842715
-2.548721,100,3.916402
-2.591104,100,3.990792
-1.157801,100,4.065884
-4.757065,100,4.142441
-1.258899,100,4.21594
-1.137304,100,4.466435
-1.985076,100,4.545402
-1.037328,100,4.61929
-0.979017,100,4.692624
-0.727662,100,4.76864
-1.171779,100,4.845774
-0.230865,100,4.91844
-0.749458,100,4.990576
-3.939909,100,5.063296
-1.031388,100,5.134517
-1.91564,100,5.387473
-1.032904,100,5.458108
-2.590929,100,5.527041
-3.2604,100,5.599446
-1.391798,100,5.673352
-2.668309,100,5.747005
-0.893913,100,5.81962
-1.321277,100,5.895308
-0.621278,100,5.970285
-1.150255,100,6.044338
-2.169678,100,6.292443
-1.960654,100,6.365869
-2.174443,100,6.439982
-2.445756,100,6.513991
-3.981155,100,6.587054
-1.256575,100,6.662467
-2.861345,100,6.737958
-0.294488,100,6.813772
-4.434641,100,6.889756
-0.760356,100,6.963444
-3.606293,100,7.039682
-0.996759,100,7.283374
-1.056013,100,7.357467
-1.536735,100,7.430891
-3.098085,100,7.504674
-2.628557,100,7.579167
-0.302586,100,7.655266
-0.107045,100,7.730053
-2.178666,100,7.804259
-2.380396,100,7.885227
-1.767361,100,7.962936
-1.866377,100,8.211256
-0.491707,100,8.284875
-0.190717,100,8.358087
-0.334927,100,8.431114
-0.673235,100,8.502144
-1.789743,100,8.572767
-5.002376,100,8.644984
-3.171551,100,8.716227
-1.226039,100,8.78916
-0.448396,100,8.858865
-0.96993,100,9.099224
-1.027388,100,9.170013
-2.602393,100,9.241182
-0.422757,100,9.312586
-0.81783,100,9.383139
-1.119317,100,9.455478
-0.972752,100,9.527067
-1.477967,100,9.601051
-1.304279,100,9.672526
-2.858371,100,9.745638
-0.799978,100,9.988843
-1.800481,100,10.067403
-1.939037,100,10.140936
-4.377225,100,10.213426
-1.698968,100,10.28767
-1.739129,100,10.363172
-1.167694,100,10.437967
-0.810371,100,10.513146
-2.286191,100,10.589091
-0.453526,100,10.663454
-3.93609,100,10.737329
-0.658013,100,10.993077
-1.080584,100,11.063036
-2.200199,100,11.132847
-0.35939,100,11.203997
-4.917099,100,11.276889
-0.280219,100,11.348351
-1.708129,100,11.419453
-2.415003,100,11.489721
-1.623384,100,12.022773
-2.602267,100,12.082766
