#{"t_start": 1592388155.38473, "env_id": "widowx_reacher-v5"}
r,l,t
-1.362105,100,1.118298
-1.59796,100,1.257118
-1.779879,100,1.387039
-1.591925,100,1.517591
-2.142401,100,1.648032
-3.8827,100,1.778811
-1.554595,100,1.908192
-1.272879,100,2.037885
-2.817664,100,2.171783
-1.704544,100,2.306944
-2.267347,100,2.437058
-1.867611,100,2.563558
-1.814802,100,3.008919
-2.047179,100,3.149619
-1.602392,100,3.282649
-1.867924,100,3.412975
-2.102953,100,3.543586
-2.224839,100,3.675666
-1.854123,100,3.801308
-2.073136,100,3.925352
-2.102439,100,4.050967
-1.757443,100,4.175782
-1.778501,100,4.304504
-1.735149,100,4.434036
-1.420494,100,4.564391
-1.940199,100,4.972486
-2.096322,100,5.112498
-2.366527,100,5.246292
-3.262488,100,5.385155
-1.749117,100,5.509392
-2.633375,100,5.638892
-1.65284,100,5.769321
-1.689639,100,5.905441
-1.647005,100,6.038634
-1.990544,100,6.165418
-1.649408,100,6.292606
-1.582665,100,6.418297
-1.808154,100,6.824309
-2.05615,100,6.958929
-1.689939,100,7.092584
-1.901511,100,7.221339
-1.579158,100,7.345126
-2.254577,100,7.468145
-1.943524,100,7.591845
-2.011318,100,7.714955
-1.862138,100,7.837169
-2.799685,100,7.961819
-1.861164,100,8.085377
-2.428956,100,8.210481
-1.939719,100,8.334917
-1.811516,100,8.736308
-1.639197,100,8.860107
-1.847811,100,8.988557
-1.65851,100,9.119732
-1.667683,100,9.24628
-2.214904,100,9.381031
-1.775124,100,9.508457
-1.857532,100,9.63462
-1.867513,100,9.763369
-1.398331,100,9.887506
-2.599191,100,10.010254
-1.874578,100,10.137222
-1.79935,100,10.552626
-2.113484,100,10.682316
-1.645917,100,10.812326
-2.054845,100,10.942924
-3.183039,100,11.070525
-1.963107,100,11.198682
-1.576161,100,11.323145
-1.606858,100,11.456819
-1.435802,100,11.590069
-2.034347,100,11.721816
-1.98685,100,11.851873
-1.925714,100,11.982494
-3.632151,100,12.121915
-1.92534,100,12.542347
-1.998223,100,12.672089
-2.878304,100,12.798616
-1.663555,100,12.923281
-1.900394,100,13.047238
-1.927313,100,13.178536
-1.67624,100,13.319544
-1.973099,100,13.446979
-2.11868,100,13.573032
-1.99517,100,13.698123
-2.280858,100,13.822673
-1.831342,100,13.946879
-2.171526,100,14.355617
-1.892223,100,14.487667
-2.314063,100,14.616003
-5.044526,100,14.746174
-2.069866,100,14.874603
-2.441764,100,15.004755
-1.817235,100,15.132711
-1.691686,100,15.259793
-1.839494,100,15.383783
-1.704995,100,15.507788
-1.784656,100,15.633123
-1.64897,100,15.760808
-1.777296,100,15.884805
-1.871498,100,16.285683
-2.499426,100,16.413557
-1.830805,100,16.539884
-1.921204,100,16.666896
-1.754254,100,16.794788
-1.942368,100,16.923265
-2.910859,100,17.048599
-1.988768,100,17.182158
-1.805639,100,17.308196
-2.050789,100,17.43262
-1.996367,100,17.557497
-2.022575,100,17.682253
-1.784711,100,18.08345
-1.89677,100,18.210456
-1.758409,100,18.334719
-1.767129,100,18.460604
-1.069463,100,18.585281
-1.696447,100,18.712734
-1.688617,100,18.835894
-1.524938,100,18.957487
-1.999301,100,19.084812
-2.385994,100,19.21686
-1.743086,100,19.364936
-3.1032,100,19.488444
-1.700596,100,19.610494
-2.306667,100,20.00716
-1.775903,100,20.133196
-2.891023,100,20.26628
-2.686824,100,20.393416
-1.947159,100,20.52008
-1.550898,100,20.649273
-1.412011,100,20.777972
-1.739133,100,20.90407
-1.980378,100,21.030997
-2.447028,100,21.160037
-1.800179,100,21.290416
-1.652669,100,21.421208
-2.006073,100,21.834518
-3.638717,100,21.957229
-3.350932,100,22.078401
-1.944997,100,22.20615
-2.201496,100,22.330282
-2.160123,100,22.453304
-2.433412,100,22.574798
-2.147671,100,22.69902
-2.136701,100,22.823231
-1.801603,100,22.944548
-2.931129,100,23.066747
-1.635393,100,23.192028
-2.462344,100,23.316334
-1.74751,100,23.718269
-3.120816,100,23.840255
-3.13935,100,23.966243
-3.283257,100,24.089925
-1.626035,100,24.213127
-1.331028,100,24.334126
-2.029262,100,24.454699
-1.829068,100,24.572842
-2.1941,100,24.694015
-2.080512,100,24.816747
-1.927067,100,24.94003
-1.950717,100,25.065006
-2.485595,100,25.470638
-2.938102,100,25.595196
-2.094048,100,25.722029
-1.957188,100,25.848274
-1.692422,100,25.973478
-1.827297,100,26.098351
-2.088129,100,26.227087
-2.284188,100,26.355283
-1.766105,100,26.480018
-2.623181,100,26.602128
-2.734005,100,26.725463
-1.551524,100,26.847889
-2.690057,100,26.969873
-1.938743,100,27.395415
-2.568762,100,27.518612
-2.173127,100,27.638429
-1.531099,100,27.758499
-1.675285,100,27.883408
-1.654172,100,28.014663
-2.508745,100,28.148374
-1.553622,100,28.271559
-2.136017,100,28.395082
-3.130679,100,28.515722
-3.049079,100,28.637036
-1.702532,100,28.762623
-2.126022,100,29.159394
-3.315476,100,29.28185
-2.077133,100,29.404479
-2.284145,100,29.52603
-2.162025,100,29.647581
-2.258848,100,29.773253
-1.84105,100,29.900931
-1.908214,100,30.027239
-2.976326,100,30.150803
-2.399958,100,30.272918
-2.350575,100,30.396245
-3.24429,100,30.522451
-1.800787,100,30.649756
-1.804627,100,31.064927
-1.589483,100,31.190722
-2.862141,100,31.314367
-1.754104,100,31.437831
-1.697974,100,31.559645
-2.227582,100,31.687883
-2.843962,100,31.812081
-2.283915,100,31.933361
-1.621207,100,32.057257
-1.721588,100,32.18047
-2.586454,100,32.31028
-3.490263,100,32.434845
-2.511179,100,32.846
-3.02378,100,32.969423
-4.252755,100,33.094756
-2.970281,100,33.219281
-1.960144,100,33.344562
-2.579978,100,33.469249
-2.082401,100,33.593793
-3.972634,100,33.7197
-1.776354,100,33.843658
-4.368334,100,33.966733
-2.369015,100,34.090798
-1.972386,100,34.216214
-5.836215,100,34.343776
-1.668541,100,34.751687
-6.228429,100,34.874251
-6.296466,100,35.002335
-2.62283,100,35.128855
-1.736688,100,35.258101
-1.618748,100,35.386029
-5.370143,100,35.51104
-3.741714,100,35.637957
-2.991534,100,35.764599
-4.914326,100,35.890116
-3.965709,100,36.015224
-2.170955,100,36.139373
-2.673468,100,36.540756
-2.678685,100,36.662309
-3.605726,100,36.785877
-4.163956,100,36.912423
-2.101015,100,37.036108
-3.246114,100,37.158211
-4.283124,100,37.281357
-4.448538,100,37.41998
-4.847691,100,37.545016
-4.062056,100,37.668526
-2.041436,100,37.790611
-5.072484,100,37.916492
-4.079487,100,38.038568
-4.435884,100,38.435599
-2.066019,100,38.557907
-5.514126,100,38.680123
-1.906513,100,38.803651
-3.669243,100,38.92755
-3.485227,100,39.049964
-4.224982,100,39.173431
-2.740512,100,39.305496
-4.383379,100,39.432119
-3.123072,100,39.555834
-3.894795,100,39.680616
-5.348249,100,39.807529
-4.263963,100,40.223776
-5.619949,100,40.353223
-1.651448,100,40.483152
-1.734531,100,40.611188
-2.839642,100,40.734055
-3.008581,100,40.856256
-2.245607,100,40.978725
-4.653945,100,41.106729
-3.103502,100,41.240727
-3.442742,100,41.372322
-4.289804,100,41.525297
-2.09858,100,41.655835
-3.699694,100,41.786829
-5.366271,100,42.195815
-1.662582,100,42.323003
-3.370227,100,42.462357
-2.35109,100,42.585438
-2.235548,100,42.711547
-3.47338,100,42.844796
-3.77234,100,42.977033
-3.444609,100,43.105597
-3.765213,100,43.23491
-2.440514,100,43.35956
-2.725218,100,43.488926
-1.828697,100,43.617037
-1.89169,100,44.034469
-4.523983,100,44.179233
-2.939208,100,44.324886
-2.175198,100,44.454354
-2.267641,100,44.579792
-2.984218,100,44.705345
-2.222853,100,44.832121
-2.886125,100,44.959861
-2.259526,100,45.090773
-5.026575,100,45.229569
-4.131907,100,45.358957
-2.826154,100,45.490813
-3.378497,100,45.62056
-1.734174,100,46.056088
-1.577028,100,46.182713
-1.900175,100,46.32076
-5.360744,100,46.449915
-2.204924,100,46.578297
-1.773948,100,46.703594
-1.775789,100,46.839556
-4.133255,100,46.976721
-3.124162,100,47.115113
-2.588832,100,47.250077
-2.459506,100,47.378054
-2.260779,100,47.522215
-4.394862,100,47.929035
-2.035247,100,48.059242
-2.971154,100,48.185303
-1.530626,100,48.311977
-2.461125,100,48.437772
-1.260998,100,48.561515
-2.757952,100,48.688349
-2.355739,100,48.82067
-2.483795,100,48.954904
-2.310259,100,49.086992
-2.00546,100,49.215137
-2.458695,100,49.340804
-0.865294,100,49.464871
-1.533651,100,49.872033
-2.5506,100,49.997931
-1.704075,100,50.125461
-2.121801,100,50.252782
-3.009064,100,50.378975
-1.90176,100,50.500906
-1.750997,100,50.624451
-3.006647,100,50.749164
-2.430409,100,50.870197
-1.08359,100,50.992268
-1.642699,100,51.116428
-1.739934,100,51.241389
-1.845112,100,51.634098
-4.350255,100,51.760271
-2.478696,100,51.903803
-1.910459,100,52.031834
-2.096486,100,52.161756
-2.350765,100,52.284221
-2.667615,100,52.407582
-1.74378,100,52.543882
-1.902771,100,52.669817
-1.752275,100,52.793569
-2.073652,100,52.923059
-2.551636,100,53.045092
-1.938271,100,53.1691
-2.457668,100,53.557951
-1.829458,100,53.680889
-1.814283,100,53.810651
-2.602873,100,53.933715
-2.124073,100,54.058089
-1.874462,100,54.187446
-2.106225,100,54.310604
-2.156923,100,54.434089
-2.985996,100,54.555276
-2.034842,100,54.676037
-2.734522,100,54.802885
-1.9214,100,54.928159
-1.962277,100,55.338856
-2.023407,100,55.463285
-2.846027,100,55.611874
-0.911632,100,55.73941
-2.330435,100,55.86931
-1.361678,100,55.99674
-1.943582,100,56.123867
-1.99262,100,56.249863
-1.713174,100,56.376077
-1.803343,100,56.50111
-1.988681,100,56.627322
-2.060782,100,56.757321
-1.449232,100,56.884619
-2.086801,100,57.295846
-1.762455,100,57.426216
-2.095144,100,57.551958
-1.855928,100,57.674986
-1.822183,100,57.797709
-1.884042,100,57.922762
-2.435636,100,58.048062
-1.595913,100,58.175465
-1.392973,100,58.304751
-2.042932,100,58.432081
-2.648044,100,58.561316
-1.890529,100,58.689953
-3.016658,100,59.088728
-1.876037,100,59.21965
-1.85159,100,59.349284
-1.626547,100,59.478513
-2.573862,100,59.616922
-2.148505,100,59.769489
-2.298897,100,59.898212
-3.010537,100,60.031206
-1.610958,100,60.157545
-1.732487,100,60.286749
-1.963867,100,60.4125
-1.626193,100,60.540817
-1.450765,100,60.675738
-2.190791,100,61.087747
-2.385566,100,61.211255
-2.059744,100,61.336323
-2.313276,100,61.472648
-3.2071,100,61.610278
-2.196821,100,61.742034
-2.082061,100,61.872411
-1.426251,100,62.000299
-2.572981,100,62.129532
-3.748193,100,62.254729
-1.767648,100,62.379722
-2.372358,100,62.501518
-1.707346,100,62.905427
-1.88115,100,63.030776
-1.598555,100,63.15241
-2.172385,100,63.275425
-1.88723,100,63.402472
-2.723123,100,63.52538
-2.248751,100,63.648028
-2.054438,100,63.77298
-1.738731,100,63.897069
-1.978914,100,64.02824
-1.915043,100,64.16943
-2.035353,100,64.306901
-1.697127,100,64.432253
-2.308809,100,64.834932
-1.797121,100,64.96113
-1.875179,100,65.088521
-1.895112,100,65.218146
-1.965007,100,65.344437
-1.734921,100,65.472169
-1.956058,100,65.599328
-1.720906,100,65.726698
-2.750982,100,65.853019
-1.953748,100,65.97752
-2.040559,100,66.103924
-1.788521,100,66.227692
-2.274274,100,66.620152
-2.082272,100,66.7418
-2.015903,100,66.86656
-2.081023,100,66.991978
-2.11815,100,67.118106
-1.921943,100,67.242428
-2.393948,100,67.363228
-1.685955,100,67.493382
-2.600177,100,67.619709
-2.382333,100,67.745321
-2.074959,100,67.868933
-1.978891,100,67.994978
-2.182529,100,68.119774
-1.824816,100,68.551538
-1.961033,100,68.673996
-2.1409,100,68.800193
-1.932222,100,68.926205
-2.120373,100,69.049974
-1.738755,100,69.172669
-1.647899,100,69.296385
-1.933847,100,69.419374
-1.78638,100,69.543279
-1.960828,100,69.667089
-1.90144,100,69.79026
-2.146959,100,69.91696
-2.037557,100,70.309828
-2.522299,100,70.43208
-1.951966,100,70.557822
-1.914772,100,70.680681
-2.231123,100,70.803988
-1.710959,100,70.925411
-1.852323,100,71.04504
-2.037741,100,71.168436
-1.902714,100,71.294475
-2.17847,100,71.424378
-1.95619,100,71.552937
-1.794653,100,71.675443
-1.861164,100,71.798533
-1.746297,100,72.204061
-1.759739,100,72.326739
-2.201742,100,72.451093
-1.989637,100,72.575297
-2.308432,100,72.69664
-1.741451,100,72.820081
-1.890868,100,72.943985
-2.15087,100,73.070599
-1.676661,100,73.197396
-1.819517,100,73.319278
-1.825793,100,73.442926
-2.136391,100,73.567756
-1.796699,100,73.964735
-2.003777,100,74.091159
-1.824278,100,74.213867
-1.546557,100,74.335892
-1.730467,100,74.457471
-1.387368,100,74.581023
-1.970304,100,74.704416
-1.883691,100,74.826982
-2.510458,100,74.950793
-1.949197,100,75.076903
-1.617155,100,75.200665
-1.548369,100,75.324202
-1.810269,100,75.44882
-1.768368,100,75.844365
-1.969612,100,75.965635
-1.787327,100,76.087973
-1.696514,100,76.214475
-1.533255,100,76.340219
-2.249236,100,76.48177
-1.712241,100,76.605907
-1.920848,100,76.727266
-1.996309,100,76.851556
-1.686207,100,76.975306
-2.158911,100,77.122119
-1.762179,100,77.246116
-2.078007,100,77.646279
-1.656107,100,77.769271
-1.947307,100,77.894241
-1.840198,100,78.017216
-1.616567,100,78.13971
-1.708079,100,78.264488
-2.134171,100,78.386924
-1.924791,100,78.50951
-1.813698,100,78.635754
-2.08682,100,78.757818
-1.7659,100,78.87953
-1.549294,100,79.002205
-1.792222,100,79.126925
-1.81833,100,79.527323
-1.88474,100,79.652302
-1.805965,100,79.77459
-1.726194,100,79.898002
-1.692744,100,80.021111
-1.729245,100,80.146556
-1.822568,100,80.270071
-1.7217,100,80.393609
-1.845146,100,80.516288
-1.838511,100,80.638938
-1.745075,100,80.763493
-1.818785,100,80.889935
-2.061691,100,81.288542
-2.082537,100,81.411319
-1.926303,100,81.535554
-2.580832,100,81.658458
-1.657022,100,81.780753
-2.025499,100,81.902415
-1.992133,100,82.027898
-1.949479,100,82.151297
-1.839254,100,82.274006
-2.118088,100,82.398043
-2.039618,100,82.521668
-1.851446,100,82.646646
-1.835737,100,82.768749
-1.728978,100,83.174963
-1.864115,100,83.300327
-2.021554,100,83.425304
-1.820836,100,83.549636
-1.921337,100,83.675303
-1.897273,100,83.79727
-2.087795,100,83.920113
-1.656365,100,84.039809
-1.874454,100,84.167691
-1.881483,100,84.298599
-1.798356,100,84.424026
-1.88869,100,84.549936
-1.924004,100,84.948082
-1.838108,100,85.073381
-1.729291,100,85.196551
-2.105906,100,85.318044
-2.006776,100,85.441641
-1.812323,100,85.564257
-2.15282,100,85.692231
-2.161536,100,85.81397
-1.870802,100,85.937587
-1.982164,100,86.062864
-2.060714,100,86.184772
-1.936715,100,86.31206
-1.77103,100,86.435565
-1.81664,100,86.836496
-1.985862,100,86.96173
-2.104546,100,87.082683
-1.967521,100,87.204052
-2.062962,100,87.32838
-1.942384,100,87.452175
-1.622649,100,87.578758
-1.866157,100,87.701256
-2.046174,100,87.825516
-1.903098,100,87.950562
-1.960147,100,88.075231
-2.462322,100,88.197972
-2.799674,100,88.595274
-1.956556,100,88.719888
-2.012861,100,88.843354
-1.721053,100,88.96475
-1.873482,100,89.091765
-2.079812,100,89.220707
-1.847254,100,89.343168
-1.696582,100,89.466279
-2.086424,100,89.591084
-1.89988,100,89.714599
-2.073794,100,89.84001
-1.842511,100,89.964245
-1.974685,100,90.089401
-1.857284,100,90.489263
-2.195951,100,90.613254
-1.241769,100,90.734697
-2.501497,100,90.858356
-1.739708,100,90.980058
-1.971709,100,91.10308
-1.64111,100,91.225734
-2.102067,100,91.347757
-1.957132,100,91.470873
-1.949477,100,91.592872
-1.879213,100,91.717618
-1.685347,100,91.840679
-1.904,100,92.242518
-1.655534,100,92.364389
-1.573959,100,92.484901
-1.979149,100,92.609648
-1.950472,100,92.734377
-2.216752,100,92.857251
-1.889495,100,92.979261
-1.886738,100,93.108708
-2.003659,100,93.23352
-1.877759,100,93.358632
-2.078991,100,93.483357
-2.047878,100,93.612144
