r,r,mean_reward,std_reward,upper,lower,timesteps
-0.421591,-2.620276,-1.5209335,1.5547050731931442,0.03377157319314428,-3.075638573193144,100.0
-1.1170879999999999,-1.5728600000000001,-1.3449740000000001,0.3222794718749553,-1.0226945281250448,-1.6672534718749554,200.0
-2.083766,-1.11024,-1.597003,0.6883868362614148,-0.9086161637385851,-2.2853898362614147,300.0
-0.665702,-1.976692,-1.321197,0.9270099190677519,-0.3941870809322481,-2.248206919067752,400.0
-0.800257,-2.85827,-1.8292635000000002,1.4552349480700704,-0.3740285519299298,-3.2844984480700705,500.0
-2.4354810000000002,-2.0926270000000002,-2.2640540000000002,0.24243438835693257,-2.0216196116430676,-2.506488388356933,600.0
-0.688491,-2.940412,-1.8144514999999999,1.592348609796391,-0.22210289020360885,-3.406800109796391,700.0
-4.125712,-3.902446,-4.014079,0.15787290260839587,-3.856206097391604,-4.171951902608396,800.0
-0.330691,-1.824916,-1.0778035,1.056576630118469,-0.021226869881530996,-2.134380130118469,900.0
-1.943512,-1.850385,-1.8969485,0.06585073321155958,-1.8310977667884403,-1.9627992332115596,1000.0
-1.661359,-0.6338199999999999,-1.1475895,0.726579794833644,-0.42100970516635605,-1.874169294833644,1100.0
-0.672837,-1.3588,-1.0158185,0.4850490889430677,-0.5307694110569323,-1.5008675889430676,1200.0
-1.192857,-3.155795,-2.1743259999999998,1.3880067708487591,-0.7863192291512406,-3.5623327708487587,1300.0
-2.827594,-1.139083,-1.9833385,1.1939575782080785,-0.7893809217919214,-3.1772960782080784,1400.0
-1.463832,-1.902359,-1.6830954999999999,0.3100854154333931,-1.373010084566607,-1.9931809154333928,1500.0
-3.2854589999999995,-2.671895,-2.978677,0.4338552650919424,-2.5448217349080573,-3.4125322650919423,1600.0
-0.763324,-1.606745,-1.1850345,0.5963887084951391,-0.5886457915048608,-1.7814232084951391,1700.0
-2.147993,-2.224262,-2.1861275,0.053930327094316735,-2.1321971729056832,-2.240057827094317,1800.0
-2.0449919999999997,-1.310804,-1.677898,0.5191493134657887,-1.1587486865342111,-2.197047313465789,1900.0
-1.318193,-1.114242,-1.2162175,0.14421513512977754,-1.0720023648702224,-1.3604326351297775,2000.0
-1.888267,-2.710081,-2.299174,0.5811102522740416,-1.7180637477259584,-2.8802842522740413,2100.0
-2.0183709999999997,-3.505731,-2.7620509999999996,1.0517223420656236,-1.710328657934376,-3.8137733420656232,2200.0
-3.311175,-3.157874,-3.2345245,0.10840017666267886,-3.1261243233373213,-3.342924676662679,2300.0
-1.6960330000000001,-2.5457389999999998,-2.120886,0.6008328746148963,-1.5200531253851037,-2.721718874614896,2400.0
-0.48748500000000006,-1.857753,-1.172619,0.9689257948429281,-0.203693205157072,-2.141544794842928,2500.0
-1.598933,-2.412281,-2.005607,0.5751238862645162,-1.4304831137354839,-2.580730886264516,2600.0
-2.983763,-0.671383,-1.8275730000000001,1.635099578680149,-0.19247342131985112,-3.462672578680149,2700.0
-0.846601,-1.8986939999999999,-1.3726475,0.7439420947388983,-0.6287054052611017,-2.1165895947388984,2800.0
-1.625809,-2.022461,-1.824135,0.2804753189712063,-1.5436596810287937,-2.1046103189712064,2900.0
-2.785986,-2.209115,-2.4975505,0.40790939596986464,-2.0896411040301355,-2.9054598959698645,3000.0
-1.562476,-2.856082,-2.209279,0.9147175747836049,-1.294561425216395,-3.1239965747836047,3100.0
-1.894918,-3.523485,-2.7092015,1.151570769316632,-1.5576307306833679,-3.860772269316632,3200.0
-0.353093,-1.0625209999999998,-0.7078069999999999,0.50164134956361,-0.2061656504363899,-1.2094483495636097,3300.0
-2.1806419999999997,-3.318508,-2.749575,0.8045927646816122,-1.9449822353183879,-3.5541677646816123,3400.0
-1.777302,-0.314641,-1.0459715,1.034257511677097,-0.011713988322903157,-2.0802290116770967,3500.0
-0.804844,-1.31795,-1.061397,0.3628207320675046,-0.6985762679324954,-1.4242177320675045,3600.0
-4.230614,-2.297002,-3.263808,1.3672701573836827,-1.8965378426163173,-4.631078157383683,3700.0
-2.832448,-6.154522,-4.493485,2.3490610530035188,-2.144423946996481,-6.8425460530035185,3800.0
-2.0327889999999997,-2.465662,-2.2492254999999997,0.3060874336925646,-1.9431380663074351,-2.5553129336925644,3900.0
-2.230057,-2.6134459999999997,-2.4217515,0.2710969617323291,-2.1506545382676707,-2.6928484617323294,4000.0
-3.402735,-1.2459040000000001,-2.3243195,1.5251098259733624,-0.7992096740266377,-3.8494293259733627,4100.0
-3.817557,-4.347837999999999,-4.0826975,0.3749652910343833,-3.707732208965617,-4.457662791034384,4200.0
-1.5385149999999999,-1.165348,-1.3519315,0.2638689162150402,-1.0880625837849598,-1.6158004162150403,4300.0
-2.9547790000000003,-0.964454,-1.9596165,1.4073723042651154,-0.5522441957348847,-3.3669888042651155,4400.0
-1.9329779999999999,-2.113909,-2.0234435,0.12793753702686336,-1.8955059629731366,-2.151381037026863,4500.0
-4.3152040000000005,-5.516087000000001,-4.9156455,0.8491525127116449,-4.066492987288355,-5.764798012711645,4600.0
-5.330463,-1.337991,-3.334227,2.8231040248974177,-0.5111229751025821,-6.157331024897418,4700.0
-2.089845,-4.368896,-3.2293705,1.6115324167699827,-1.6178380832300172,-4.840902916769982,4800.0
-3.072906,-2.673552,-2.8732290000000003,0.2823859214939726,-2.5908430785060275,-3.155614921493973,4900.0
-4.602759,-4.401576,-4.5021675000000005,0.1422578635594528,-4.359909636440547,-4.644425363559454,5000.0
-1.299373,-2.247046,-1.7732095,0.6701060046473992,-1.1031034953526009,-2.4433155046473995,5100.0
-3.8614870000000003,-5.709682,-4.785584500000001,1.306871217455071,-3.4787132825449296,-6.0924557174550715,5200.0
-3.248821,-1.474603,-2.361712,1.2545615791032338,-1.107150420896766,-3.6162735791032334,5300.0
-6.006455,-1.4589,-3.7326775,3.2156069783187897,-0.5170705216812101,-6.94828447831879,5400.0
-3.122117,-2.763667,-2.9428919999999996,0.2534624257163179,-2.6894295742836816,-3.1963544257163177,5500.0
-3.023454,-4.09021,-3.556832,0.7543104014714366,-2.802521598528563,-4.311142401471437,5600.0
-3.898518,-2.520641,-3.2095795000000003,0.9743061703409768,-2.2352733296590235,-4.1838856703409775,5700.0
-3.934044,-4.446331,-4.1901875,0.3622416116137127,-3.827945888386288,-4.552429111613713,5800.0
