#{"t_start": 1592388471.2229722, "env_id": "widowx_reacher-v5"}
r,l,t
-2.435481,100,2.738716
-2.827594,100,2.879011
-2.018371,100,3.027977
-2.785986,100,3.176363
-2.832448,100,3.331606
-4.315204,100,3.481364
-6.006455,100,3.634261
-3.680853,100,3.787027
-4.962872,100,3.945592
-5.799777,100,4.097617
-3.66037,100,4.250803
-5.282419,100,4.403876
-4.117781,100,4.884119
-1.41516,100,5.033584
-2.091318,100,5.181578
-5.184691,100,5.327595
-1.955256,100,5.478711
-3.470368,100,5.626295
-1.646715,100,5.773548
-1.201199,100,5.918932
-1.281074,100,6.06782
-1.173142,100,6.213308
-1.069661,100,6.359554
-1.087871,100,6.505332
-1.213701,100,6.656575
-1.014179,100,7.058197
-1.371598,100,7.20422
-1.299231,100,7.348675
-1.274808,100,7.500613
-1.383393,100,7.647007
-1.111284,100,7.792369
-0.99529,100,7.936931
-1.154731,100,8.08695
-1.150182,100,8.234516
-1.361813,100,8.380662
-1.38812,100,8.525763
-1.359332,100,8.676051
-1.342228,100,9.076474
-1.845444,100,9.230015
-1.504337,100,9.379574
-2.404025,100,9.535401
-1.842875,100,9.685682
-2.979251,100,9.836936
-3.5565,100,9.986132
-2.524182,100,10.140927
-2.589943,100,10.290519
-1.453055,100,10.442185
-1.854163,100,10.590903
-2.299263,100,10.747292
-1.19507,100,10.900196
-1.371728,100,11.332059
-1.65165,100,11.489145
-1.399081,100,11.651489
-2.043676,100,11.80565
-2.660247,100,11.958373
-2.036302,100,12.115513
-1.823327,100,12.27478
-1.451875,100,12.428308
-1.419574,100,12.577129
-1.661053,100,12.727241
-1.341445,100,12.881355
-1.939153,100,13.030419
-1.856878,100,13.451222
-1.70066,100,13.600978
-2.54058,100,13.756157
-1.66467,100,13.907219
-1.447491,100,14.055858
-1.626736,100,14.21005
-1.434918,100,14.373661
-1.727718,100,14.527592
-1.846063,100,14.679815
-1.823825,100,14.831281
-1.386605,100,14.98561
-1.643726,100,15.135208
-1.387908,100,15.282173
-1.528351,100,15.693075
-1.627731,100,15.853241
-1.789182,100,16.006876
-2.307038,100,16.161256
-1.535707,100,16.310627
-1.831572,100,16.466891
-1.753321,100,16.614589
