#{"t_start": 1592393607.1842186, "env_id": "widowx_reacher-v5"}
r,l,t
-1.527375,100,1.003117
-1.580192,100,1.040071
-1.530205,100,1.299565
-1.599733,100,1.463424
-1.907658,100,1.612539
-1.586184,100,1.771397
-0.72552,100,1.931947
-0.511325,100,2.090942
-0.450701,100,2.241864
-0.406496,100,2.384955
-0.418505,100,2.534914
-0.466887,100,2.688498
-0.447086,100,2.842271
-0.448528,100,2.996257
-0.447019,100,3.149962
-0.442509,100,3.295324
-0.462525,100,3.442803
-0.448604,100,3.596057
-0.43791,100,3.743178
-0.470642,100,3.907404
-0.451408,100,4.07299
-0.467424,100,4.229986
-0.468817,100,4.388664
-0.483995,100,4.540987
-0.483184,100,4.695837
-0.44819,100,4.851565
-0.428689,100,5.007846
-0.424909,100,5.160463
-0.420275,100,5.311351
-0.42506,100,5.466976
-0.436535,100,5.620421
-0.428795,100,5.778396
-0.453765,100,5.966629
-0.426984,100,6.119026
-0.4426,100,6.27182
-0.457321,100,6.427291
-0.452596,100,6.577839
-0.447361,100,6.731454
-0.456636,100,6.885615
-0.416652,100,7.03328
-0.430493,100,7.185779
-0.409005,100,7.337
-0.402388,100,7.485871
-0.383659,100,7.637853
-0.389356,100,7.790199
-0.38763,100,7.944375
-0.397634,100,8.095798
-0.408562,100,8.246263
-0.426495,100,8.401041
-0.451493,100,8.549608
-0.482347,100,8.700709
-0.571719,100,8.850303
-0.646458,100,9.000462
-0.685264,100,9.164684
-0.714825,100,9.316268
-0.687955,100,9.469539
-0.717604,100,9.624599
-0.711317,100,9.776328
-0.691429,100,9.92971
-0.707856,100,10.077906
-0.683527,100,10.229846
-0.633479,100,10.380317
-0.663546,100,10.533121
-0.709295,100,10.687266
-0.687318,100,10.841065
-0.664622,100,10.99236
-0.637613,100,11.142778
-0.536232,100,11.295398
-0.628374,100,11.447721
-0.589148,100,11.595358
-0.592297,100,11.743418
-0.570206,100,11.890968
-0.482322,100,12.038869
-0.465628,100,12.187089
-0.480077,100,12.335933
-0.435004,100,12.489637
-0.54071,100,12.642969
-0.44029,100,12.812351
-0.472057,100,12.969204
-0.451214,100,13.125563
-0.466129,100,13.272317
-0.45252,100,13.437016
-0.456585,100,13.590073
-0.463417,100,13.745044
-0.4961,100,13.899212
-0.512226,100,14.051158
-0.463044,100,14.199011
-0.500364,100,14.347278
-0.52038,100,14.49884
-0.451992,100,14.64954
-0.476406,100,14.806817
-0.474165,100,14.96358
-0.493663,100,15.118724
-0.512316,100,15.270263
-0.415778,100,15.429884
-0.482853,100,15.583192
-0.449335,100,15.74156
-0.470182,100,15.896581
-0.475861,100,16.050788
-0.471249,100,16.203841
-0.494765,100,16.598227
-0.504928,100,16.75605
-0.459333,100,16.909426
-0.500271,100,17.063569
-0.476899,100,17.220327
-0.483197,100,17.377034
-0.497181,100,17.539494
-0.514924,100,17.697316
-0.509363,100,17.852789
-0.477297,100,18.012566
-0.503095,100,18.169493
-0.55048,100,18.327779
-0.553037,100,18.482487
-0.573748,100,18.639151
-0.587197,100,18.799987
-0.594724,100,18.955323
-0.556855,100,19.115342
-0.585269,100,19.283974
-0.495426,100,19.446018
-0.458037,100,19.636141
-0.495174,100,19.800662
-0.467997,100,19.977295
-0.470918,100,20.130994
-0.462373,100,20.298574
-0.445116,100,20.467435
-0.476015,100,20.634114
-0.496544,100,20.794557
-0.526259,100,20.951382
-0.467402,100,21.10831
-0.444992,100,21.268855
-0.498717,100,21.426753
-0.508408,100,21.580151
-0.53659,100,21.739679
-0.538814,100,21.898231
-0.445048,100,22.057096
-0.450347,100,22.210819
-0.474352,100,22.362182
-0.458442,100,22.525766
-0.475332,100,22.688828
-0.449366,100,22.852606
-0.44473,100,23.022865
-0.427382,100,23.191326
-0.435034,100,23.351231
-0.413227,100,23.509333
-0.432736,100,23.664695
-0.414365,100,23.823797
-0.423643,100,23.980994
-0.435485,100,24.129813
-0.464346,100,24.280218
-0.422862,100,24.435493
-0.449748,100,24.589781
