#{"t_start": 1592389436.8243663, "env_id": "widowx_reacher-v5"}
r,l,t
-0.881991,100,1.067229
-1.543834,100,1.192648
-0.641249,100,1.75323
-0.608055,100,1.877523
-1.093747,100,2.001468
-0.551627,100,2.413979
-0.964084,100,2.536215
-0.584876,100,2.945221
-0.899618,100,3.066293
-1.074137,100,3.187052
-0.787371,100,3.596182
-0.796735,100,3.72023
-0.466553,100,4.459212
-0.977362,100,4.57821
-0.727308,100,4.698823
-0.846333,100,5.12924
-0.880408,100,5.250176
-0.630797,100,5.656626
-0.746375,100,5.779499
-1.274482,100,5.898973
-0.675778,100,6.31523
-0.750868,100,6.437051
-0.842093,100,6.554893
-0.55289,100,6.973544
-0.625349,100,7.097158
-0.530609,100,7.796445
-0.514172,100,7.916282
-0.363473,100,8.036568
-0.810953,100,8.452317
-0.581427,100,8.574857
-0.484251,100,8.990457
-0.696286,100,9.114428
-0.814634,100,9.234897
-0.724354,100,9.644969
-0.664338,100,9.766946
-0.819192,100,10.176478
-0.637958,100,10.29864
-0.624256,100,10.709605
-0.532283,100,11.139475
-0.472414,100,11.25957
-0.379504,100,11.678559
-1.137326,100,11.804699
-1.516291,100,11.921336
-0.861545,100,12.344941
-0.366603,100,12.472597
-0.708337,100,12.59693
-1.17989,100,13.006528
-0.356254,100,13.127864
-0.871165,100,13.542387
-0.78995,100,13.663351
-0.670101,100,14.064693
-1.448928,100,14.470433
-0.59749,100,14.591384
-0.737395,100,15.011678
-1.571241,100,15.13398
-0.535405,100,15.252554
-0.578868,100,15.66546
-0.380183,100,15.790648
-0.465925,100,16.203186
-0.446998,100,16.322777
-0.470796,100,16.441985
-0.455524,100,16.858006
-0.303069,100,17.258676
-1.037219,100,17.378033
-0.667814,100,17.796181
-0.385049,100,17.917394
-0.423333,100,18.333357
-0.351083,100,18.459167
-0.412416,100,18.582936
-0.511338,100,18.993102
-0.360447,100,19.112172
-0.452203,100,19.525164
-0.481952,100,19.649435
-0.554099,100,19.772325
-0.44769,100,20.180515
-0.464991,100,20.574208
-0.486582,100,20.985003
-0.642373,100,21.106297
-0.409455,100,21.228436
-0.313313,100,21.640991
-0.511514,100,21.762318
-0.388935,100,22.168551
-0.51562,100,22.28764
-0.392854,100,22.405635
-0.455566,100,22.816819
-0.597274,100,22.940753
-0.369117,100,23.069535
-0.490536,100,23.758993
-0.415127,100,23.884048
-0.382386,100,24.295898
-0.316512,100,24.417115
-0.410585,100,24.535013
-0.428789,100,24.942642
-0.396242,100,25.062424
-0.394833,100,25.47957
-0.335919,100,25.597594
-0.467791,100,25.719537
-0.336077,100,26.13517
-0.339113,100,26.259444
-0.366515,100,26.678711
