#{"t_start": 1592389600.650505, "env_id": "widowx_reacher-v5"}
r,l,t
-0.509309,100,1.337451
-0.351396,100,1.96311
-0.544756,100,2.284698
-0.444954,100,2.606425
-0.512298,100,2.925778
-0.609265,100,3.249944
-0.41028,100,3.580071
-0.40564,100,3.908181
-0.544693,100,4.238468
-0.646699,100,4.560762
-0.440451,100,4.889644
-0.392234,100,5.214889
-0.427838,100,5.538495
-0.263349,100,5.865633
-0.411358,100,6.198542
-0.373852,100,6.524777
-0.391821,100,6.848412
-0.42706,100,7.180105
-0.467659,100,7.525759
-0.432597,100,7.853058
-0.562979,100,8.180997
-0.996328,100,8.505011
-0.294026,100,8.829586
-0.339651,100,9.160067
-0.487436,100,9.488508
-0.543573,100,9.827943
-0.45893,100,10.157814
-0.377371,100,10.485601
-0.3843,100,10.818033
-0.791727,100,11.150372
-0.672342,100,11.476314
-0.333293,100,11.809841
-0.615176,100,12.142913
-0.536212,100,12.467136
-0.43083,100,12.796695
-0.369695,100,13.132339
-0.479689,100,13.457364
-0.286757,100,13.795124
-0.609974,100,14.122752
-0.54308,100,14.449178
-0.500618,100,14.778242
-0.575373,100,15.103165
-0.497708,100,15.434294
-0.401636,100,15.770164
-0.383603,100,16.103486
-0.472508,100,16.446467
-0.474486,100,16.782366
-0.584216,100,17.116195
-0.392628,100,17.462266
-0.864874,100,17.789564
-0.462464,100,18.122151
-0.525066,100,18.466347
-0.371223,100,18.814535
-0.497855,100,19.162211
-0.511022,100,19.502309
-0.985677,100,19.831013
-0.45766,100,20.164544
-0.395554,100,20.489657
-0.410377,100,20.814448
-0.515627,100,21.141153
-0.528953,100,21.476315
-0.497994,100,21.814037
-0.563064,100,22.151097
-0.432052,100,22.487871
-0.560584,100,22.821057
-0.433537,100,23.154244
-0.42383,100,23.489277
-0.506192,100,23.819828
-0.434801,100,24.147425
-0.418241,100,24.480662
-0.547026,100,24.807477
-0.793282,100,25.139983
-0.862248,100,25.480782
-0.837962,100,25.806968
-0.677735,100,26.14499
-0.636493,100,26.486119
-0.697978,100,26.828993
-0.525195,100,27.220164
-0.545449,100,27.555035
-0.380478,100,27.906383
-0.355567,100,28.257321
-0.328247,100,28.595658
-0.406068,100,28.927225
-0.511305,100,29.262481
-0.550201,100,29.599447
-0.451856,100,29.986448
-0.752559,100,30.347825
-1.575014,100,30.715808
-2.621139,100,31.092791
-2.866705,100,31.455037
-2.95408,100,31.821675
-2.87903,100,32.206428
-3.113043,100,32.586302
-3.384914,100,32.972323
-3.511445,100,33.355976
-4.02357,100,33.715076
-4.230977,100,34.091741
-3.536073,100,34.463592
-4.102272,100,34.826789
-3.651867,100,35.190465
-3.477018,100,35.799401
-2.844648,100,36.192619
-2.561848,100,36.554221
-2.782469,100,36.918322
-1.819129,100,37.277139
-1.55072,100,37.637233
-0.906744,100,37.998483
-0.637006,100,38.366081
-0.956166,100,38.735189
-3.155664,100,39.107037
-4.126959,100,39.468167
-4.010963,100,39.834091
-3.701273,100,40.22673
-1.123171,100,40.603385
-3.799912,100,40.971159
-4.165298,100,41.331373
-2.430504,100,41.694624
-3.056089,100,42.057078
-0.414206,100,42.419514
-0.852729,100,42.786428
-0.479008,100,43.145464
-0.558072,100,43.508724
-0.528012,100,43.867778
-0.524367,100,44.241151
-0.576819,100,44.602537
-0.580363,100,44.964682
-1.093299,100,45.325967
-2.028259,100,45.685216
-3.187913,100,46.046715
-1.429165,100,46.407638
-1.221297,100,46.765379
-0.65978,100,47.125323
-0.577393,100,47.501115
-0.583292,100,47.871989
-0.936386,100,48.253479
-0.226854,36,48.383502
-0.473688,100,48.748602
-0.536583,100,49.128755
-0.537732,100,49.498421
-0.476042,100,49.869498
-0.41305,100,50.250239
-0.349924,100,50.617849
-0.602654,100,50.995172
-0.292581,100,51.336982
-0.252437,100,51.685921
-0.309634,100,52.0323
-0.423211,100,52.381354
-0.295252,100,52.731053
-0.354698,100,53.094037
-0.385316,100,53.441556
-0.507236,100,53.795744
-0.369025,100,54.134472
-0.371725,100,54.480644
-0.313254,100,54.831711
-0.379005,100,55.177806
-0.473403,100,55.531932
-0.370953,100,55.874737
-0.696993,100,56.222617
-0.811851,100,56.575583
-0.71147,100,56.912933
-0.628509,100,57.258403
-0.678931,100,57.604137
-0.656294,100,57.949506
-0.392829,100,58.292682
