#{"t_start": 1592396449.3262348, "env_id": "widowx_reacher-v5"}
r,l,t
-1.812377,100,1.096189
-1.638865,100,1.114967
-1.567543,100,1.133729
-1.936931,100,1.152592
-1.846332,100,1.171252
-1.598449,100,1.190059
-1.422061,100,1.208773
-1.412486,100,1.227447
-1.452883,100,1.245811
-1.479869,100,1.264803
-1.707018,100,1.283867
-1.447919,100,1.302157
-1.886788,100,1.320525
-1.296325,100,1.338994
-1.386954,100,1.357342
-1.384945,100,1.375777
-1.355869,100,1.394103
-1.483208,100,1.412416
-1.70617,100,1.430614
-1.588932,100,1.448905
-1.688931,100,1.467144
-1.432082,100,1.485556
-1.256848,100,1.503803
-1.859699,100,1.522591
-1.675566,100,1.540954
-1.279288,100,1.559232
-1.783918,100,1.577621
-1.442201,100,1.596071
-1.459951,100,1.614483
-1.293627,100,1.633471
-1.519743,100,1.652608
-1.488744,100,1.671563
-1.250101,100,1.690378
-1.478712,100,1.708856
-1.674837,100,1.727665
-1.125181,100,1.746271
-1.61732,100,1.765088
-1.659358,100,1.783841
-1.53321,100,1.802604
-1.832413,100,1.821264
-1.666803,100,1.839911
-1.149351,100,1.858417
-1.906176,100,1.877157
-1.532363,100,1.895811
-1.959625,100,1.914434
-1.360156,100,1.934123
-1.132255,100,1.953155
-1.546405,100,1.971859
-1.902491,100,1.990657
-1.547163,100,2.009287
-1.314568,100,2.028232
-1.900687,100,2.047174
-1.196858,100,2.065983
-1.483562,100,2.08492
-2.087847,100,2.10368
-1.534809,100,2.122551
-1.461226,100,2.141563
-1.496144,100,2.160677
-1.34943,100,2.179444
-1.783887,100,2.198203
-1.50347,100,2.216957
-1.664851,100,2.235557
-1.442048,100,2.254592
-1.240042,100,2.273673
-1.472902,100,2.292757
-1.667034,100,2.311583
-1.391149,100,2.330791
-1.601994,100,2.349899
-1.672539,100,2.368925
-1.414908,100,2.387967
-1.932623,100,2.407002
-1.515665,100,2.426176
-1.357442,100,2.444718
-1.807948,100,2.463494
-1.518462,100,2.482244
-1.168659,100,2.501335
-1.089697,100,2.52009
-1.633184,100,2.538973
-1.330104,100,2.557945
-1.499917,100,2.577028
-1.682858,100,2.595757
-1.50471,100,2.615022
-1.48891,100,2.633862
-1.38777,100,2.653493
-1.406153,100,2.67248
-1.740433,100,2.691478
-1.386644,100,2.710315
-1.632687,100,2.72943
-1.393667,100,2.748541
-1.507894,100,2.767452
-1.298912,100,2.786537
-1.54758,100,2.805824
-1.615667,100,2.824958
-1.510237,100,2.84402
-1.88487,100,2.86321
-1.196523,100,2.882455
-1.564127,100,2.901529
-1.232078,100,2.92063
-1.403528,100,2.939609
-1.470177,100,2.958711
-4.441041,100,6.764688
-4.459484,100,6.809992
-4.431763,100,6.855346
-4.400237,100,6.902344
-4.384176,100,6.947401
-4.426385,100,6.992686
-4.354038,100,7.040016
-4.382954,100,7.088899
-4.437831,100,7.134421
-4.355931,100,7.178883
-0.953058,100,10.308962
-0.970492,100,10.356937
-0.979297,100,10.403209
-0.973265,100,10.446221
-0.95519,100,10.488202
-0.968517,100,10.531408
-0.988911,100,10.573128
-0.978383,100,10.614903
-0.948468,100,10.656747
-0.976684,100,10.700829
-4.013768,100,13.687424
-4.06381,100,13.731559
-4.155231,100,13.775339
-4.013149,100,13.819805
-4.084751,100,13.862648
-4.194733,100,13.905251
-4.15457,100,13.948227
-4.11654,100,13.992601
-4.159075,100,14.03612
-3.983213,100,14.079954
-0.952426,100,17.097825
-1.020778,100,17.14115
-0.939846,100,17.183621
-0.954992,100,17.226292
-0.940981,100,17.26841
-0.961953,100,17.311102
-0.977057,100,17.353368
-0.938951,100,17.396307
-0.957357,100,17.438693
-0.979296,100,17.481002
-1.018772,100,20.637755
-1.012069,100,20.679706
