#{"t_start": 1592398307.2495909, "env_id": "widowx_reacher-v5"}
r,l,t
-1.663414,100,1.329051
-1.919698,100,1.37108
-1.143325,100,1.407703
-1.586291,100,1.448928
-1.779811,100,1.490772
-2.103893,100,1.53268
-0.969246,100,1.57459
-1.393994,100,1.616368
-2.032173,100,1.658039
-1.770502,100,1.699718
-1.484252,100,2.173797
-1.356023,100,2.212985
-1.795032,100,2.252086
-2.157833,100,2.290684
-2.533349,100,2.330404
-1.209912,100,2.369361
-1.787792,100,2.406967
-1.707122,100,2.444371
-1.630523,100,2.485973
-1.781797,100,2.528214
-1.325955,100,2.661858
-0.914318,100,2.700508
-1.99819,100,2.740266
-1.535908,100,2.778877
-1.147723,100,2.817563
-1.408531,100,2.856219
-1.234358,100,2.894322
-1.938642,100,2.93256
-1.175565,100,2.972601
-1.371961,100,3.013969
-1.723996,100,3.144773
-2.03349,100,3.186219
-1.701447,100,3.227828
-1.347845,100,3.269037
-1.675171,100,3.310071
-1.336339,100,3.352757
-2.111493,100,3.392807
-2.104638,100,3.434805
-1.51311,100,3.476688
-1.133707,100,3.518518
-1.29222,100,3.651691
-1.919756,100,3.691529
-1.775752,100,3.73861
-1.29306,100,3.781343
-1.415582,100,3.823384
-3.128561,100,3.865453
-1.328998,100,3.907972
-1.86569,100,3.950198
-1.88143,100,3.99256
-1.365801,100,4.034844
-1.10931,100,4.076696
-1.624478,100,4.208517
-2.010891,100,4.247696
-1.412375,100,4.286512
-1.312125,100,4.325642
-2.24376,100,4.367325
-1.291849,100,4.409188
-1.23107,100,4.449524
-1.477079,100,4.491099
-1.450387,100,4.532782
-1.177114,100,4.574748
-1.778003,100,4.708413
-1.510167,100,4.748215
-1.088582,100,4.787891
-1.035531,100,4.827608
-1.202889,100,4.867014
-1.996008,100,4.905884
-0.990346,100,4.949626
-1.207743,100,4.992217
-1.552297,100,5.034662
-1.375796,100,5.076535
-1.215785,100,5.209083
-1.182827,100,5.248188
-1.681251,100,5.287044
-1.709699,100,5.326683
-1.957966,100,5.369386
-1.721728,100,5.408967
-1.588042,100,5.451417
-2.184828,100,5.491628
-1.486559,100,5.534857
-1.934482,100,5.577612
-1.366001,100,5.708741
-1.825132,100,5.748736
-1.741589,100,5.787444
-1.340188,100,5.826855
-1.961078,100,5.869268
-0.99368,100,5.909289
-1.263654,100,5.947078
-1.675139,100,5.989179
-1.323259,100,6.031984
-1.910592,100,6.074433
-1.436147,100,6.117299
-1.664928,100,6.242386
-1.033788,100,6.281815
-1.338274,100,6.321329
-1.332974,100,6.361096
-1.417347,100,6.400157
-2.803744,100,6.441843
-1.737725,100,6.48398
-1.716905,100,6.52693
-1.097261,100,6.834959
-1.321294,100,6.876958
-1.49058,100,7.005037
-1.035607,100,7.045003
-1.724886,100,7.084368
-1.276008,100,7.123935
-1.169127,100,7.163303
-1.655784,100,7.202618
-1.037168,100,7.242262
-1.543116,100,7.28166
-1.123414,100,7.321747
-1.290702,100,7.364434
-1.318188,100,7.500443
-2.250553,100,7.542567
-1.767839,100,7.584469
-0.81868,100,7.626523
-1.416266,100,7.668345
-1.124384,100,7.70972
-1.474581,100,7.752052
-1.544045,100,7.794418
-1.769745,100,7.837139
-1.57637,100,7.879475
-1.373609,100,8.015066
-1.90652,100,8.054926
-2.003191,100,8.09428
-1.726743,100,8.133894
-1.912946,100,8.173237
-1.30526,100,8.21265
-1.310651,100,8.252243
-1.824103,100,8.291395
-1.506655,100,8.331475
-1.828707,100,8.368536
-1.445869,100,8.411611
-1.4917,100,8.545409
-2.143359,100,8.586946
-1.446135,100,8.628006
-3.030781,100,8.669961
-2.21647,100,8.711001
-1.352961,100,8.753729
-1.926371,100,8.795657
-1.327501,100,8.83767
-1.662868,100,8.879279
-1.283006,100,8.920807
-1.249279,100,9.048135
-1.610649,100,9.087708
-1.557832,100,9.127709
-1.443528,100,9.16718
-2.099949,100,9.206609
-1.094022,100,9.246338
-1.355201,100,9.28497
-1.226058,100,9.326696
-1.707428,100,9.368477
-1.367413,100,9.41112
-1.209518,100,9.5452
-2.190614,100,9.584781
-1.713448,100,9.624649
-1.452043,100,9.664079
-2.127932,100,9.703063
-1.509421,100,9.745262
-1.372986,100,9.787127
-1.202799,100,9.829485
-1.478251,100,9.871673
-1.42242,100,9.914695
-1.573485,100,10.042978
-1.463395,100,10.082268
-1.444195,100,10.121671
-1.530116,100,10.161188
-1.158205,100,10.200519
-1.548929,100,10.240162
-0.967091,100,10.279584
-1.260511,100,10.318999
-1.491934,100,10.36124
-1.323684,100,10.403572
-1.92805,100,10.445902
-1.567374,100,10.571867
-1.526449,100,10.611026
-1.31281,100,10.653245
-2.323656,100,10.694784
-1.16725,100,10.736557
-1.386299,100,10.778434
-1.181319,100,10.820935
-1.188072,100,10.861152
-2.442672,100,10.902052
-3.212692,100,10.945865
-1.308418,100,11.07654
-1.566033,100,11.116252
-1.818551,100,11.155843
-1.148878,100,11.195191
-1.420149,100,11.235171
-0.992351,100,11.274623
-1.594412,100,11.313947
-1.285845,100,11.354521
-1.255697,100,11.393924
-1.733203,100,11.435023
-1.135909,100,11.558581
-1.304982,100,11.597857
-1.593428,100,11.637357
-1.097599,100,11.676727
-2.324697,100,11.71618
-1.661064,100,11.755448
-1.204275,100,12.001749
-1.848995,100,12.040984
-1.818982,100,12.080172
-1.647438,100,12.120154
-0.962688,100,12.242962
-0.968157,100,12.282118
-1.311531,100,12.321392
-1.60038,100,12.360988
-1.658196,100,12.400585
-2.669985,100,12.44137
-1.142531,100,12.481526
-1.034778,100,12.521626
-2.241903,100,12.561688
-1.345967,100,12.601227
-1.231346,100,12.640845
-1.740738,100,12.7665
-1.417256,100,12.806683
-1.114115,100,12.846844
-1.516524,100,12.886282
-1.201477,100,12.926873
-1.394769,100,12.966458
-2.34583,100,13.005906
-1.005,100,13.045686
-1.09455,100,13.084999
-1.884585,100,13.124233
-1.175659,100,13.247084
-0.930273,100,13.286335
-1.558949,100,13.326541
-0.88381,100,13.36703
-1.20141,100,13.407009
-1.341437,100,13.447013
-1.331681,100,13.486231
-0.97697,100,13.525507
-2.478795,100,13.564731
-1.171973,100,13.603948
-1.139663,100,13.727916
-1.119265,100,13.767285
-2.216457,100,13.806513
-1.147949,100,13.845759
-1.140558,100,13.885016
-1.042799,100,13.925522
-1.529468,100,13.965884
-0.920898,100,14.005364
-0.992478,100,14.044723
-1.70234,100,14.083907
-1.391779,100,14.206964
-1.462691,100,14.246526
-1.514137,100,14.285811
-1.767019,100,14.325128
-1.280134,100,14.364932
-1.174615,100,14.404552
-1.305884,100,14.445413
-1.477622,100,14.485585
-0.862734,100,14.525847
-1.214008,100,14.565894
-1.578781,100,14.605023
-0.831828,100,14.728265
-1.398183,100,14.767694
-1.524385,100,14.807262
-1.370268,100,14.846673
-1.507309,100,14.885914
-0.911806,100,14.926355
-1.0512,100,14.966362
-1.310298,100,15.005774
-0.76214,100,15.045065
-0.957923,100,15.084326
-1.152768,100,15.20765
-1.172116,100,15.247167
-0.858734,100,15.286511
-0.912188,100,15.325932
-1.1764,100,15.366586
-1.034768,100,15.406668
-1.15981,100,15.447265
-1.706583,100,15.487539
-1.004138,100,15.527781
-1.542804,100,15.567718
-1.855651,100,15.69036
-0.913076,100,15.729721
-1.576746,100,15.768746
-1.043881,100,15.80759
-1.129403,100,15.846591
-0.782229,100,15.885529
-1.057217,100,15.925095
-1.594801,100,15.965133
-0.616406,100,16.004357
-1.190677,100,16.043515
-1.267378,100,16.16579
-0.949717,100,16.205512
-1.430283,100,16.244837
-0.919626,100,16.284242
-1.449766,100,16.324133
-0.671997,100,16.363758
-1.022391,100,16.403548
-1.666414,100,16.443683
-1.032861,100,16.483085
