#{"t_start": 1592428464.2964756, "env_id": "widowx_reacher-v5"}
r,l,t
-3.525494,100,1.974874
-2.321839,100,2.150365
-1.513058,100,3.111195
-2.247002,100,3.296638
-2.087251,100,3.485196
-2.995643,100,4.209828
-3.269932,100,4.405628
-2.570787,100,5.124722
-2.685401,100,5.306435
-1.880999,100,5.488855
-3.035059,100,6.17948
-1.996647,100,6.352306
-2.698114,100,7.601912
-1.620442,100,7.774692
-2.557608,100,7.947557
-2.724112,100,8.637987
-2.96292,100,8.815373
-1.685525,100,9.52342
-2.795099,100,9.69951
-2.204052,100,9.881617
-2.716725,100,10.566644
-2.580161,100,10.74066
-2.695721,100,10.913965
-1.566789,100,11.609171
-2.090189,100,11.786086
-2.031412,100,12.845679
-1.615563,100,13.02559
-1.264642,100,13.205394
-1.200308,100,13.929547
-1.443215,100,14.13174
-1.198456,100,14.856254
-1.101654,100,15.027497
-0.818322,100,15.198616
-3.361845,100,15.88919
-2.544493,100,16.062127
-1.653601,100,16.751908
-1.050262,100,16.925326
-2.437734,100,17.592061
-3.322315,100,18.297567
-1.306795,100,18.469152
-1.413254,100,19.163326
-3.831616,100,19.334316
-1.098977,100,19.50545
-2.88232,100,20.191894
-1.3982,100,20.364023
-1.338244,100,20.537249
-1.221473,100,21.24143
-4.03508,100,21.417472
-1.47115,100,22.119087
-1.171057,100,22.292128
-1.526952,100,22.872678
-1.28923,100,23.574261
-3.012019,100,23.746318
-1.073348,100,24.444539
-1.066224,100,24.616892
-1.890915,100,24.789261
-2.518534,100,25.513592
-2.584553,100,25.720826
-1.097819,100,26.452055
-1.385538,100,26.629875
-1.360998,100,26.80666
-1.696686,100,27.515367
-1.278252,100,28.078123
-1.514959,100,28.249967
-1.487544,100,28.943535
-1.150617,100,29.121334
-0.96269,100,29.821177
-1.823853,100,30.001067
-1.372259,100,30.179725
-1.766941,100,30.881169
-1.566762,100,31.05978
-2.053107,100,31.758981
-1.403128,100,31.931225
-1.536779,100,32.103293
-1.423474,100,32.790954
-1.448656,100,33.380942
-1.360634,100,34.093881
-1.637471,100,34.269076
-2.237584,100,34.444191
-1.543304,100,35.142432
-1.197709,100,35.317035
-1.309804,100,36.022151
-1.838192,100,36.195018
-1.661392,100,36.368935
-2.394437,100,37.069589
-1.451013,100,37.247752
-1.083727,100,37.428313
-1.717933,100,38.518831
-2.516673,100,38.695018
-1.86517,100,39.40727
-1.810997,100,39.613642
-3.767354,100,39.814966
-1.880193,100,40.513194
-3.835017,100,40.685607
-2.308425,100,41.37172
-3.818148,100,41.543765
-2.209464,100,41.715462
-2.315292,100,42.42073
-2.093098,100,42.593228
-3.982093,100,43.287627
-1.718242,100,43.844817
-2.297234,100,44.014605
-2.124242,100,44.705045
-1.961946,100,44.877324
-2.036813,100,45.561651
-2.255877,100,45.738718
-3.62805,100,45.917332
-2.601631,100,46.602926
-2.4091,100,46.773276
-2.270315,100,46.943753
-1.980865,100,47.602975
-2.696559,100,47.773776
-2.087121,100,48.840331
-2.206536,100,49.017292
-1.832762,100,49.194727
-1.667723,100,49.88065
-1.761724,100,50.057513
-2.283096,100,50.740738
-1.761947,100,50.912273
-2.380822,100,51.092589
-1.957097,100,51.77719
-1.985004,100,51.947652
-2.236457,100,52.622268
-1.70234,100,52.798475
-2.185024,100,52.981157
-2.157146,100,54.106014
-2.346557,100,54.277115
-1.939182,100,54.448137
-1.947646,100,55.141599
-2.371964,100,55.31416
-2.115493,100,56.007541
-1.998799,100,56.184299
-2.062123,100,56.360836
-1.7152,100,57.046961
-2.189759,100,57.226004
-2.174254,100,57.921584
-1.763248,100,58.093359
-2.295543,100,58.654937
-2.068449,100,59.349553
-2.299728,100,59.522759
-2.080789,100,60.21399
-2.049123,100,60.386032
-1.889804,100,60.558068
-2.959681,100,61.237683
-1.7824,100,61.416249
-2.001939,100,62.082324
-1.638177,100,62.253491
-1.657522,100,62.424309
-1.44331,100,63.096934
-2.685494,100,63.272235
-2.023091,100,63.827914
-2.022108,100,64.51125
-2.191774,100,64.681021
-1.618548,100,65.366205
-2.076699,100,65.541049
-1.835996,100,65.714767
-2.172148,100,66.384424
-1.501512,100,66.553959
-1.804285,100,67.226979
-2.082207,100,67.39637
-2.348946,100,67.565456
-1.80949,100,68.242214
-2.130443,100,68.80619
-2.075288,100,69.508673
-1.771953,100,69.682934
-1.532784,100,69.857157
-1.777122,100,70.5352
-1.733039,100,70.704858
-1.476161,100,71.390856
-1.65582,100,71.5633
-1.826734,100,71.735592
-2.325346,100,72.426848
-1.805631,100,72.603928
-2.029526,100,72.780493
-1.729922,100,73.480883
-1.701236,100,74.123316
-1.64264,100,74.817886
-1.874957,100,75.000435
-1.629156,100,75.17978
-1.900901,100,75.86502
-2.054195,100,76.039573
-2.309998,100,76.73415
-1.870785,100,76.910119
-1.728928,100,77.086642
-1.985139,100,77.789737
-2.017407,100,77.964632
-1.654499,100,78.659858
-1.627138,100,79.231782
-1.981552,100,79.404014
-1.907281,100,80.09946
-1.625566,100,80.271631
-1.617261,100,80.443605
-1.556046,100,81.128012
-1.827583,100,81.318359
-1.652235,100,82.025151
-1.746712,100,82.195951
-2.038713,100,82.366661
-1.565062,100,83.055793
-1.666892,100,83.227493
-1.535842,100,83.917248
-2.038972,100,84.488701
-1.60693,100,84.666619
-1.800275,100,85.367401
-1.777453,100,85.55002
-2.029894,100,86.252796
-1.439737,100,86.426682
-2.099915,100,86.601633
-1.452009,100,87.27782
-1.351366,100,87.452229
-1.647141,100,88.124738
-1.736726,100,88.294987
-1.483381,100,88.465299
-1.766108,100,89.519881
-1.622488,100,89.695477
-1.533165,100,89.870128
-1.62701,100,90.524965
-1.37472,100,90.694803
-2.248825,100,91.360503
-1.822427,100,91.535491
-2.203836,100,91.709896
-1.449802,100,92.371057
-2.201599,100,92.53929
-2.737184,100,93.205217
-1.654935,100,93.380625
-1.485085,100,93.575795
-2.241901,100,94.752918
-2.979351,100,94.929441
-2.01368,100,95.624777
-2.039338,100,95.799726
-1.981648,100,95.974841
-1.964246,100,96.660275
-2.008329,100,96.830843
-2.255772,100,97.523293
-1.820865,100,97.69951
-2.09905,100,97.877373
-2.117781,100,98.57411
-2.24719,100,98.74507
-2.262071,100,99.302078
-2.257812,100,99.996898
-2.164952,100,100.167864
-2.531609,100,100.835793
-1.668525,100,101.009974
-2.277291,100,101.185007
-2.229059,100,101.879071
-1.670339,100,102.049998
-2.428551,100,102.742738
-2.150758,100,102.91721
-1.940871,100,103.101104
-2.135903,100,103.797546
-1.438309,100,103.977373
-2.073553,100,105.120717
-1.947053,100,105.301813
-2.144026,100,105.481124
-1.840161,100,106.179848
-2.055755,100,106.350178
-1.739988,100,106.52086
-2.002685,100,107.209166
-1.949156,100,107.393934
-2.050233,100,108.092639
-3.183445,100,108.263812
-2.364515,100,108.44034
-2.112634,100,109.132459
-2.226332,100,109.696328
-2.132546,100,110.384966
-2.323579,100,110.555606
-2.557655,100,110.725953
-2.493046,100,111.413799
-2.12142,100,111.584357
-2.482895,100,112.264777
-1.950988,100,112.442896
-1.873547,100,112.619634
-2.985478,100,113.298821
-1.598257,100,113.488572
-2.462248,100,114.187003
-2.55171,100,114.358357
-2.469674,100,114.918098
-2.026166,100,115.609922
-2.673484,100,115.780279
-1.835651,100,115.95668
-2.100266,100,116.645234
-2.322427,100,116.820858
-1.854133,100,117.517469
-2.187964,100,117.689299
-1.866927,100,117.866083
-1.906766,100,118.56119
-2.060507,100,118.732335
-2.15707,100,119.419744
-2.174574,100,120.005587
-2.346435,100,120.192266
-1.884611,100,120.906429
-1.970344,100,121.098484
-1.851677,100,121.813275
-1.465854,100,122.005508
-1.869254,100,122.19784
-2.131191,100,122.897256
-2.281928,100,123.067971
-2.008669,100,123.757213
-2.545821,100,123.931844
-2.589918,100,124.117194
