#{"t_start": 1592428724.7272525, "env_id": "widowx_reacher-v5"}
r,l,t
-0.338581,100,3.020758
-0.401256,100,4.09918
-0.531298,100,4.629549
-0.606759,100,5.152123
-0.421219,100,5.671313
-0.455064,100,6.188408
-0.608845,100,6.708648
-0.384356,100,7.235138
-0.398345,100,7.754766
-0.530777,100,8.273103
-0.600142,100,8.795333
-0.636277,100,9.315147
-0.592863,100,9.831816
-0.420232,100,10.350854
-1.133711,100,10.875009
-0.879286,100,11.391928
-0.76853,100,11.910708
-0.805621,100,12.427813
-0.425485,100,12.94598
-0.336268,100,13.466475
-0.290867,100,13.99131
-0.663328,100,14.512408
-0.823808,100,15.033525
-0.593447,100,15.55939
-0.526419,100,16.085557
-0.677374,100,16.607659
-0.707396,100,17.132656
-0.60886,100,17.651054
-0.522859,100,18.175902
-0.558119,100,18.696095
-0.773488,100,19.223184
-0.347285,100,19.741869
-0.567329,100,20.260553
-0.461401,100,20.780978
-0.417803,100,21.307934
-0.346263,100,21.82787
-0.652429,100,22.350695
-0.451047,100,22.87097
-0.644815,100,23.390097
-0.522627,100,23.906722
-0.473172,100,24.431035
-0.5527,100,24.947875
-0.802058,100,25.467195
-0.374422,100,25.988979
-0.445233,100,26.50586
-0.569215,100,27.018314
-0.389828,100,27.534064
-0.366363,100,28.051442
-1.400648,100,28.5685
-0.473553,100,29.084874
-0.645504,100,29.609297
-0.414317,100,30.13006
-0.733937,100,30.64801
-0.530848,100,31.161848
-0.389193,100,31.684426
-1.234337,100,32.202419
-0.39658,100,32.717617
-0.489567,100,33.234846
-1.813844,100,33.750446
-0.72266,100,34.272354
-1.813594,100,34.792561
-2.167535,100,35.307877
-1.782032,100,35.824239
-2.451062,100,36.337787
-1.805999,100,36.857443
-1.578459,100,37.372071
-1.006057,100,37.886888
-1.048816,100,38.402045
-1.357833,100,38.91722
-0.677177,100,39.430988
-1.132516,100,39.944006
-1.127312,100,40.454511
-1.366124,100,40.964011
-0.702741,100,41.472517
-0.671869,100,41.985749
-0.790753,100,42.498621
-1.047494,100,43.013147
-0.789655,100,43.533595
-0.965472,100,44.045377
-0.813774,100,44.557384
-0.414274,100,45.064162
-0.854279,100,45.583279
-0.284197,100,46.092942
-0.250825,100,46.607644
-0.254582,100,47.122017
-0.792377,100,47.635717
-0.57946,100,48.157723
-1.011671,100,48.670721
-0.584562,100,49.186553
-0.892564,100,49.701616
-0.594852,100,50.21655
-0.605889,100,50.739878
-0.504497,100,51.252859
-0.638568,100,51.761825
-0.663522,100,52.26681
-0.457866,100,52.776293
-1.263329,100,53.281633
-0.724423,100,53.792254
-0.713763,100,54.306343
-0.450252,100,54.815734
-0.296752,100,55.650107
-0.450676,100,56.161229
-0.652786,100,56.672211
-1.739528,100,57.185239
-1.92192,100,57.697864
-2.266831,100,58.207655
-2.16625,100,58.718541
-1.58895,100,59.235692
-2.35606,100,59.749314
-0.784675,100,60.263977
-0.553858,100,60.780353
-0.395003,100,61.296361
-0.423089,100,61.818505
-0.396969,100,62.328481
-0.672113,100,62.842607
-0.722839,100,63.361988
-2.027126,100,63.873236
-1.292655,100,64.387256
-2.608855,100,64.900637
-3.239566,100,65.420656
-3.338028,100,65.94215
-3.801807,100,66.462027
-3.006055,100,66.975857
-1.006787,100,67.48959
-3.192873,100,68.014409
-0.978383,100,68.526203
-2.615901,100,69.039311
-0.784168,100,69.554041
-2.532411,100,70.065859
-2.797698,100,70.576433
-2.94787,100,71.086838
-3.066191,100,71.604401
-3.043561,100,72.120336
-4.20441,100,72.630264
-3.291618,100,73.148743
-2.92014,100,73.668833
-3.638896,100,74.181858
-3.002696,100,74.702911
-2.965558,100,75.228201
-4.138043,100,75.740053
-3.325551,100,76.249448
-0.736432,100,76.758192
-0.764263,100,77.268129
-0.794393,100,77.7817
-0.783833,100,78.300505
-0.78311,100,78.811373
-0.799965,100,79.337694
-2.122294,100,79.850424
-2.00146,100,80.365045
-1.962583,100,80.882818
-1.290839,100,81.396757
-0.850617,100,81.920536
-0.757308,100,82.429107
-0.769185,100,82.942567
-0.720213,100,83.450865
-0.73866,100,83.965384
-0.647684,100,84.472718
-0.555486,100,84.981596
-0.84891,100,85.498439
-0.517926,100,86.013272
-0.429248,100,86.52306
-0.420632,100,87.0317
-0.501389,100,87.54185
-0.525385,100,88.055615
-0.432047,100,88.569186
-0.478381,100,89.087537
-0.478506,100,89.607243
-0.490791,100,90.127886
-0.636813,100,90.645065
-0.382486,100,91.159539
-0.392661,100,91.671864
-0.386205,100,92.189475
-0.465946,100,92.707245
-0.404987,100,93.218317
-0.50447,100,93.733096
-0.541435,100,94.249534
-0.466599,100,94.758173
-0.560416,100,95.272349
-0.519685,100,95.780697
-0.85462,100,96.293976
-0.817758,100,96.804552
-1.300053,100,97.314918
-0.938219,100,97.828518
-1.542774,100,98.343658
-1.853665,100,98.849643
-1.897389,100,99.363863
-2.287979,100,99.875271
-1.565916,100,100.378883
-1.430539,100,100.887203
-0.891299,100,101.403041
-1.357327,100,101.914411
-0.890649,100,102.423161
-1.805179,100,102.942711
-1.287025,100,103.454509
-3.197,100,103.963903
-1.83763,100,104.478924
-1.884111,100,104.996433
-2.070318,100,105.510332
-2.468689,100,106.025832
-2.233999,100,106.550429
-2.718086,100,107.339747
-2.008661,100,107.854963
-2.017604,100,108.370458
-1.14722,100,108.890001
-1.286739,100,109.407647
-1.145495,100,109.925985
-1.728813,100,110.435389
-1.089129,100,110.951641
-1.018727,100,111.466611
-1.084196,100,111.977809
-0.879373,100,112.495546
-1.188104,100,113.014916
-1.380565,100,113.533452
-1.407649,100,114.051748
-1.504885,100,114.565007
-1.46109,100,115.072558
-1.245272,100,115.586774
-1.221111,100,116.09886
-1.265412,100,116.61565
-0.975176,100,117.136175
-0.795132,100,117.65258
-1.056376,100,118.166604
-1.017389,100,118.677262
-1.752929,100,119.192509
-0.661108,100,119.70434
-1.067195,100,120.213599
-0.788465,100,120.724484
-0.636742,100,121.238375
-0.706923,100,121.7491
-0.673565,100,122.259744
-0.953802,100,122.772285
-1.214188,100,123.287963
-0.882206,100,123.803387
-1.142526,100,124.320305
-1.344138,100,124.835609
-0.826287,100,125.351758
-0.896151,100,125.870289
-1.19858,100,126.391108
-1.087717,100,126.907737
-1.158082,100,127.427248
-1.443958,100,127.944649
-1.241212,100,128.455212
-1.203051,100,128.966975
-1.244359,100,129.482093
-1.064153,100,129.996847
-1.13073,100,130.509285
-1.099881,100,131.024254
-1.181046,100,131.536076
-1.237959,100,132.04816
-1.200955,100,132.556955
-1.20146,100,133.06811
-1.084189,100,133.576739
-1.083522,100,134.085129
-1.040483,100,134.591578
-1.077426,100,135.108137
-1.00225,100,135.612896
-1.059442,100,136.124507
-1.03818,100,136.632854
-0.674285,100,137.142566
-0.89521,100,137.659835
-1.033526,100,138.171304
-0.84267,100,138.67767
-0.849885,100,139.1851
-0.888499,100,139.695891
-0.894258,100,140.206669
-0.845522,100,140.713721
-0.617309,100,141.228216
-0.579685,100,141.744353
-0.652133,100,142.251996
-0.754479,100,142.763912
-0.553344,100,143.272811
-0.682681,100,143.780838
-0.735219,100,144.289253
-0.79326,100,144.794733
-0.731616,100,145.309365
-0.6187,100,145.819412
-0.5267,100,146.329691
-0.592545,100,146.83418
-0.711339,100,147.34398
-1.043123,100,147.848766
-1.872713,100,148.365221
-0.875479,100,148.876363
-0.813267,100,149.385728
-1.086019,100,149.902957
-0.954827,100,150.413199
-0.920127,100,150.925845
-1.269579,100,151.434336
-1.041213,100,151.949317
-1.779527,100,152.475557
-1.3937,100,152.987458
-1.071762,100,153.504512
-1.167466,100,154.016751
-2.137896,100,154.536799
-2.088907,100,155.051568
-2.057159,100,155.562148
-1.596888,100,156.072656
-1.089695,100,156.588601
-1.945926,100,157.101221
-1.910294,100,157.616678
-2.051485,100,158.131752
-2.127328,100,158.892911
-2.202542,100,159.414491
-2.066315,100,159.928843
-2.036812,100,160.439724
-1.843788,100,160.951522
-2.003617,100,161.467774
-1.28497,100,161.976289
-2.037109,100,162.490501
-1.71494,100,163.011734
-1.586964,100,163.520051
-0.734467,100,164.035529
-1.409388,100,164.546784
-1.748487,100,165.058452
-2.101088,100,165.572922
-1.193875,100,166.089715
-1.03521,100,166.616904
-1.391533,100,167.135977
-0.766488,100,167.66252
-1.138372,100,168.182112
-0.858734,100,168.702054
-0.710447,100,169.219992
-0.649904,100,169.738772
-0.891754,100,170.261381
-1.214688,100,170.779914
-1.150334,100,171.297179
-1.067496,100,171.818238
-1.623586,100,172.336064
-1.238305,100,172.855788
-1.667773,100,173.375738
-1.575514,100,173.902713
-1.298776,100,174.415103
-1.046565,100,174.929698
-1.466017,100,175.447841
-1.670551,100,175.969482
-2.055953,100,176.483142
-2.110157,100,177.009943
-1.952164,100,177.535628
-1.872004,100,178.051959
-1.899198,100,178.568547
-2.208557,100,179.087176
-2.206816,100,179.610554
-2.20071,100,180.127618
-2.580316,100,180.646234
-2.256543,100,181.169749
-2.854155,100,181.684723
-3.389048,100,182.202332
-3.355035,100,182.722421
-3.771369,100,183.244261
-3.961592,100,183.765376
-3.764834,100,184.285823
-3.607103,100,184.798443
-4.264577,100,185.311378
-3.994431,100,185.832208
-3.995461,100,186.339593
-4.149192,100,186.848225
-2.545486,100,187.359276
-3.583677,100,187.878975
-2.324988,100,188.397064
-4.476864,100,188.907616
-4.432656,100,189.429495
-2.836462,100,189.943893
-4.172898,100,190.463098
-4.101839,100,190.979278
-4.160445,100,191.505967
-4.326608,100,192.022627
-3.348269,100,192.534655
-3.914981,100,193.048019
-3.52911,100,193.569135
-2.277742,100,194.082577
-3.566173,100,194.607791
-3.744292,100,195.121336
-4.256331,100,195.641883
-2.346634,100,196.158937
-2.831987,100,196.673741
-3.485822,100,197.187166
-4.101819,100,197.70203
-3.69361,100,198.21559
-4.362013,100,198.735828
-2.62188,100,199.251558
-2.396383,100,199.766607
-2.579681,100,200.287546
-2.395187,100,200.805927
-2.317487,100,201.33211
-3.162736,100,201.85104
-2.415392,100,202.364545
-2.01656,100,202.883722
-2.653204,100,203.398181
-2.360039,100,203.919581
-2.35163,100,204.423944
-2.435562,100,204.933872
-3.32217,100,205.459739
-2.931321,100,205.980489
-4.199613,100,206.504575
-3.623152,100,207.024535
-3.280303,100,207.54223
-3.690068,100,208.058599
-3.959424,100,208.579026
-3.930144,100,209.101752
-3.826359,100,209.617346
-3.694001,100,210.134721
