#{"t_start": 1592537599.9452565, "env_id": "widowx_reacher-v7"}
r,l,t
-1.199088,100,2.074447
-3.127994,100,2.282593
-2.745611,100,2.492199
-2.328761,100,2.700255
-1.774551,100,2.912919
-2.548129,100,3.122133
-2.656619,100,3.331547
-1.2413,100,3.541044
-1.221249,100,3.760684
-0.740619,100,3.973214
-1.238324,100,4.184733
-2.228702,100,4.395203
-3.453914,100,5.115154
-0.702321,100,5.327422
-1.739445,100,5.536903
-1.344011,100,5.746986
-1.702091,100,5.960536
-1.950659,100,6.171545
-0.562799,100,6.383893
-3.412071,100,6.597903
-2.11233,100,6.811116
-2.007545,100,7.025177
-2.890271,100,7.232479
-1.497318,100,7.437798
-0.428352,100,7.645568
-1.474801,100,8.389232
-1.330285,100,8.611369
-2.945293,100,8.833913
-2.440731,100,9.048346
-1.462941,100,9.266326
-1.191642,100,9.490525
-1.512771,100,9.708945
-1.856187,100,9.93032
-1.996804,100,10.148258
-1.862551,100,10.371193
-2.285758,100,10.592582
-0.957747,100,10.808716
-0.985474,100,11.448911
-1.872503,100,11.665227
-1.215144,100,11.873083
-1.1976,100,12.0863
-1.0145,100,12.294054
-0.877717,100,12.501581
-1.590927,100,12.706755
-0.87896,100,12.913409
-1.62641,100,13.12134
-1.13119,100,13.330378
-4.181431,100,13.535283
-1.715027,100,13.749221
-1.169133,100,13.959663
-0.838172,100,14.595086
-2.476072,100,14.80971
-0.467582,100,15.027796
-1.466721,100,15.242769
-6.169595,100,15.454614
-2.489185,100,15.670936
-0.548146,100,15.891405
-2.114021,100,16.106358
-1.270846,100,16.320826
-2.038209,100,16.534418
-0.787711,100,16.745195
-0.388384,100,16.959702
-3.651741,100,17.631179
-1.734732,100,17.848391
-1.186181,100,18.06751
-2.173544,100,18.280094
-0.36836,100,18.49172
-2.12942,100,18.709937
-0.222655,100,18.922849
-1.49219,100,19.138222
-0.80751,100,19.34942
-1.625119,100,19.563814
-1.16141,100,19.784472
-0.194783,100,19.996207
-1.687373,100,20.209764
-1.490806,100,20.847542
-0.723643,100,21.06425
-0.780229,100,21.277317
-1.500377,100,21.495302
-2.776184,100,21.708357
-1.001682,100,21.927162
-1.11285,100,22.143336
-2.613418,100,22.35624
-0.923137,100,22.56908
-0.833923,100,22.776724
-4.031268,100,22.98033
-4.272846,100,23.187221
-1.523914,100,23.819331
-1.363423,100,24.040072
-3.368102,100,24.254456
-0.743337,100,24.466692
-2.668722,100,24.682748
-1.934198,100,24.886811
-0.598152,100,25.101912
-2.962776,100,25.317568
-0.472893,100,25.535358
-1.492156,100,25.756846
-0.991063,100,25.969149
-4.400481,100,26.180293
-1.578136,100,26.39244
-1.164871,100,27.044534
-0.474816,100,27.253386
-0.990919,100,27.468155
-0.603861,100,27.671148
-2.048159,100,27.888324
-2.184322,100,28.107002
-4.013714,100,28.321996
-3.173218,100,28.538834
-1.638136,100,28.753392
-0.860324,100,28.972946
-1.116433,100,29.188771
-1.313025,100,29.406009
-2.280092,100,30.068154
-1.674369,100,30.2839
-2.097777,100,30.500079
-1.180402,100,30.716946
-1.405985,100,30.927667
-1.197127,100,31.143553
-1.256731,100,31.35946
-1.689889,100,31.576025
-2.071641,100,31.790747
-0.790454,100,32.001138
-0.907213,100,32.213533
-0.963305,100,32.422477
-2.761406,100,32.637083
-1.981771,100,33.276248
-1.075713,100,33.486814
-3.773145,100,33.704095
-3.081469,100,33.919935
-3.011971,100,34.130553
-1.744544,100,34.345537
-2.293798,100,34.560076
-2.007194,100,34.772189
-0.820255,100,34.97941
-1.276556,100,35.192446
-1.892138,100,35.404078
-2.61124,100,35.617341
-0.931327,100,36.267407
-0.669753,100,36.479413
-0.733854,100,36.694305
-0.818099,100,36.908363
-3.096875,100,37.124125
-0.549992,100,37.334657
-3.56993,100,37.551173
-3.569634,100,37.768414
-5.773729,100,37.981091
-0.6483,100,38.188956
-1.716486,100,38.407122
-2.215955,100,38.623718
-1.584307,100,38.836059
-1.255059,100,39.479534
-2.10781,100,39.697935
-1.140121,100,39.917063
-1.144933,100,40.135052
-0.393472,100,40.343565
-2.453479,100,40.553085
-0.640471,100,40.767126
-3.526683,100,40.981868
-1.85318,100,41.190897
-0.770088,100,41.405559
-1.771893,100,41.622091
-2.832729,100,41.839463
-0.618652,100,42.485592
-0.508982,100,42.699876
-0.983386,100,42.915003
-1.734589,100,43.128539
-0.351828,100,43.337479
-1.174324,100,43.545602
-2.017235,100,43.75431
-2.421646,100,43.970655
-2.140212,100,44.184009
-0.901608,100,44.398085
-0.93347,100,44.611821
-3.865707,100,44.826112
-1.828274,100,45.035579
-1.945684,100,45.675631
-0.533998,100,45.886886
-2.741672,100,46.103223
-4.38929,100,46.317202
-0.398261,100,46.53171
-1.198973,100,46.74781
-1.939678,100,46.96055
-0.931144,100,47.1736
-1.938555,100,47.389062
-2.742982,100,47.599423
-1.399078,100,47.806319
-2.010963,100,48.015496
-0.55715,100,48.648123
-2.691046,100,48.849831
-1.099145,100,49.053753
-1.941837,100,49.258969
-0.777223,100,49.462064
-0.856843,100,49.671339
-2.29641,100,49.882997
-1.557767,100,50.091258
-1.478472,100,50.306617
-3.495607,100,50.522539
-2.746229,100,50.742984
-0.408141,100,50.955847
-3.41391,100,51.1709
-3.524553,100,51.818609
-0.099602,100,52.034909
-4.286833,100,52.247432
-2.012889,100,52.458371
-0.18777,100,52.672612
-0.380017,100,52.880452
-1.169401,100,53.0903
-2.211839,100,53.305291
-1.103333,100,53.518546
-2.41296,100,53.727799
-2.849622,100,53.934819
-2.245771,100,54.138601
-3.458383,100,54.777044
-2.74262,100,54.991244
-1.28035,100,55.206438
-2.188966,100,55.41906
-3.253162,100,55.637485
-0.671897,100,55.845367
-2.718556,100,56.059548
-1.224131,100,56.272368
-2.271765,100,56.486028
-2.250013,100,56.695779
-2.323651,100,56.910737
-2.934847,100,57.122799
-1.390697,100,57.341837
-0.525482,100,57.976276
-0.163049,100,58.186518
-2.72164,100,58.402553
-1.433585,100,58.619027
-0.34608,100,58.830595
-0.752901,100,59.035547
-1.330674,100,59.240121
-1.856206,100,59.449115
-0.512865,100,59.650195
-0.999898,100,59.851485
-0.708148,100,60.057312
-0.70689,100,60.262112
-1.634311,100,60.890027
-4.611644,100,61.10547
-2.832857,100,61.320707
-0.450723,100,61.535825
-1.686453,100,61.752689
-3.188085,100,61.966952
-1.923137,100,62.177793
-1.25714,100,62.394027
-3.607969,100,62.610103
-3.083941,100,62.823061
-0.428856,100,63.034161
-2.062366,100,63.250307
-2.418611,100,63.46251
-3.572571,100,64.118075
-1.1486,100,64.32838
-1.665238,100,64.53773
-6.266591,100,64.75209
-0.564867,100,64.964527
-3.038209,100,65.178701
-3.019365,100,65.400871
-1.313378,100,65.616662
-2.096609,100,65.828337
-1.197903,100,66.044906
-2.349671,100,66.256782
-2.017629,100,66.470891
-1.490797,100,67.108356
-0.32851,100,67.323671
-1.720169,100,67.538889
-1.225228,100,67.752232
-0.866103,100,67.955798
-0.562946,100,68.152018
-5.294338,100,68.345998
-1.595835,100,68.53688
-1.485536,100,68.732133
