#{"t_start": 1592529086.4289176, "env_id": "widowx_reacher-v7"}
r,l,t
-2.15182,100,4.659459
-1.372859,100,4.904213
-2.688639,100,5.166697
-1.70144,100,5.433615
-6.188958,100,5.70549
-2.048985,100,5.971853
-2.202992,100,6.235265
-1.792219,100,6.496514
-4.081751,100,6.769541
-2.892529,100,7.034443
-2.515705,100,7.293001
-0.337213,100,7.548532
-1.949784,100,8.391249
-3.592988,100,8.648321
-1.060088,100,8.912243
-5.33161,100,9.173577
-1.883025,100,9.445481
-3.054639,100,9.702901
-1.743257,100,9.962054
-0.785129,100,10.215949
-3.151214,100,10.481521
-7.432267,100,10.737793
-1.404935,100,10.997177
-1.747036,100,11.250713
-2.29414,100,11.518003
-2.001337,100,12.244962
-9.148099,100,12.509928
-3.693319,100,12.767212
-1.935142,100,13.032461
-2.589184,100,13.288699
-1.282539,100,13.545493
-0.843235,100,13.802608
-2.437033,100,14.069221
-0.539147,100,14.328582
-0.183161,100,14.577038
-2.474858,100,14.836648
-1.613338,100,15.113228
-0.687952,100,15.82411
-0.429383,100,16.090843
-2.609404,100,16.351686
-2.281808,100,16.616561
-0.545018,100,16.870262
-0.671971,100,17.128047
-0.806209,100,17.38323
-1.854861,100,17.649291
-1.584074,100,17.911009
-3.718755,100,18.178271
-2.274717,100,18.43821
-0.977458,100,18.704015
-1.162056,100,18.958599
-1.049417,100,19.679181
-2.386796,100,19.938598
-1.713758,100,20.209571
-0.654307,100,20.465316
-3.416892,100,20.727049
-1.810686,100,20.987829
-0.948149,100,21.260797
-2.782578,100,21.519621
-1.66553,100,21.77211
-2.5828,100,22.024578
-1.096013,100,22.28871
-0.839179,100,22.543422
-1.524398,100,23.261412
-1.536542,100,23.517877
-1.376958,100,23.783118
-2.398267,100,24.048535
-3.097977,100,24.309299
-0.591483,100,24.568762
-1.845326,100,24.830701
-4.260106,100,25.08197
-1.131812,100,25.338578
-2.02724,100,25.599983
-0.506363,100,25.87096
-3.393428,100,26.130093
-0.59715,100,26.393228
-0.514734,100,27.132462
-0.539134,100,27.402443
-2.862885,100,27.65786
-0.674137,100,27.914392
-1.003559,100,28.173992
-2.457059,100,28.435454
-2.020245,100,28.688123
-0.761954,100,28.943651
-2.806755,100,29.198602
-0.782596,100,29.462813
-1.296175,100,29.719607
-3.189851,100,29.983698
-3.471146,100,30.703599
-1.934621,100,30.965662
-1.175849,100,31.200593
-2.323549,100,31.43431
-0.244843,100,31.668801
-0.813788,100,31.912545
-1.549877,100,32.152817
-0.936775,100,32.39677
-2.543682,100,32.639394
-3.403651,100,32.897269
-1.966051,100,33.161127
-2.462944,100,33.42126
-0.995725,100,33.676767
-0.851767,100,34.391797
-1.387882,100,34.643623
-1.615437,100,34.895826
-1.443179,100,35.149523
-0.935814,100,35.415817
-0.491024,100,35.672472
-1.621787,100,35.932443
-0.893366,100,36.192915
-2.445192,100,36.441569
-1.129446,100,36.697637
-1.380081,100,36.947472
-1.377465,100,37.203835
-0.670503,100,37.925691
-0.731267,100,38.180028
-0.2165,100,38.434421
-2.540881,100,38.688474
-2.231373,100,38.939206
-1.911835,100,39.19115
-1.575231,100,39.448731
-0.920959,100,39.70393
-1.435172,100,39.972515
-1.485775,100,40.229878
-0.910417,100,40.480828
-0.780186,100,40.736979
-3.495207,100,40.998316
-1.326636,100,41.711194
-0.437637,100,41.964084
-1.205088,100,42.217228
-2.467167,100,42.478417
-0.657478,100,42.727761
-0.699473,100,42.978928
-0.55504,100,43.233385
-0.999558,100,43.49762
-3.030846,100,43.755064
-0.847002,100,44.019274
-2.781745,100,44.277318
-3.414433,100,44.539717
-1.419451,100,45.25587
-1.522335,100,45.507764
-0.551266,100,45.762811
-2.75676,100,46.028269
-0.91157,100,46.282717
-0.559782,100,46.537477
-0.553196,100,46.796401
-1.399813,100,47.063002
-0.917647,100,47.319883
-1.467159,100,47.576148
-0.858136,100,47.832014
-0.394,100,48.104038
-1.858047,100,48.359031
-2.064238,100,49.069448
-0.84207,100,49.321783
-5.089499,100,49.584728
-1.00483,100,49.836075
-1.418184,100,50.089286
-3.33548,100,50.344957
-1.39322,100,50.60499
-1.662372,100,50.858192
-1.113346,100,51.110926
-1.550746,100,51.364709
-4.684824,100,51.627915
-1.491821,100,51.886035
-2.425798,100,52.601151
-1.286004,100,52.856841
-2.083756,100,53.11953
-0.812205,100,53.372849
-0.799481,100,53.629174
-1.91283,100,53.883452
-1.746265,100,54.148015
-1.47008,100,54.40688
-1.922165,100,54.662361
-1.553918,100,54.918063
-0.400084,100,55.181742
-1.170811,100,55.436232
-1.097201,100,55.692664
-3.438341,100,56.395458
-0.813997,100,56.660733
-2.348978,100,56.914691
-1.401558,100,57.169259
-2.504622,100,57.420487
-3.433475,100,57.683052
-1.704317,100,57.937385
-1.154915,100,58.187542
-2.489291,100,58.440954
-1.489647,100,58.7056
-1.497979,100,58.959094
-2.262145,100,59.212161
-2.574615,100,59.923702
-3.088467,100,60.195475
-2.143053,100,60.450496
-1.256868,100,60.705455
-0.689049,100,60.961051
-2.12893,100,61.225199
-1.011095,100,61.479421
-0.714626,100,61.735451
-2.604802,100,61.992155
-0.54197,100,62.255809
-1.526024,100,62.507106
-2.064592,100,62.761337
-1.938583,100,63.017308
-0.64757,100,63.738423
-1.614915,100,63.999168
-4.132251,100,64.258966
-1.48375,100,64.511627
-1.856548,100,64.778165
-1.455341,100,65.035236
-4.236043,100,65.288311
-0.644691,100,65.541563
-2.965394,100,65.806429
-2.913591,100,66.065521
-3.988134,100,66.310274
-4.782101,100,66.553858
-0.611104,100,67.219411
-2.64115,100,67.475048
-0.865087,100,67.734111
-3.973033,100,67.997171
-1.722052,100,68.265377
-2.145332,100,68.518561
-3.079932,100,68.772974
-0.387366,100,69.028538
-2.763839,100,69.294034
-1.396053,100,69.553236
-1.712378,100,69.814875
-0.320462,100,70.077183
-1.29189,100,70.346225
-2.499424,100,71.03993
-2.098053,100,71.299109
-0.596865,100,71.554028
-2.717458,100,71.82012
-2.037941,100,72.084677
-0.725503,100,72.342239
-1.016417,100,72.597065
-2.982818,100,72.862108
-1.295803,100,73.116554
-1.728481,100,73.372312
-2.999816,100,73.633996
-1.640159,100,73.905153
-1.035841,100,74.634877
-2.549113,100,74.890843
-2.793378,100,75.148322
-1.197031,100,75.415906
-1.228573,100,75.674146
-2.892482,100,75.934384
-1.903224,100,76.195981
-0.451824,100,76.460042
-1.782733,100,76.713168
-1.321736,100,76.967517
-1.863425,100,77.223097
-1.009427,100,77.492891
-0.380165,100,77.754846
-1.026487,100,78.4778
-3.43101,100,78.725988
-0.196848,100,78.985658
-1.912471,100,79.239442
-0.170027,100,79.49601
-1.7293,100,79.754613
-0.90714,100,80.026426
-0.548923,100,80.282059
-1.62863,100,80.531895
-1.127479,100,80.781334
-0.908587,100,81.046123
-1.648054,100,81.308254
-1.999056,100,82.034427
-1.331667,100,82.290023
-0.976073,100,82.55283
-0.535512,100,82.80705
-0.292271,100,83.059891
-0.664932,100,83.318518
-0.537363,100,83.581074
-1.433241,100,83.840404
-1.591245,100,84.100584
-0.974033,100,84.357955
-2.197359,100,84.623181
-1.177634,100,84.88457
-0.737766,100,85.142681
-0.200703,100,85.858364
-1.070874,100,86.122749
-0.939397,100,86.375801
-2.205235,100,86.632623
-0.587638,100,86.887821
-2.086369,100,87.149081
-1.142155,100,87.405626
-2.616663,100,87.66139
-1.352663,100,87.92474
-1.456727,100,88.193483
-0.153599,100,88.44729
-0.723348,100,88.710537
-1.976206,100,89.43182
-2.085944,100,89.696875
-0.460259,100,89.95138
-1.53649,100,90.205125
-2.050629,100,90.459517
-0.473229,100,90.722792
-0.745247,100,90.979416
-1.956738,100,91.233326
-1.0187,100,91.489676
-3.450018,100,91.756667
-3.581749,100,92.016224
-1.904289,100,92.282435
-1.136269,100,92.542612
-2.213752,100,93.257779
-1.445127,100,93.50927
-3.432242,100,93.766543
-1.673665,100,94.020713
-1.357417,100,94.281385
-2.226696,100,94.53299
-2.542502,100,94.786043
-2.518637,100,95.041903
-0.795567,100,95.304881
-3.073794,100,95.562009
-2.86219,100,95.820514
-1.442374,100,96.08437
-2.02252,100,96.8033
-2.283239,100,97.058678
-2.175771,100,97.312253
-2.890005,100,97.56689
-2.014224,100,97.82988
-1.378494,100,98.081789
-1.430979,100,98.333573
-0.90608,100,98.589584
-0.241962,100,98.855866
-1.114502,100,99.10764
-1.429436,100,99.363132
-1.751282,100,99.614896
-1.146341,100,99.884417
-0.65692,100,100.586939
-1.577156,100,100.843205
-0.875331,100,101.096167
-2.193771,100,101.359561
-1.878359,100,101.611079
-0.789043,100,101.866832
-1.044937,100,102.123438
-1.82771,100,102.387166
-1.621045,100,102.641703
-0.809702,100,102.897354
-0.817078,100,103.149022
-0.782625,100,103.41185
-2.571012,100,104.11471
-4.425932,100,104.370176
-0.308066,100,104.625558
-1.829513,100,104.885719
-1.930751,100,105.127429
-0.770464,100,105.380466
-3.189194,100,105.634934
-0.287552,100,105.902042
-0.547186,100,106.151569
-0.666236,100,106.405328
-1.937361,100,106.659997
-2.043795,100,106.924609
-0.605263,100,107.177456
-2.73116,100,107.879241
-1.26309,100,108.138797
-0.573015,100,108.403698
-3.286266,100,108.660347
-0.722731,100,108.914188
-1.978713,100,109.164119
-1.561481,100,109.428339
-2.918884,100,109.68225
-1.19516,100,109.936985
-3.08563,100,110.192115
-1.099054,100,110.457513
-1.445293,100,110.712438
-1.530254,100,111.426703
-1.688358,100,111.682284
-2.969625,100,111.953385
-2.293857,100,112.210058
-1.224377,100,112.470591
-1.004674,100,112.724396
-0.924026,100,112.990373
-0.895666,100,113.246589
-0.773739,100,113.500896
-2.592368,100,113.755094
-1.032672,100,114.001931
-1.685505,100,114.237343
-2.600074,100,114.473178
-0.689025,100,115.106686
-2.052913,100,115.367853
-0.46833,100,115.624306
-2.010004,100,115.885813
-2.585965,100,116.145856
-0.556209,100,116.41052
-0.931738,100,116.663554
-2.214192,100,116.916658
-2.412699,100,117.169929
-1.272486,100,117.432117
-2.695175,100,117.685217
-3.177469,100,117.936619
-3.222532,100,118.64297
-0.368319,100,118.904514
-1.794762,100,119.155597
-1.960228,100,119.412906
-0.583428,100,119.667304
-1.462643,100,119.93423
-1.312032,100,120.192901
-3.5867,100,120.447129
-2.713412,100,120.69803
-0.824754,100,120.960279
-0.907982,100,121.211539
-2.254908,100,121.46749
-1.651361,100,121.72009
-1.130565,100,122.442307
-1.679943,100,122.69446
-0.889361,100,122.945875
-0.463132,100,123.197843
-0.891755,100,123.46193
-0.740899,100,123.71516
-1.115454,100,123.974732
-1.736561,100,124.233202
-0.70363,100,124.49434
-1.558881,100,124.749084
-4.275264,100,125.003148
-2.65733,100,125.254572
-0.960487,100,125.978475
-1.090539,100,126.231037
-2.099038,100,126.483199
-0.500421,100,126.734101
-1.710163,100,126.995871
-1.771307,100,127.246273
-2.527357,100,127.501169
-2.981782,100,127.754941
-4.360108,100,128.021463
-0.978037,100,128.27464
-1.185947,100,128.527424
-0.951984,100,128.778939
-0.424123,100,129.039063
-2.0738,100,129.74069
-0.154249,100,129.994884
-2.848145,100,130.247636
-2.908326,100,130.511424
-0.56795,100,130.764516
-0.961279,100,131.017027
-1.507753,100,131.270819
-1.97541,100,131.532918
-2.557632,100,131.788032
-1.249105,100,132.048623
-0.378477,100,132.301909
-0.534651,100,132.562845
-1.394711,100,133.263124
-3.448111,100,133.514257
-1.198043,100,133.764834
-1.011305,100,134.024495
-1.657557,100,134.275402
-1.753814,100,134.528754
-2.225072,100,134.781567
-2.574626,100,135.043939
-0.806312,100,135.296426
