#{"t_start": 1592544292.344305, "env_id": "widowx_reacher-v8"}
r,l,t
-1.346908,100,1.826003
-1.635927,100,1.883859
-1.572344,100,1.941431
-0.369985,100,2.001785
-2.728991,100,2.059389
-0.202988,100,2.117162
-2.710856,100,2.17556
-1.561482,100,2.233418
-0.349374,100,2.291317
-0.964139,100,2.349852
-1.047534,100,3.220745
-1.663031,100,3.595878
-1.530825,100,3.965196
-1.37675,100,4.332124
-2.757236,100,4.696978
-2.559124,100,5.064225
-3.692853,100,5.427799
-1.733901,100,5.798456
-2.816596,100,6.168819
-4.742094,100,6.537502
-1.44099,100,6.902403
-8.475968,100,7.264622
-1.697716,100,7.630099
-1.90326,100,7.995537
-0.686765,100,8.360944
-2.206755,100,8.731697
-5.917803,100,9.096777
-5.422943,100,9.463646
-1.62621,100,9.830765
-0.833592,100,10.202343
-6.342869,100,10.570253
-0.587783,100,10.935859
-3.704396,100,11.298311
-3.163895,100,11.663411
-1.659812,100,12.031902
-5.91262,100,12.401558
-2.794529,100,12.773387
-5.410219,100,13.14477
-7.608759,100,13.519144
-3.706258,100,13.887323
-3.867347,100,14.258099
-2.988686,100,14.623446
-4.027435,100,14.993756
-0.3746,100,15.363344
-0.732833,100,15.732651
-3.060798,100,16.101883
-2.52885,100,16.467155
-3.116233,100,16.836724
-0.920835,100,17.195845
-2.531707,100,17.560146
-0.535178,100,17.928236
-1.756322,100,18.29672
-2.178376,100,18.663541
-1.229768,100,19.044949
-2.599566,100,19.41315
-1.031062,100,19.779477
-0.443434,100,20.162982
-1.337834,100,20.540002
-1.206122,100,20.907472
-0.789426,100,21.273612
-0.652039,100,21.639635
-7.317976,100,22.011553
-2.950046,100,22.38549
-1.034109,100,22.760309
-2.487304,100,23.129126
-0.714184,100,23.493813
-1.51069,100,23.862395
-2.860333,100,24.232946
-3.013715,100,24.602875
-1.057063,100,24.983307
-1.066504,100,25.359287
-1.58909,100,25.732658
-1.794541,100,26.109088
-0.763753,100,26.48823
-2.301368,100,26.864758
-4.36538,100,27.243479
-1.243568,100,27.630133
-3.355638,100,28.004124
-0.955596,100,28.373449
-2.34376,100,28.746823
-0.397762,100,29.11845
-2.440114,100,29.493716
-2.902777,100,29.871966
-1.708476,100,30.247644
-0.410061,100,30.624678
-0.829467,100,31.000213
-2.265854,100,31.369358
-0.650635,100,31.742753
-1.994574,100,32.112837
-1.52675,100,32.481017
-0.413982,100,32.852526
-3.411698,100,33.222367
-0.259234,100,33.595948
-1.678232,100,33.968986
-1.346884,100,34.34498
-2.101883,100,34.715866
-1.668493,100,35.087571
-0.934783,100,35.465208
-0.640865,100,35.844482
-2.583524,100,36.234126
-1.659611,100,37.049893
-3.860315,100,37.436459
-1.270228,100,37.814141
-1.57757,100,38.203227
-1.898707,100,38.586452
-2.08663,100,38.961583
-0.61746,100,39.334612
-1.269974,100,39.707311
-1.463395,100,40.081479
-0.844167,100,40.457091
-1.959362,100,40.849466
-1.698282,100,41.226554
-0.628491,100,41.60727
-0.773666,100,41.994032
-1.902166,100,42.371798
-0.821581,100,42.758722
-1.183873,100,43.133379
-2.345842,100,43.509878
-0.224267,100,43.89688
-1.535301,100,44.284279
-0.670623,100,44.662412
-1.286447,100,45.034352
-2.113222,100,45.408403
-1.555063,100,45.798403
-2.069057,100,46.179536
-2.025309,100,46.557084
-2.926689,100,46.934351
-0.40538,100,47.309606
-1.383635,100,47.683769
-0.850024,100,48.063755
-1.74824,100,48.44192
-1.053112,100,48.823706
-1.068019,100,49.201406
-0.34147,100,49.591301
-1.328653,100,49.965682
-0.50559,100,50.344578
-2.966936,100,50.721717
-3.070234,100,51.10013
-0.497599,100,51.478578
-1.109986,100,51.854762
-0.4829,100,52.234059
-0.994841,100,52.616481
-2.015371,100,52.99701
-0.986035,100,53.375771
-4.453474,100,53.757531
-3.116621,100,54.136673
-2.234386,100,54.521162
-2.821808,100,54.903624
-3.285324,100,55.297439
-3.785525,100,55.677304
-6.966356,100,56.058172
-5.131036,100,56.44679
-0.711101,100,56.826519
-1.573287,100,57.203742
-1.996312,100,57.58581
-0.157837,100,57.972546
