#{"t_start": 1592541882.5127685, "env_id": "widowx_reacher-v7"}
r,l,t
-1.7246,100,1.947761
-0.329899,100,1.979201
-3.453821,100,2.007453
-0.264631,100,2.035235
-2.298601,100,2.062735
-0.95828,100,2.090274
-2.101631,100,2.117783
-2.458887,100,2.146397
-1.545815,100,2.173896
-0.554908,100,2.201438
-1.946554,100,2.229222
-2.033621,100,2.256882
-2.067002,100,2.284374
-1.620018,100,2.311927
-2.630476,100,2.340513
-1.255264,100,2.36819
-1.756888,100,2.395741
-1.419469,100,2.423195
-1.245087,100,2.45069
-2.165557,100,2.478389
-0.287382,100,2.505928
-1.42775,100,2.535209
-3.159357,100,2.562721
-3.185026,100,2.590531
-0.841231,100,2.618234
-0.717315,100,2.645709
-1.595062,100,2.673214
-0.766637,100,2.700909
-3.763577,100,2.728508
-0.785792,100,2.75599
-1.164029,100,2.783599
-0.474938,100,2.811361
-1.339799,100,2.838852
-1.872311,100,2.866345
-3.313938,100,2.8939
-2.318367,100,2.922141
-1.936761,100,2.949746
-1.870488,100,2.977399
-4.589102,100,3.004962
-1.993359,100,3.032799
-1.61674,100,3.060427
-0.267134,100,3.08889
-1.882157,100,3.116696
-1.190193,100,3.144595
-2.019373,100,3.172209
-3.032482,100,3.199821
-3.465814,100,3.227544
-1.103902,100,3.255392
-3.100451,100,3.283575
-1.354761,100,3.311239
-2.254745,100,3.338931
-1.61457,100,3.366783
-1.56263,100,3.394439
-3.601646,100,3.422128
-1.086283,100,3.449818
-2.036273,100,3.478331
-0.509424,100,3.505978
-1.811847,100,3.533721
-0.693985,100,3.561516
-1.964788,100,3.589541
-1.606027,100,3.61724
-3.33082,100,3.644937
-0.847365,100,3.673344
-2.567707,100,3.701415
-1.572046,100,3.729321
-1.352137,100,3.757352
-0.129488,100,3.785189
-1.335369,100,3.813254
-2.428275,100,3.841164
-1.781231,100,3.869434
-3.331606,100,3.897321
-2.58805,100,3.925484
-2.284849,100,3.953336
-1.211399,100,3.981261
-1.861521,100,4.009325
-1.157158,100,4.038119
-0.996394,100,4.066161
-0.0825,100,4.094014
-1.950252,100,4.121942
-0.976168,100,4.150106
-2.839826,100,4.178214
-2.927603,100,4.206307
-1.683737,100,4.235554
-0.629492,100,4.263864
-0.2347,100,4.291987
-0.981726,100,4.319978
-1.082537,100,4.347937
-0.416439,100,4.376119
-0.483728,100,4.404219
-1.588306,100,4.432599
-1.274191,100,4.460561
-1.872001,100,4.488825
-1.132971,100,4.517056
-0.813517,100,4.545024
-0.752561,100,4.573197
-0.368662,100,4.60147
-1.746115,100,4.631071
-3.559654,100,4.659323
-1.785013,100,4.687362
-1.010198,100,4.715698
-0.586829,100,8.957828
-4.111523,100,9.02043
-3.110346,100,9.082812
-0.181167,100,9.145375
-6.842234,100,9.207394
-2.585491,100,9.269626
-1.683458,100,9.331814
-3.575582,100,9.394156
-1.469848,100,9.456321
-4.344811,100,9.518465
-2.117506,100,12.892097
-3.356867,100,12.950897
-4.377868,100,13.009026
-2.645587,100,13.067953
-3.750873,100,13.126054
-3.575983,100,13.184482
-6.239934,100,13.246249
-3.738914,100,13.305039
-3.002213,100,13.363171
-3.628822,100,13.42166
-3.356425,100,16.864562
-4.240173,100,16.923334
-4.765501,100,16.982234
-6.398735,100,17.041311
-3.24531,100,17.100061
-5.11794,100,17.158707
-3.488502,100,17.217528
-4.847707,100,17.278928
-3.250752,100,17.336886
-4.422384,100,17.39503
-2.72671,100,20.803662
-5.997333,100,20.869525
-3.947171,100,20.934782
-4.967718,100,20.999791
-2.538617,100,21.064703
-2.745336,100,21.130112
-2.898474,100,21.19542
-5.507412,100,21.259986
-5.29045,100,21.324866
-2.606615,100,21.390327
-4.040772,100,24.787536
-5.897784,100,24.847454
-2.642417,100,24.907373
-1.869398,100,24.967488
-3.706883,100,25.027215
-1.456566,100,25.086948
-5.146194,100,25.146681
-3.241675,100,25.207017
-3.239174,100,25.266425
-4.368424,100,25.325052
-0.199931,100,28.689782
-1.839969,100,28.747797
-0.265444,100,28.805468
-1.732538,100,28.863218
-1.622764,100,28.921745
-0.941001,100,28.979631
-0.988778,100,29.03756
-0.73557,100,29.095245
-1.568952,100,29.152951
-0.17187,100,29.210784
-1.247811,100,32.585394
-0.412077,100,32.643016
-1.945617,100,32.700327
-1.583019,100,32.758273
-0.517758,100,32.81565
-1.830616,100,32.872924
-2.48262,100,32.930365
-1.600432,100,32.988575
-0.953024,100,33.045908
-0.764856,100,33.103365
-0.531362,100,36.520549
-2.06336,100,36.581203
-0.961048,100,36.641207
-2.76196,100,36.701148
-0.285616,100,36.763027
-0.399298,100,36.823399
-1.054814,100,36.883511
-0.676037,100,36.943435
-0.453421,100,37.003384
-0.273084,100,37.063446
-1.808543,100,40.483235
-0.420561,100,40.540675
-1.248915,100,40.597555
-0.857954,100,40.655022
-2.053437,100,40.711842
-0.58249,100,40.768733
-1.47351,100,40.825619
-1.611233,100,40.882736
-1.533474,100,40.939825
-2.225176,100,40.996757
-5.747021,100,44.448439
-2.521993,100,44.508335
-6.303808,100,44.566562
-4.484183,100,44.624714
-3.015329,100,44.683023
-2.484003,100,44.741902
-7.401123,100,44.800176
-1.581368,100,44.858602
-5.733907,100,44.916796
-5.14491,100,44.975094
-1.164139,100,48.618827
-3.589485,100,48.676638
-1.614545,100,48.73354
-1.373911,100,48.790954
-1.718966,100,48.847932
-0.726973,100,48.904889
-2.26995,100,48.96196
-1.889468,100,49.019132
-0.818878,100,49.076368
-3.343238,100,49.133166
-0.54253,100,52.530428
-1.664212,100,52.596076
-0.882199,100,52.660434
-0.232816,100,52.724556
-0.164529,100,52.788749
-0.632875,100,52.854298
-1.056452,100,52.918907
-3.090152,100,52.983237
-1.697043,100,53.047446
-2.97048,100,53.11178
-0.576944,100,56.517714
-2.61436,100,56.575441
-0.821902,100,56.633754
-2.155911,100,56.691587
-2.339194,100,56.749252
-3.37884,100,56.806852
-1.776288,100,56.8645
-1.686865,100,56.922315
-1.202852,100,56.980187
-1.165096,100,57.038303
-0.865566,100,60.465856
-2.106026,100,60.526968
-2.579156,100,60.587293
-1.583333,100,60.647487
-2.123847,100,60.707813
-2.776483,100,60.768781
-3.079885,100,60.828958
-1.589876,100,60.889514
-0.946637,100,60.949671
-3.842677,100,61.009932
-2.04513,100,64.470926
-2.120287,100,64.530136
-0.278272,100,64.588855
-0.676781,100,64.647691
-1.703666,100,64.705531
-1.360382,100,64.763432
-0.871092,100,64.82171
-1.021695,100,64.879772
-2.66538,100,64.937579
-1.42565,100,64.995354
-2.655248,100,68.423176
-1.239956,100,68.481666
-0.675443,100,68.539488
-2.085747,100,68.597223
-0.460496,100,68.654886
-2.274306,100,68.71305
-1.72497,100,68.771093
-2.165853,100,68.828831
-1.42818,100,68.886584
-0.924878,100,68.944498
-0.479902,100,72.352512
-0.430362,100,72.411545
-2.966868,100,72.469372
-1.323897,100,72.528256
-2.051763,100,72.585949
-2.452337,100,72.643812
-4.104073,100,72.701514
-3.075238,100,72.759483
-1.309595,100,72.817219
-2.523871,100,72.875139
-2.080395,100,76.283566
-1.319935,100,76.34112
-1.598847,100,76.398305
-2.322428,100,76.455272
-1.583593,100,76.51226
-2.770847,100,76.569408
-0.770577,100,76.626859
-3.665949,100,76.683794
-2.630657,100,76.741246
-0.14219,100,76.798479
-2.230063,100,80.203243
-1.524123,100,80.262109
-3.505596,100,80.320856
-1.985474,100,80.38025
-2.788693,100,80.438966
-2.013798,100,80.497682
-0.694094,100,80.556682
-1.016786,100,80.615591
-1.415418,100,80.674248
-1.305007,100,80.732799
-3.458145,100,84.240846
-4.493593,100,84.308754
-6.890222,100,84.375343
-0.98532,100,84.442364
-1.064087,100,84.509011
-1.752467,100,84.576318
-1.990189,100,84.643279
-0.614144,100,84.710618
-8.265201,100,84.777537
-5.207066,100,84.84453
-1.096909,100,88.625677
-4.297672,100,88.684411
-0.413487,100,88.742691
-2.628967,100,88.801563
-3.489963,100,88.859901
-4.64863,100,88.917793
-0.246991,100,88.975887
-2.475218,100,89.033958
-2.234679,100,89.091882
-1.43404,100,89.149769
-1.085495,100,92.590388
-3.507625,100,92.652623
-6.405121,100,92.714295
-4.993833,100,92.776144
-2.039162,100,92.837758
-6.644324,100,92.899641
-1.515022,100,92.961355
-4.326138,100,93.02393
-6.484719,100,93.08237
-0.897256,100,93.142932
-2.294136,100,96.619996
-7.109,100,96.67959
-1.896432,100,96.738269
-4.352563,100,96.798303
-1.15237,100,96.857637
-1.727376,100,96.91612
-4.217829,100,96.974639
-4.0336,100,97.033404
-0.799869,100,97.091699
-0.879549,100,97.15005
-1.157876,100,100.613616
-1.149257,100,100.673979
-2.323131,100,100.731912
-1.896873,100,100.790205
-1.383299,100,100.848124
-2.62741,100,100.906267
-1.042977,100,100.964072
-1.583194,100,101.021902
-1.927993,100,101.080508
-2.438623,100,101.13863
-1.357921,100,104.610973
-3.649683,100,104.668075
-0.85518,100,104.725171
-0.774392,100,104.782519
-2.357024,100,104.841954
-2.066448,100,104.899115
-0.394731,100,104.955927
-2.506553,100,105.012979
-2.492943,100,105.069623
-1.835012,100,105.12625
-0.515569,100,108.577056
-0.466375,100,108.635482
-1.393065,100,108.693107
-1.984319,100,108.750724
-2.174722,100,108.808469
-1.922984,100,108.86718
-2.009282,100,108.924924
-0.857683,100,108.982783
-2.238277,100,109.040915
-1.476989,100,109.098972
-1.696632,100,112.586293
-0.641082,100,112.65241
-2.398738,100,112.718168
-0.550073,100,112.784492
-1.142408,100,112.850222
-3.734521,100,112.916332
-3.958793,100,112.981362
-0.859679,100,113.047294
-2.944107,100,113.112304
-1.783438,100,113.177569
-1.887352,100,116.665526
-2.815389,100,116.725585
-1.094678,100,116.783739
-1.219117,100,116.841531
-2.352664,100,116.899446
-0.384693,100,116.957425
-2.211128,100,117.015163
-2.029793,100,117.072896
-1.127007,100,117.130651
-1.889675,100,117.189303
-1.007569,100,120.633146
-1.049035,100,120.693221
-2.0398,100,120.75296
-0.882609,100,120.812967
-1.193652,100,120.872572
-0.429747,100,120.932683
-2.895308,100,120.992228
-2.548115,100,121.051975
-1.356718,100,121.111614
-2.600199,100,121.171171
-2.30026,100,124.58745
-1.264622,100,124.645573
-2.222724,100,124.703975
-1.527212,100,124.761437
-1.047408,100,124.818905
-2.855937,100,124.876771
-1.555933,100,124.934348
-1.034831,100,124.991814
-2.487094,100,125.049325
-1.966476,100,125.107254
-1.79021,100,128.848508
-1.660296,100,128.90585
-1.91545,100,128.962775
-1.597633,100,129.020059
-1.71964,100,129.076962
-1.239925,100,129.133854
-0.670044,100,129.191366
-2.551364,100,129.248471
-2.709318,100,129.305391
-1.651968,100,129.36223
-2.213656,100,132.845653
-3.543243,100,132.906548
-3.661167,100,132.966947
-3.294143,100,133.027511
-1.630887,100,133.087913
-2.417332,100,133.14853
-3.660848,100,133.20897
-1.376671,100,133.269361
-1.525119,100,133.329813
-2.135173,100,133.390937
-0.724992,100,136.818573
-2.239168,100,136.876685
-3.280734,100,136.934294
-2.465511,100,136.992175
-2.657799,100,137.05014
-0.505256,100,137.108656
-0.862119,100,137.167783
-2.308446,100,137.225575
-2.602665,100,137.283242
-1.264438,100,137.340818
-1.75915,100,140.710624
-1.087831,100,140.768429
-0.755031,100,140.825406
-1.292369,100,140.882628
-3.191407,100,140.939498
-0.243451,100,140.997062
-0.775649,100,141.055243
-0.583785,100,141.112771
-1.605335,100,141.169733
-0.820393,100,141.226853
-1.001883,100,144.721178
-1.77685,100,144.778413
-0.365039,100,144.835614
-1.65641,100,144.892929
-1.111634,100,144.949951
-2.19149,100,145.00693
-1.827486,100,145.063939
-0.727217,100,145.121977
-0.163531,100,145.179022
-3.717324,100,145.236039
-2.972908,100,148.634182
-1.129081,100,148.696948
-1.933802,100,148.759835
-1.982344,100,148.822767
-0.880179,100,148.884939
-2.774791,100,148.946897
-2.181004,100,149.008826
-1.149641,100,149.070601
-0.751548,100,149.132332
-1.813426,100,149.194313
-1.202762,100,152.611095
-1.445083,100,152.668348
-1.131219,100,152.725654
-0.366895,100,152.783013
-1.653335,100,152.83988
-0.83304,100,152.896595
-0.718898,100,152.953492
-1.392049,100,153.0109
-3.113666,100,153.067878
-0.713156,100,153.124935
-1.257407,100,156.556492
-0.397621,100,156.617471
-1.964605,100,156.677787
-2.790488,100,156.738165
-0.85063,100,156.798818
-1.210963,100,156.859222
-2.819278,100,156.919611
-1.162051,100,156.979915
-0.753048,100,157.040271
-0.92658,100,157.100576
-1.307947,100,160.491371
-1.998168,100,160.549393
-1.731978,100,160.60673
-2.138723,100,160.664538
-2.177872,100,160.721821
-2.967243,100,160.779259
-2.335439,100,160.836562
-0.781773,100,160.893956
-2.560342,100,160.95197
-1.36304,100,161.0092
-0.915371,100,164.396979
-1.198557,100,164.457732
-0.874997,100,164.518086
-0.548905,100,164.578393
-1.120033,100,164.63882
-2.30564,100,164.702133
-0.752589,100,164.766551
-0.703627,100,164.830816
-0.952614,100,164.895197
-1.21377,100,164.959631
-2.222122,100,168.629809
-0.849807,100,168.688193
-3.591977,100,168.745937
-0.84653,100,168.804186
-1.917604,100,168.861833
-1.851923,100,168.919546
-1.523427,100,168.977207
-0.989995,100,169.035058
-0.23907,100,169.093094
-3.11136,100,169.150668
-0.664955,100,172.544539
-0.273858,100,172.602365
-1.69926,100,172.659768
-2.072345,100,172.717145
-0.234759,100,172.77458
-2.276093,100,172.832345
-1.288553,100,172.889722
-1.907307,100,172.947109
-1.885126,100,173.004408
-1.768334,100,173.061931
-0.762502,100,176.453311
-2.101932,100,176.510592
-1.770971,100,176.568177
-0.75629,100,176.625767
-0.683853,100,176.683084
-2.917042,100,176.740152
-2.358498,100,176.797204
-1.02047,100,176.854503
-1.679473,100,176.911859
-0.765108,100,176.969138
-1.702337,100,180.362027
-3.142643,100,180.419515
-1.3187,100,180.476165
-2.825718,100,180.53282
-0.799841,100,180.589458
-1.615909,100,180.64701
-1.526724,100,180.703761
-2.795613,100,180.760669
-2.235227,100,180.817422
-2.028847,100,180.874262
-3.457981,100,184.266164
-2.50527,100,184.323735
-2.373476,100,184.381392
-2.201517,100,184.439111
-0.939338,100,184.4967
-1.3285,100,184.554061
-1.594683,100,184.611424
-1.592157,100,184.669048
-1.391254,100,184.726393
-0.685662,100,184.783939
-3.742594,100,188.1378
-1.760726,100,188.195017
-1.678406,100,188.251723
-1.459033,100,188.308293
-1.876487,100,188.364905
-1.492254,100,188.421702
-1.6014,100,188.478532
-0.841332,100,188.535151
-1.405788,100,188.591836
-2.267428,100,188.648656
-1.378053,100,192.028971
