#{"t_start": 1589940301.5113125, "env_id": "widowx_reach-v3"}
r,l,t
-1.126631,100,3.39116
-1.351358,100,3.594257
-2.30746,100,3.795896
-1.980301,100,4.001112
-1.748738,100,4.205226
-2.054002,100,4.408039
-2.461104,100,4.616396
-2.327494,100,4.826501
-2.179745,100,5.033281
-1.143409,100,5.235498
-1.785535,100,5.439284
-1.618091,100,5.640332
-1.717811,100,6.450356
-1.426566,100,6.653637
-1.243249,100,6.85679
-1.634527,100,7.057308
-1.117548,100,7.255461
-1.484521,100,7.46153
-2.427631,100,7.667514
-2.228454,100,7.871611
-1.304616,100,8.076674
-1.369064,100,8.278199
-1.574015,100,8.483829
-1.759409,100,8.682402
-1.574725,100,8.879453
-1.236707,100,9.504345
-1.856356,100,9.710334
-1.899947,100,9.914773
-1.438343,100,10.116314
-0.875947,100,10.322051
-2.144653,100,10.526772
-1.730025,100,10.728608
-1.070988,100,10.935593
-1.863088,100,11.135942
-2.71083,100,11.338331
-1.675206,100,11.544785
-1.257178,100,11.752234
-1.003826,100,12.369677
-1.150796,100,12.579111
-2.620048,100,12.790456
-1.884013,100,12.999111
-2.675964,100,13.199701
-2.040983,100,13.400711
-1.785109,100,13.600708
-1.250392,100,13.803549
-1.1465,100,14.009495
-1.635589,100,14.213371
-1.860448,100,14.415379
-1.466505,100,14.617129
-2.387104,100,14.817255
-1.435503,100,15.436559
-1.599611,100,15.638743
-2.091314,100,15.841029
-1.602775,100,16.039249
-1.514087,100,16.244328
-1.266401,100,16.447345
-2.299177,100,16.654192
-2.135534,100,16.858867
-1.557362,100,17.060721
-1.295005,100,17.271097
-1.479434,100,17.484521
-1.923038,100,17.700185
-1.933864,100,18.323339
-1.297933,100,18.533376
-1.891604,100,18.741472
-1.462691,100,18.955522
-1.463613,100,19.165579
-1.347289,100,19.382627
-1.876437,100,19.593524
-1.299643,100,19.805278
-1.941737,100,20.020645
-1.364247,100,20.23407
-1.188335,100,20.445421
-2.107405,100,20.65961
-1.361479,100,20.880396
-1.569825,100,21.664153
-2.211347,100,21.895413
-2.109758,100,22.11896
-1.819587,100,22.324938
-1.794627,100,22.528967
-1.529057,100,22.729948
-2.082238,100,22.935033
-1.718032,100,23.143424
-0.841023,100,23.346552
-1.627551,100,23.54986
-2.009318,100,23.754487
-2.058515,100,23.960933
-2.427403,100,24.591254
-1.818479,100,24.801764
-1.586447,100,25.000792
-2.175643,100,25.20068
-1.121848,100,25.409894
-1.944763,100,25.615926
-2.102725,100,25.820686
-1.232941,100,26.026469
-1.569414,100,26.21997
-1.62315,100,26.423686
-1.811598,100,26.629464
-1.598526,100,26.833196
-1.770151,100,27.041145
-1.504418,100,27.662432
-1.776549,100,27.865587
-2.179893,100,28.069454
-1.659583,100,28.274819
-2.077362,100,28.479381
-1.640752,100,28.687573
-1.880106,100,28.88799
-1.789849,100,29.088426
-1.602645,100,29.294305
-1.909047,100,29.49668
-1.006703,100,29.701772
-2.524934,100,29.902807
-1.519657,100,30.57598
-1.611742,100,30.78229
-1.947305,100,30.98871
-1.911479,100,31.195663
-2.718436,100,31.401794
-1.509567,100,31.61031
-1.795117,100,31.814726
-1.994492,100,32.019015
-1.114118,100,32.22321
-1.552953,100,32.42771
-1.393246,100,32.631377
-1.583228,100,32.837467
-2.125703,100,33.043947
-1.689992,100,33.666968
-1.470195,100,33.869946
