#{"t_start": 1589928292.7190824, "env_id": "widowx_reach-v3"}
r,l,t
-1.530535,100,4.736003
-0.566403,100,4.963561
-1.094789,100,5.208986
-1.180129,100,5.454779
-1.332131,100,5.709862
-0.730986,100,5.951454
-2.151946,100,6.193395
-1.035843,100,6.435355
-0.263473,100,6.686291
-0.849726,100,6.927891
-1.474908,100,7.168845
-0.594179,100,7.40956
-0.583915,100,8.1705
-0.883193,100,8.410728
-0.769771,100,8.651178
-0.886695,100,8.89355
-1.095099,100,9.146015
-0.569106,100,9.390523
-0.568118,100,9.635312
-0.56459,100,9.875523
-0.505162,100,10.12386
-0.915981,100,10.363096
-0.645736,100,10.60315
-0.999103,100,10.843626
-0.768758,100,11.091991
-0.393945,100,11.744888
-0.764662,100,11.984606
-0.60163,100,12.224331
-0.722939,100,12.472437
-0.685089,100,12.712042
-0.691495,100,12.954636
-0.638673,100,13.197649
-0.935494,100,13.450373
-0.757065,100,13.693311
-0.714481,100,13.93302
-0.623438,100,14.173135
-0.687882,100,14.421839
-0.648143,100,15.097942
-2.989532,100,15.351559
-0.66844,100,15.611443
-2.267309,100,15.877701
-0.653707,100,16.142812
-0.743034,100,16.408675
-0.648423,100,16.682257
-0.692825,100,16.965299
-2.055187,100,17.241374
-0.714333,100,17.518899
-0.523172,100,17.76226
-0.687566,100,18.011187
-0.429558,100,18.250788
-0.693312,100,18.894798
-0.665679,100,19.138376
-0.747746,100,19.386842
-0.69091,100,19.6271
-0.444065,100,19.866683
-0.708723,100,20.106306
-0.687696,100,20.357573
-0.679798,100,20.596804
-0.503667,100,20.837785
-0.65272,100,21.081134
-0.565838,100,21.332802
-0.665233,100,21.576371
-0.639808,100,22.221423
-0.479018,100,22.46099
-0.576281,100,22.712517
-0.605471,100,22.951303
-0.598207,100,23.190173
-0.660667,100,23.429271
-0.646618,100,23.679354
-0.677386,100,23.917313
-0.569905,100,24.156756
-0.583595,100,24.396338
-0.60097,100,24.644287
-0.685325,100,24.885959
-0.61032,100,25.129459
-0.616622,100,25.779013
-0.629972,100,26.027436
-0.640792,100,26.266761
-0.680558,100,26.506481
-0.623777,100,26.746289
-0.483228,100,26.994916
-0.566614,100,27.233528
-0.427731,100,27.473471
-0.559264,100,27.713506
-0.475875,100,27.961852
-0.490074,100,28.201541
-0.497048,100,28.441533
