#{"t_start": 1589943484.061908, "env_id": "widowx_reach-v3"}
r,l,t
-1.036672,100,2.276406
-0.917875,100,2.469414
-3.931276,100,3.427419
-1.46294,100,3.608734
-1.622439,100,3.793249
-3.802691,100,4.476749
-1.568151,100,4.657055
-2.252289,100,5.332399
-3.3647,100,5.512279
-3.088128,100,5.698928
-1.122003,100,6.390208
-2.849723,100,6.574175
-2.869555,100,7.762851
-2.887845,100,7.944455
-1.270156,100,8.126192
-1.123285,100,8.810078
-1.134892,100,8.99374
-3.482723,100,9.684223
-2.51699,100,9.887569
-1.893289,100,10.09221
-3.121092,100,10.783447
-4.426219,100,10.964584
-2.051635,100,11.146785
-1.36404,100,11.813814
-1.852197,100,11.995453
-1.036722,100,13.104363
-1.532082,100,13.286293
-0.931993,100,13.467688
-2.576331,100,14.172673
-0.933489,100,14.364759
-0.554968,100,15.038105
-0.783619,100,15.225767
-1.378982,100,15.412775
-1.102373,100,16.091389
-1.615277,100,16.272048
-1.159742,100,16.962616
-1.395894,100,17.144688
-1.520041,100,17.750764
-2.615073,100,18.450006
-1.919187,100,18.630238
-1.723728,100,19.313042
-1.394667,100,19.493215
-3.133773,100,19.674386
-1.690898,100,20.342836
-1.464074,100,20.528811
-2.675193,100,20.715419
-1.483671,100,21.394758
-2.384444,100,21.580197
-2.572623,100,22.28505
-3.594237,100,22.472033
-2.902855,100,23.087156
-1.629063,100,23.766063
-1.274439,100,23.947252
-2.170784,100,24.626688
-1.794586,100,24.807288
-3.277723,100,24.98759
-3.497,100,25.675618
-3.009923,100,25.861105
-2.444427,100,26.548713
-2.958123,100,26.735653
-2.40154,100,26.92605
-2.620143,100,27.616104
-4.440373,100,28.240232
-3.622028,100,28.429298
-1.425535,100,29.121817
-3.087525,100,29.302403
-3.203067,100,29.998481
-4.459699,100,30.190798
-3.818533,100,30.376977
-4.27914,100,31.076759
-4.002909,100,31.26174
-3.532446,100,31.955251
-3.399243,100,32.143567
-3.911866,100,32.331303
-3.585895,100,33.019374
-2.409475,100,33.648852
-4.028014,100,34.372636
-3.166771,100,34.57241
-2.652218,100,34.772398
-3.093522,100,35.476846
-3.143973,100,35.660449
-4.65125,100,36.359034
-0.949326,100,36.542195
-1.230169,100,36.727869
-4.339305,100,37.426136
-1.437574,100,37.609876
-2.444044,100,37.794479
-2.775611,100,38.909643
-1.655948,100,39.093517
-3.415136,100,39.785114
-1.080004,100,39.98864
-1.637677,100,40.193605
-2.476086,100,40.89439
-1.697213,100,41.081512
-1.123594,100,41.783373
-2.26871,100,41.970229
-1.236949,100,42.159061
-3.255148,100,42.840014
-2.504287,100,43.021718
-3.768347,100,43.714869
-2.870489,100,44.317642
-3.601591,100,44.506044
-2.705301,100,45.202579
-2.848952,100,45.401077
-2.596102,100,46.116851
-3.209861,100,46.301288
-2.945236,100,46.487221
-2.428705,100,47.171471
-2.958176,100,47.351077
-3.706501,100,47.532037
-2.76806,100,48.228249
-2.562863,100,48.422599
