#{"t_start": 1589947631.7112966, "env_id": "widowx_reach-v3"}
r,l,t
-1.587312,100,4.008281
-1.526571,100,4.036803
-1.552546,100,4.065357
-1.769049,100,4.094191
-1.352159,100,4.1227
-1.420932,100,4.151315
-1.45312,100,4.179729
-1.212433,100,4.208687
-1.470858,100,4.237347
-1.413428,100,4.266026
-1.392916,100,4.294755
-1.212509,100,4.323506
-1.301242,100,4.351933
-1.881711,100,4.380314
-1.408708,100,4.410632
-1.583661,100,4.439425
-1.24642,100,4.468702
-1.475025,100,4.497332
-1.452446,100,4.52633
-1.513299,100,4.555027
-1.358929,100,4.583603
-1.518296,100,4.612113
-1.340269,100,4.640601
-1.493979,100,4.669554
-1.590862,100,4.698187
-1.705831,100,4.727095
-1.58212,100,4.755787
-1.123394,100,4.784417
-1.606893,100,4.812917
-1.473031,100,4.841517
-1.213579,100,4.870052
-1.864427,100,4.898972
-1.581189,100,4.92778
-1.711175,100,4.956594
-1.655064,100,4.985358
-1.670219,100,5.014093
-1.269633,100,5.042783
-1.416255,100,5.071402
-1.316047,100,5.099955
-1.304517,100,5.129064
-1.571133,100,5.157918
-1.78958,100,5.18672
-1.214796,100,5.215501
-1.586781,100,5.244308
-1.532923,100,5.272868
-1.440499,100,5.301659
-1.858079,100,5.330192
-1.395633,100,5.359294
-1.998143,100,5.389698
-1.659034,100,5.41856
-1.52938,100,5.447447
-1.329886,100,5.476299
-1.433731,100,5.505106
-1.687299,100,5.533967
-1.290438,100,5.562589
-1.617785,100,5.591613
-1.524773,100,5.620472
-1.212797,100,5.64942
-1.374078,100,5.678423
-1.344644,100,5.707645
-1.812567,100,5.736493
-1.731483,100,5.76518
-1.271721,100,5.793833
-1.484914,100,5.822978
-1.954915,100,5.852037
-1.478311,100,5.881221
-1.347278,100,5.910613
-1.217301,100,5.939599
-1.83108,100,5.968408
-1.668047,100,5.997256
-1.697386,100,6.026039
-1.836955,100,6.055304
-1.52286,100,6.084396
-1.356022,100,6.113615
-1.515989,100,6.142609
-1.743215,100,6.171677
-1.405549,100,6.200483
-1.617593,100,6.229277
-1.512048,100,6.258216
-1.728583,100,6.287548
-1.556342,100,6.316934
-1.182485,100,6.34614
-1.846114,100,6.375227
-1.242621,100,6.405824
-1.607352,100,6.434768
-1.308065,100,6.463962
