#{"t_start": 1592675846.9450717, "env_id": "widowx_reacher-v5"}
r,l,t
-1.684711,100,41.992028
-1.985867,100,48.450489
-1.857835,100,54.944277
-2.215449,100,62.249408
-1.823838,100,69.421632
-4.116132,100,75.670518
-1.7853,100,90.377433
-1.766395,100,96.018604
-3.34959,100,101.108223
-3.940509,100,107.060374
-2.130346,100,113.51157
-2.108432,100,118.966598
-2.159497,100,132.682794
-2.886726,100,138.280293
-2.463501,100,144.084012
-1.622982,100,150.216195
-3.060581,100,156.672334
-1.955304,100,162.576636
-2.174402,100,179.031661
-2.372931,100,184.80152-2.-2.330843,100,213.855852
-2.167194,100,220.807032
-2.173323,100,227.156139
-2.115571,100,233.925237
-1.581843,100,240.083822
-1.707269,100,257.406171
-1.968133,100,263.132386
-2.577551,100,268.943786
-2.058222,100,274.701464
-1.881018,100,280.411651
-3.131972,100,285.33-1.660-1.896461,100,299.332518
-1.818462,100,304.854617
-1.68387,100,310.098511
-2.210371,100,316.062683
-2.201453,100,321.376191
-3.040393,100,326.775-2.62-2.907389,100,341.914297
-3.313238,100,348.351182
-1.920968,100,354.927-2.55-3.402231,100,383.173789
-1.962568,100,390.004646
-2.596093,100,396.32-1.655-2.886361,100,413.909964
-1.232443,100,420.750933
-1.291707,100,426.987812
-2.464717,100,433.29983
-3.545529,100,438.959729
-1.848044,100,444.511294
-2.259344,100,450.085-2.55-2.021111,100,463.740686
-2.582208,100,469.619403
-4.163847,100,475.716739
-2.459365,100,481.168743
-2.116555,100,486.725689
-2.668236,100,492-3.230454-1.942716,100,506.619909
-1.454707,100,512.463292
-2.149858,100,519.351179
-2.322483,100,525.479532
-2.593241,100,531-2.663616-2.108238,100,560-2.587885-2.066152,100,578.275967
-1.640089,100,584.423182
-1.864004,100,591.296023
-2.36718,100,598.224467
-2.203413,100,604.195539
-1.653542,100,609-2.246295-2.479782,100,624.584976
-1.680333,100,630.125926
-2.868675,100,634.743917
-1.235274,100,639.034821
-2.92416,100,642.916828
-2.385971,100,646.229244
-2.436219,100,649.113757
-2.033747,100,655.443492
-2.467363,100,656.644826
-2.289991,100,657.719387
-2.313749,100,658.346086
-1.676501,100,658.998787
-2.343065,100,659-2.364292-1.8757,100,661.974138
-2.138932,100,662.627864
-2.077042,100,663.314228
-1.746076,100,663.972002
-2.144219,100,664.643577
-3.131751,100,665.-2.47480-1.850386,100,667.303854
-2.391181,100,667.976165
-2.28907,100,668.6-2.2037-2.733016,100,669.3-1.8915-2.183215,100,670.0-3.2081-2.408519,100,670.6-2.2663-2.98571,100,672.6-2.667-2.438198,100,673.33-2.858-1.912746,100,673.99-2.65-1.736007,100,674.716-2.48-1.381216,100,675.327-2.83-1.482244,100,676.046-2.68-2.719909,100,676.752-1.-2.548994,100,678.83150-2.-1.670604,100,679.43562-2.-2.130188,100,680.35401-2.-3.349517,100,680.9915-2.3-2.770619,100,681.631-3.11-3.856789,100,682.26-3.287-2.466716,100,684.4-2.9294-2.442011,100,685.0-1.9913-2.188164,100,685.7-2.0996-2.740757,100,686.4-2.9615-3.14241,100,687.04-2.434-2.200009,100,687.72-2.182-1.66732,100,689.879-1.87-2.647991,100,690.72755
-4.04245,100,691.610904
-1.743666,100,692.344017
-1.728008,100,693.247258
-3.721495,100,693.71-1.708-2.34692,100,694.726252
-1.313251,100,695.023282
-2.233984,100,695.328477
-2.23627,100,695.720666
3328
657977
158.4584-2.2-2.324116,100,1162.146943
-2.006358,100,1164.470058
