number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.38985326886177063,2020-06-20 19:15:21.305723,2020-06-20 19:38:51.781657,0 days 00:23:30.475934000,5.000279481233831e-05,0.95,0.001979033875570898,constant,512,0.5268168849908796,COMPLETE
1,0.31300243735313416,2020-06-20 19:15:21.307641,2020-06-20 19:39:04.401771,0 days 00:23:43.094130000,5.311439634015972e-06,0.9999,0.010945434116606005,linear,128,0.30220424718697425,COMPLETE
2,0.12749691307544708,2020-06-20 19:15:21.309269,2020-06-20 19:39:21.343209,0 days 00:24:00.033940000,4.675966676588504e-06,0.9999,2.6481434034790655e-05,linear,32,0.08033789685230008,COMPLETE
3,0.3760848343372345,2020-06-20 19:15:21.310882,2020-06-20 19:38:51.465540,0 days 00:23:30.154658000,0.0018278884300652902,0.9999,0.0005150929187684341,constant,2048,0.3064213714118531,COMPLETE
4,3.59576416015625,2020-06-20 19:15:21.312481,2020-06-20 19:39:23.633784,0 days 00:24:02.321303000,0.09226103031845183,0.99,0.0033270133091031096,constant,32,0.05145088057121916,COMPLETE
5,0.36730676889419556,2020-06-20 19:15:21.314016,2020-06-20 19:38:34.326102,0 days 00:23:13.012086000,0.05179198249666792,0.995,0.0239597493777495,linear,2048,0.5667942467348736,COMPLETE
6,0.16185465455055237,2020-06-20 19:15:21.315603,2020-06-20 19:39:19.042712,0 days 00:23:57.727109000,0.00035458774550859855,0.995,8.214710005610581e-05,constant,64,0.8265072521517658,COMPLETE
7,2.7937874794006348,2020-06-20 19:15:21.317306,2020-06-20 19:39:21.441478,0 days 00:24:00.124172000,0.00011138619583437775,0.995,0.0011241129864593086,constant,32,0.5320017450544937,COMPLETE
8,0.400786817073822,2020-06-20 19:15:21.318855,2020-06-20 19:38:40.560293,0 days 00:23:19.241438000,0.004203854610400656,0.999,0.02520559249772795,linear,512,0.3250038985859526,COMPLETE
9,2.535429000854492,2020-06-20 19:15:21.320466,2020-06-20 19:39:31.185328,0 days 00:24:09.864862000,1.090602066766713e-06,0.9999,0.003117543872751767,constant,64,0.7882345325204403,COMPLETE
10,0.9288141131401062,2020-06-20 19:15:21.322128,2020-06-20 19:38:51.943103,0 days 00:23:30.620975000,0.013455624262508105,0.995,1.565395335751328e-05,linear,256,0.8920212342770198,COMPLETE
11,0.32780012488365173,2020-06-20 19:15:21.323659,2020-06-20 19:38:34.379229,0 days 00:23:13.055570000,1.9085252435234425e-07,0.9999,0.01020830940575335,linear,1024,0.5313996902396644,COMPLETE
12,0.34934020042419434,2020-06-20 19:15:21.325229,2020-06-20 19:39:29.942825,0 days 00:24:08.617596000,0.012840595110757488,0.99,0.0002324725878677718,constant,32,0.4931273659106953,COMPLETE
13,1.3320306539535522,2020-06-20 19:15:21.326889,2020-06-20 19:38:49.543591,0 days 00:23:28.216702000,0.00022478167991387473,0.995,0.0007893729096768674,linear,256,0.2875879701360914,COMPLETE
14,0.4200301170349121,2020-06-20 19:15:21.328610,2020-06-20 19:39:26.744791,0 days 00:24:05.416181000,1.6818166139761644e-05,0.9999,6.645895191926278e-05,constant,32,0.5090098722136226,COMPLETE
15,0.378788560628891,2020-06-20 19:15:21.330238,2020-06-20 19:38:58.214013,0 days 00:23:36.883775000,1.1917428907175102e-07,0.999,1.5220518343683138e-05,linear,256,0.8536274223342646,COMPLETE
16,0.6236645579338074,2020-06-20 19:15:21.331970,2020-06-20 19:39:07.743027,0 days 00:23:46.411057000,0.00038510224601375,0.9999,2.1105043563973875e-05,constant,64,0.40214386667283986,COMPLETE
17,0.8307713270187378,2020-06-20 19:15:21.333588,2020-06-20 19:38:56.786106,0 days 00:23:35.452518000,7.470797075805172e-05,0.99,0.017403144772534632,linear,1024,0.9583256013898704,COMPLETE
18,0.4102321267127991,2020-06-20 19:15:21.335198,2020-06-20 19:38:46.883682,0 days 00:23:25.548484000,0.001595668223259031,0.995,0.49471759321762243,constant,2048,0.21972622767049643,COMPLETE
19,0.34445589780807495,2020-06-20 19:15:21.337034,2020-06-20 19:39:13.684287,0 days 00:23:52.347253000,5.996370746095742e-08,0.9,0.0009389391425609094,linear,256,0.3347173062665263,COMPLETE
20,0.803831934928894,2020-06-20 19:15:21.338708,2020-06-20 19:38:51.470631,0 days 00:23:30.131923000,2.176830953883924e-08,0.9999,4.419050883012191e-05,linear,256,0.7231062385428324,COMPLETE
