#{"t_start": 1592679875.670918, "env_id": "widowx_reacher-v5"}
r,l,t
-1.997872,100,140.033909
-2.943582,100,150.254778
-1.787999,100,158.145312
-1.648811,100,165.511814
-0.372024,100,170.041213
-2.783368,100,181.088704
--1.50992,100,201.416672
-0.949352,100,208.280872
-1.165576,100,215.792711
-1.243388,100,224.010536
-1.826422,100,232.039382
-0.553025,100,240.143562-2-1.879214,100,260.454624
-1.252468,100,267.349244
-3.491521,100,273.462616
-1.686083,100,279.758433
-1.14778,100,286.107043
-3.368264,100,294.909-1.91-2.515287,100,314.774999
-0.739238,100,319.704-1.11-0.841679,100,346.341507
-0.803161,100,351.722749
-0.712764,100,356.979004
-2.344922,100,363.225375
-2.558788,100,369.386-0.67-0.661438,100,384.036505
-1.388427,100,390.674488
-1.784988,100,397.329116
-1.04324,100,403.599514
-1.146019,100,409.622298
-1.745995,100,416.115923-1-1.156268,100,429.831498
-3.387434,100,434.962564
-1.074034,100,440.597047
-2.117587,100,445.615398
-0.952258,100,450.767029
-1.49566,100,455.469-1-1-2.000846,100,473.024675
-1.194926,100,480.673248
-2.142715,100,485.69-3--2-1.037947,100,503.927653
-1.085288,100,506.82003
-4.140432,100,508.855299-2-0.46631,100,514.712763
--1.332157,100,516.508422-0-2.759023,100,518.36401-2.-1.616592,100,520.18181-1.-2.924325,100,521.96161-3.-1.41515,100,523.72357
--0.862467,100,525.520046-2-2.743822,100,530.569127-1-1.045901,100,532.654076-0-2.099805,100,534.420175-2-0.937626,100,535.87485-0.-1.338477,100,537.1825-2.5-0.890724,100,538.6067-2.6-0.750102,100,543.3119-1.5-1.06115,100,544.970638
-0.889777,100,546.967096
-0.484657,100,548.964065
-0.973425,100,550.8412-1.-2.734167,100,555.7841-1.-1.341509,100,562.15514-2.-1.384535,100,564.05331-0.-1.124197,100,565.76432-0.-1.145799,100,567.4874-3.6-2.505349,100,569.3060-3.2-1.189553,100,571.1109-0.6-2.759691,100,575.8638-1.4-1.648108,100,577.784-1.56-4.277136,100,579.56-1.775-1.462878,100,581.5-1.2030-1.705067,100,583.3-1.9562-2.277781,100,584.7-1.3346-1.376466,100,586.1-1.922-0.86794,100,590.234-0.92-1.469057,100,591.44-0.545-1.848669,100,592.91-1.025-2.624174,100,594.51-0.892-1.264083,100,596.64-2.048-0.956126,100,598.5-0.964-2.712012,100,606.47-1.082198,100,605.405692
-1.467491,100,607.23945
-2.290707,100,609.033142
-1.019615,100,610.857097
-3.436065,100,612.648588
-0.861438,100,617.989052
-1.625647,100,619.850842
-0.925963,100,621.628472
-1.26309,100,623.442321
-1.-0.531185,100,628.18085-2.-2.351424,100,629.89730-1.-3.926168,100,634.38627-1.-1.40046,100,636.033587-0-1.409487,100,637.788077-0-0.915664,100,639.23057-1.-0.52512,100,641.058276-0-1.962443,100,642.825644-2-1.983075,100,644.727508-1-1.274251,100,649.856468-4-1.171888,100,651.628768-2-1.413198,100,656.710775-1-2.582601,100,658.794981-1-0.879255,100,660.656657-2-1.643821,100,662.454071-2-1.606789,100,667.35681
--1.124189,100,669.265838
--0.846418,100,671.136335
--1.835669,100,672.961843
--1.211487,100,674.617544
--1.159679,100,676.349149
--0.895287,100,682.0378
-3.336936,100,682.932022
-2.842969,100,684.055301
-2.411572,100,684.50638
-1.918627,100,685.379176
-0.896834,100,685.667722
-1.555335,100,686.743732
-1.412523,100,687.020678
-1.53033,100,687.296185
-1.39239,100,687.565343
1
07

403.178911
--0.80133,100,1409.08469
-0.944184,100,1415.372291
--2.021124,100,1418.342391
570469
