number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
0,1.49874746799469,2020-06-20 20:21:34.672538,2020-06-20 23:33:43.661415,0 days 03:12:08.988877000,64,0.98,0.0010957502936774235,1000000,0.2496686924367213,adaptive-param,True,True,COMPLETE
1,4.243607521057129,2020-06-20 20:21:34.673226,2020-06-20 22:38:54.801749,0 days 02:17:20.128523000,32,0.995,0.03050994480761025,100000,0.20192736323796268,adaptive-param,True,False,PRUNED
2,2.602383852005005,2020-06-20 20:21:34.673679,2020-06-20 23:29:26.780815,0 days 03:07:52.107136000,64,0.995,0.6864013871338194,100000,0.0026755981953909824,ornstein-uhlenbeck,True,True,COMPLETE
3,2.4878666400909424,2020-06-20 20:21:34.685435,2020-06-20 23:34:33.013181,0 days 03:12:58.327746000,64,0.9,0.0014709261876296135,100000,0.4133392103152631,adaptive-param,True,True,COMPLETE
4,1.593005895614624,2020-06-20 20:21:34.697595,2020-06-21 00:58:05.918775,0 days 04:36:31.221180000,128,0.95,1.4464314974692894e-05,100000,0.4765561514110228,ornstein-uhlenbeck,False,False,COMPLETE
5,1.629064917564392,2020-06-20 20:21:34.698382,2020-06-21 00:58:59.688615,0 days 04:37:24.990233000,128,0.995,0.0025647921962022348,1000000,0.14749443073619417,normal,False,True,COMPLETE
6,0.4940311312675476,2020-06-20 20:21:34.698853,2020-06-21 04:17:05.040527,0 days 07:55:30.341674000,256,0.995,0.09483468362138897,1000000,0.9785427155241576,ornstein-uhlenbeck,False,False,COMPLETE
7,4.334537982940674,2020-06-20 20:21:34.699295,2020-06-20 23:40:21.233344,0 days 03:18:46.534049000,128,0.995,0.008061323032533636,1000000,0.8068932798396691,normal,True,True,PRUNED
8,4.856691360473633,2020-06-20 20:21:34.699725,2020-06-20 23:33:49.648726,0 days 03:12:14.949001000,256,0.999,1.0578746860015592e-05,1000000,0.126723971027632,ornstein-uhlenbeck,True,True,PRUNED
9,1.3740535974502563,2020-06-20 20:21:34.700107,2020-06-20 23:30:10.475483,0 days 03:08:35.775376000,64,0.95,0.23664172733991334,1000000,0.35668500963619265,adaptive-param,False,False,COMPLETE
10,3.812164306640625,2020-06-20 20:21:34.700722,2020-06-20 22:45:51.588919,0 days 02:24:16.888197000,128,0.95,0.00019315119687436885,1000000,0.4096654768591008,adaptive-param,False,True,PRUNED
11,9.488561630249023,2020-06-20 20:21:34.701180,2020-06-20 22:08:02.391732,0 days 01:46:27.690552000,16,0.9,0.0024888439414244867,1000000,0.8704237157327073,ornstein-uhlenbeck,True,True,COMPLETE
12,0.3668524920940399,2020-06-20 20:21:34.701586,2020-06-21 04:38:16.826504,0 days 08:16:42.124918000,256,0.95,0.005826623072424897,10000,0.3927762687497923,adaptive-param,True,False,COMPLETE
13,0.9747434854507446,2020-06-20 20:21:34.708503,2020-06-20 22:14:35.257815,0 days 01:53:00.549312000,16,0.95,0.01626941350803614,100000,0.2576990830542879,adaptive-param,True,True,COMPLETE
14,0.22258774936199188,2020-06-20 20:21:34.709063,2020-06-20 23:26:55.485842,0 days 03:05:20.776779000,64,0.999,0.00013107712304401227,10000,0.16151152381197886,ornstein-uhlenbeck,True,True,COMPLETE
15,3.082643508911133,2020-06-20 20:21:34.709408,2020-06-20 22:41:07.869874,0 days 02:19:33.160466000,128,0.95,0.01645520233737023,10000,0.12323613828096813,ornstein-uhlenbeck,False,False,PRUNED
16,6.637887001037598,2020-06-20 20:21:34.709779,2020-06-20 22:14:24.484774,0 days 01:52:49.774995000,16,0.995,0.013553822741518387,10000,0.08611671820325584,adaptive-param,True,True,COMPLETE
17,2.2360644340515137,2020-06-20 20:21:34.710387,2020-06-20 22:35:39.613485,0 days 02:14:04.903098000,32,0.995,0.1322152265620808,10000,0.5179011434598335,ornstein-uhlenbeck,True,False,COMPLETE
