#{"t_start": 1592711594.053788, "env_id": "widowx_reacher-v5"}
r,l,t
-1.86503,100,22.219216
-1.501557,100,23.356817
-3.997136,100,24.239084
-2.596524,100,51.321708
-2.958992,100,76.053819
-3.666015,100,100.429159
-1.426804,100,124.113224
-4.052397,100,148.133376
-1.541838,100,171.972221
-4.502267,100,195.366819
-4.682741,100,219.648564
-2.545701,100,244.479387
-3.427996,100,268.719012
-2.182266,100,292.02195
-0.611147,100,316.222095
-1.197536,100,340.992374
-2.93151,100,366.036019
-1.995066,100,390.983249
-2.932571,100,417.093221
-1.94857,100,440.857899
-0.921494,100,464.566369
-1.113474,100,488.904298
-5.5582,100,512.885064
-0.581093,100,537.20077
-3.339402,100,561.105103
-1.336686,100,586.777558
-3.303824,100,610.890083
-3.117772,100,634.540399
-4.263968,100,660.129647
-2.821233,100,683.281373
-2.033997,100,706.24209
-2.018961,100,729.40053
-0.998727,100,751.725652
-0.731137,100,774.261838
-1.51944,100,796.632851
-3.744027,100,820.069318
-2.034383,100,842.161006
-1.969095,100,863.584682
-1.226846,100,884.37832
-3.958824,100,904.634386
-3.366973,100,925.172874
-3.236266,100,945.021146
-0.658166,100,965.964638
-0.58894,100,985.762789
-0.887054,100,1004.669542
-2.118809,100,1023.852933
-1.403312,100,1043.874108
-3.412012,100,1063.407352
-3.20791,100,1083.820515
-5.528616,100,1101.568102
-0.940009,100,1122.410102
-0.909132,100,1140.988608
-1.444135,100,1159.241668
-2.952139,100,1178.225602
-2.042702,100,1198.09626
-0.59318,100,1217.086491
-5.657853,100,1235.701465
-1.91078,100,1254.115489
-2.143709,100,1272.980343
-0.921706,100,1292.153752
-3.670054,100,1311.185018
-2.158536,100,1330.441834
-0.579854,100,1349.597229
-2.140021,100,1369.132878
-2.672938,100,1388.218786
-0.80562,100,1407.99663
-2.588052,100,1426.566437
-1.703636,100,1445.517802
-3.918008,100,1464.305576
-4.000805,100,1482.629788
-3.529554,100,1501.050914
-2.364149,100,1519.357862
-3.225911,100,1537.608467
-5.459082,100,1555.916172
-1.463393,100,1574.304266
-0.630725,100,1592.846535
-1.14115,100,1611.008177
-2.059146,100,1630.071394
-1.61228,100,1648.258445
-1.504285,100,1666.684452
-0.61664,100,1685.061867
-1.794201,100,1702.815572
-2.425859,100,1720.553752
-2.057905,100,1737.872125
-3.342354,100,1755.522454
-1.680715,100,1772.780357
-0.630333,100,1791.520851
-0.643282,100,1808.571818
-0.857451,100,1825.818729
-2.036942,100,1843.188463
-3.363599,100,1861.804255
-4.280962,100,1877.785747
-3.240177,100,1893.84806
-2.671606,100,1909.954981
-1.036298,100,1925.943144
-0.996476,100,1942.268116
-1.048068,100,1958.055027
-1.340299,100,1974.478634
-0.588999,100,1990.493928
