number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
0,0.2176157683134079,2020-06-25 07:51:06.440591,2020-06-25 12:39:34.873201,0 days 04:48:28.432610000,64,100000,0.1,0.99,10000,1.104180814731717e-05,6,medium,0.8430311502702182,,300,COMPLETE
1,0.3022451102733612,2020-06-25 07:51:06.444424,2020-06-25 15:10:16.622699,0 days 07:19:10.178275000,128,10000,0.5,0.9,0,0.0064554023285977365,2,big,0.46797826250531105,,100,COMPLETE
2,1.5844573974609375,2020-06-25 07:51:06.447013,2020-06-25 12:19:10.517720,0 days 04:28:04.070707000,64,1000000,0.05,0.98,10000,5.258468558872915e-05,4,small,0.9689764588755102,,1,COMPLETE
3,2.226858377456665,2020-06-25 07:51:06.449500,2020-06-25 16:21:31.939931,0 days 08:30:25.490431000,512,1000000,0.1,0.9,20000,0.40894603830049175,8,medium,0.15908261768268972,,1,PRUNED
4,0.2879711985588074,2020-06-25 07:51:06.452357,2020-06-26 05:54:56.041699,0 days 22:03:49.589342000,512,100000,auto,0.9999,0,0.30005394491964243,6,medium,0.5772551296492962,-100,300,COMPLETE
5,0.5742749571800232,2020-06-25 07:51:06.455204,2020-06-25 12:41:23.277380,0 days 04:50:16.822176000,64,100000,0.01,0.98,10000,0.03512404414346544,6,big,0.3373640833208149,,10,COMPLETE
6,2.226858377456665,2020-06-25 07:51:06.457838,2020-06-25 11:05:13.883228,0 days 03:14:07.425390000,32,10000,0.0001,0.9,20000,0.02837142437151805,8,big,0.2530826835376797,,300,COMPLETE
7,1.9013313055038452,2020-06-25 07:51:06.460368,2020-06-25 16:23:04.024964,0 days 08:31:57.564596000,512,1000000,0.1,0.95,20000,0.5641895477795348,6,big,0.7798490745151049,,1,PRUNED
8,2.907468557357788,2020-06-25 07:51:06.463007,2020-06-25 14:42:21.201203,0 days 06:51:14.738196000,256,1000000,0.01,0.98,0,0.00011434445728956529,2,medium,0.6277149488990098,,1,PRUNED
9,1.2689404487609863,2020-06-25 07:51:06.465590,2020-06-25 10:24:39.554448,0 days 02:33:33.088858000,16,100000,0.1,0.98,0,0.011008856166088144,6,big,0.6973995546313975,,300,COMPLETE
10,0.18380016088485718,2020-06-25 07:51:06.468200,2020-06-25 10:22:13.363041,0 days 02:31:06.894841000,16,1000000,0.1,0.95,20000,5.141051723702394e-05,8,medium,0.3518822994345371,,10,COMPLETE
11,0.5593830347061157,2020-06-25 07:51:06.470758,2020-06-25 09:39:56.890127,0 days 01:48:50.419369000,16,100000,auto,0.9999,20000,0.00021890830158400988,2,small,0.3221105377188688,-20,100,COMPLETE
12,0.4060949385166168,2020-06-25 07:51:06.473761,2020-06-25 11:26:33.967460,0 days 03:35:27.493699000,32,1000000,0.1,0.99,1000,0.0003632248953861074,8,medium,0.20429700815622887,,300,COMPLETE
13,1.8014347553253174,2020-06-25 07:51:06.476348,2020-06-25 15:24:34.498342,0 days 07:33:28.021994000,128,10000,0.01,0.9,1000,6.026479695423849e-05,4,medium,0.5192292756266005,,300,COMPLETE
14,0.5086167454719543,2020-06-25 07:51:06.478966,2020-06-25 21:38:44.580277,0 days 13:47:38.101311000,256,1000000,0.5,0.995,0,0.052851944902933067,8,medium,0.9435518907011429,,300,COMPLETE
15,0.3078576922416687,2020-06-25 07:51:06.481659,2020-06-25 14:57:35.818563,0 days 07:06:29.336904000,128,100000,auto,0.99,20000,0.009128938878578649,8,medium,0.4810542803290905,-50,300,COMPLETE
16,2.2755610942840576,2020-06-25 07:51:06.484603,2020-06-25 09:45:19.721155,0 days 01:54:13.236552000,16,10000,0.0001,0.95,10000,9.989104192916531e-05,2,medium,0.01514928864397902,,1,COMPLETE
17,0.3897247314453125,2020-06-25 07:51:06.487419,2020-06-25 10:14:44.820014,0 days 02:23:38.332595000,16,10000,0.1,0.95,10000,5.5909972101791014e-05,6,medium,0.8898461492903755,,1,COMPLETE
18,0.3616695702075958,2020-06-25 07:51:06.490032,2020-06-25 21:54:41.065001,0 days 14:03:34.574969000,256,100000,0.01,0.95,0,0.02953892454326956,8,small,0.3443600361456354,,300,COMPLETE
19,2.405996322631836,2020-06-25 07:51:06.492989,2020-06-25 12:09:03.102190,0 days 04:17:56.609201000,128,1000000,auto,0.95,0,0.0030975631725064113,6,small,0.8573259631334939,-50,100,PRUNED
20,1.1978440284729004,2020-06-25 07:51:06.496013,2020-06-25 11:31:20.812366,0 days 03:40:14.316353000,64,1000000,0.0001,0.99,0,5.6211560482164174e-05,4,medium,0.23676192552779518,,1,PRUNED
21,3.5139803886413574,2020-06-25 07:51:06.498714,2020-06-26 05:38:11.136062,0 days 21:47:04.637348000,512,10000,0.01,0.9999,0,0.002634566837632241,6,small,0.25590426589517756,,10,COMPLETE
22,2.8919310569763184,2020-06-25 07:51:06.501218,2020-06-25 16:43:44.949223,0 days 08:52:38.448005000,512,1000000,auto,0.995,0,0.00018191235808687442,4,big,0.3628808497523106,-50,300,PRUNED
23,2.8382444381713867,2020-06-25 07:51:06.504177,2020-06-25 11:38:22.308800,0 days 03:47:15.804623000,64,100000,0.1,0.999,0,0.17952491845263535,1,medium,0.8735674664449093,,1,PRUNED
24,0.3863863945007324,2020-06-25 07:51:06.506777,2020-06-25 10:21:01.878389,0 days 02:29:55.371612000,32,100000,0.05,0.95,20000,0.013896232682797837,2,big,0.33007831031162915,,10,COMPLETE
25,1.331337809562683,2020-06-25 07:51:06.509377,2020-06-26 03:45:29.661974,0 days 19:54:23.152597000,512,100000,0.01,0.98,20000,0.15087153669258038,2,small,0.3321883883274137,,10,COMPLETE
26,4.351542949676514,2020-06-25 07:51:06.512781,2020-06-25 10:57:29.263563,0 days 03:06:22.750782000,32,10000,0.0001,0.9999,1000,0.05813391145447561,4,big,0.5719416296984775,,10,COMPLETE
27,3.8383898735046387,2020-06-25 07:51:06.515574,2020-06-25 12:38:51.324617,0 days 04:47:44.809043000,512,1000000,auto,0.98,20000,8.068398931177207e-05,8,big,0.8756191312459518,-50,10,PRUNED
28,0.1081055998802185,2020-06-25 07:51:06.518718,2020-06-25 15:16:42.629682,0 days 07:25:36.110964000,128,1000000,0.5,0.98,0,0.00015721498327357606,2,medium,0.6415024561966096,,10,COMPLETE
29,0.4552405774593353,2020-06-25 07:51:06.536025,2020-06-25 11:30:37.484220,0 days 03:39:30.948195000,32,100000,0.1,0.995,0,0.02951436107152333,8,big,0.917825460128234,,1,COMPLETE
30,3.682166337966919,2020-06-25 07:51:06.538855,2020-06-25 10:43:57.801569,0 days 02:52:51.262714000,32,100000,0.5,0.98,1000,0.08086680533137708,2,big,0.8109499809841898,,1,COMPLETE
31,5.454268455505371,2020-06-25 07:51:06.553703,2020-06-25 14:51:46.758782,0 days 07:00:40.205079000,128,10000,0.1,0.995,20000,0.3546064592991356,8,big,0.08777925549926535,,1,COMPLETE
32,1.2408825159072876,2020-06-25 09:39:56.906418,2020-06-25 18:38:59.904433,0 days 08:59:02.998015000,512,1000000,0.5,0.95,0,4.850227457447839e-05,2,medium,0.1104458071053227,,10,PRUNED
33,0.5439476370811462,2020-06-25 09:45:19.725439,2020-06-25 20:37:55.113598,0 days 10:52:35.388159000,256,1000000,0.5,0.9,20000,0.0191849600075402,2,small,0.21313365707153098,,10,COMPLETE
34,1.9306014776229858,2020-06-25 10:14:44.824226,2020-06-25 11:56:17.251141,0 days 01:41:32.426915000,16,100000,0.05,0.95,0,0.04443479094261983,1,medium,0.7813501644340741,,1,COMPLETE
35,4.680002212524414,2020-06-25 10:21:01.894969,2020-06-25 14:56:01.626673,0 days 04:34:59.731704000,256,10000,0.01,0.9,1000,0.25897253717439583,2,medium,0.017226900075775098,,1,PRUNED
36,3.1837809085845947,2020-06-25 10:22:13.419586,2020-06-25 12:03:41.831391,0 days 01:41:28.411805000,64,1000000,0.5,0.999,20000,0.007487117788670558,6,big,0.9880106040386741,,100,PRUNED
37,5.491853713989258,2020-06-25 10:24:39.592310,2020-06-25 11:29:58.343492,0 days 01:05:18.751182000,64,10000,0.01,0.9,20000,0.4387513011134982,4,medium,0.4803606637368517,,10,PRUNED
