#{"t_start": 1593134465.1136334, "env_id": "widowx_reacher-v6"}
r,l,t
-0.411483,100,17.613165
-0.435097,100,18.626436
-0.465191,100,19.541961
-0.620611,100,20.604
-0.452373,100,21.548391
-0.44672,100,22.350539
-0.726318,100,23.22809
-0.569772,100,24.044823
-0.405362,100,24.916115
-0.392862,100,25.734059
-0.36074,100,26.625161
-0.392064,100,27.672727
-0.46745,100,28.51644
-0.416022,100,29.408278
-0.356781,100,30.372159
-0.383463,100,31.270633
-0.355225,100,32.340421
-0.471002,100,33.411501
-0.406917,100,34.371054
-0.565179,100,35.31214
-0.657242,100,36.251869
-0.587266,100,37.155776
-0.566533,100,38.236455
-0.533666,100,39.303623
-0.640504,100,40.284796
-0.374802,100,41.207618
-0.431106,100,42.228795
-0.410107,100,43.219475
-0.527015,100,44.15718
-0.553816,100,45.157789
-0.602775,100,46.135212
-0.408033,100,47.031041
-0.386472,100,47.829595
-0.452293,100,48.604248
-0.49998,100,49.557235
-0.755989,100,50.465457
-0.352406,100,51.411612
-0.669885,100,52.325083
-0.493996,100,53.265027
-0.377251,100,54.162996
-0.506484,100,55.097078
-0.451873,100,56.006825
-0.530139,100,56.860072
-0.31676,100,57.611957
-0.648022,100,58.692656
-0.436099,100,59.711319
-0.414611,100,60.710375
-0.475468,100,61.876911
-0.504554,100,62.94524
-0.356968,100,63.863381
-0.357764,100,68.125182
-0.371703,100,69.113806
-0.405663,100,70.075514
-0.346585,100,71.042505
-0.458234,100,71.926638
-0.486092,100,72.878714
-0.603466,100,73.872268
-0.419254,100,74.745073
-0.395636,100,75.620041
-0.331629,100,76.55796
-0.615309,100,77.477309
-0.497129,100,78.28181
-0.437183,100,79.08559
-0.789727,100,79.921809
-0.350186,100,80.763371
-0.70407,100,81.576123
-0.48328,100,82.562274
-0.340436,100,83.501535
-0.40515,100,84.367718
-0.456154,100,85.230755
-0.644033,100,86.213307
-0.364749,100,87.192404
-0.429273,100,88.073237
-0.432397,100,89.157849
-0.838478,100,90.129173
-0.409725,100,91.071604
-0.483643,100,91.995916
-0.486741,100,92.90213
-0.500499,100,93.919321
-0.509391,100,94.897889
-0.32662,100,95.869618
-0.43253,100,96.675423
-0.463683,100,97.554179
-0.802656,100,98.424756
-0.362114,100,99.316645
-0.380651,100,100.306416
-0.529077,100,101.132008
-0.441074,100,101.934639
-0.385834,100,102.707995
-0.554272,100,103.628106
-0.376601,100,104.543084
-0.566871,100,105.386322
-0.557594,100,106.19296
-0.369293,100,107.064673
-0.376021,100,108.032735
-0.398688,100,108.939812
-0.486078,100,109.901827
-0.603052,100,110.882091
-0.429416,100,111.858216
-0.443984,100,112.644243
-0.560767,100,116.836913
-0.496228,100,117.883777
-0.543538,100,118.798899
-0.561439,100,119.776347
-0.417918,100,120.851586
-0.344069,100,121.640556
-0.624288,100,122.558005
-0.362214,100,123.365856
-0.404059,100,124.321542
-0.43372,100,125.427907
-0.462764,100,126.508454
-0.427079,100,127.55462
-0.411563,100,128.483339
-0.735307,100,129.429723
-0.3499,100,130.338393
-0.385552,100,131.262702
-0.44735,100,132.344773
-0.486736,100,133.337292
-0.408255,100,134.232149
-0.964129,100,135.165902
-0.477522,100,136.169798
-0.388493,100,137.135304
-0.519186,100,138.138363
-0.428508,100,139.068576
-0.518114,100,140.043668
-0.433059,100,140.9304
-0.380667,100,141.974349
-0.360396,100,143.003363
-0.51825,100,144.006929
-0.396672,100,144.960101
-0.454688,100,145.996432
-0.446089,100,146.84784
-0.393952,100,147.591127
-0.494228,100,148.487201
-0.409705,100,149.519245
-0.392714,100,150.532469
-0.458112,100,151.573897
-0.363519,100,152.506454
-0.410718,100,153.510009
-0.368099,100,154.350262
-0.631739,100,155.227876
-0.415685,100,156.103968
-0.554149,100,157.064262
-0.434686,100,157.918729
-0.451641,100,158.968408
-0.371191,100,159.828692
-0.38896,100,160.848405
-0.418672,100,161.869473
-0.364988,100,162.677881
-0.403096,100,163.677635
-0.499229,100,167.947422
-0.762804,100,169.038721
-0.62268,100,170.090668
-0.509768,100,170.850679
-0.462466,100,171.760419
-0.457769,100,172.528715
-0.610254,100,173.535825
-0.351476,100,174.458526
-0.365919,100,175.188324
-0.365666,100,175.886606
-0.343024,100,176.608158
-0.388154,100,177.525389
-1.855866,100,178.248302
-0.401373,100,178.976635
-0.976229,100,180.061486
-0.649283,100,181.082348
-0.402682,100,182.205602
-1.045375,100,183.019576
-0.464791,100,184.114292
-0.724303,100,185.123463
-0.526833,100,186.454818
-0.50174,100,187.17548
-0.463717,100,188.045206
-0.287116,100,188.848891
-0.830187,100,189.830043
-0.309191,100,190.912486
-0.400231,100,191.854408
-0.597955,100,192.737544
-0.479965,100,193.750025
-0.54261,100,194.601547
-0.418468,100,195.589313
-0.457141,100,196.553269
-0.428311,100,197.49778
-0.38955,100,198.509222
-0.772673,100,199.37026
-1.063564,100,200.142304
-0.451267,100,200.963207
-0.35242,100,201.774914
-0.698313,100,202.537875
-0.608099,100,203.456352
-0.493027,100,204.273291
-0.420782,100,205.15352
-0.438844,100,206.050509
-0.459278,100,206.952891
-0.683068,100,208.016338
-0.462746,100,208.91764
-0.535153,100,209.667711
-0.501498,100,210.488016
-0.31125,100-0.499516,100,5399.005574
-0.55901,100,5402.32357
-0.450221,100-0.509642,100,-1.401268,100,5479.895247
-1.326255,100,5482.897774
-1.47492-0.571489,100,341.5-0.481283,100,5559.282644
-0.487795,100,5562.756387
-0.357448,100,5566.178263
-0.558015,100,5641.103274
-0.453545,100,5644.525648
-0.385915,100,5650.88295
-0.400197,100,5724.582197
-0.410285,100,5728.085696
-0.388553,100,5731.5507-0.4-0.563425,100,5805.821466
-0.412274,100,5809.162016
-0.403327,100,5812.-0.3243-0.492844,100,5886.771017
-0.444372,100,5890.373768
-0.429983,100,5893.893204
-0.437029,100,5968.586895
-0.439524,100,5972.108044
-0.455972,100,5975.328249
-0.459752,100,6048.561522
-0.459991,100,6052.147547
-0.43568,100,6055.630774
-3.222797,100,6129.725584
-3.50875,100,6133.634571
-3.140525,100,6137.206491
-0.332275,100,6211.926065
-0.356107,100,6215.469201
-0.367948,100,6218.8656
-0.4008,100,6290.817603
-0.517953,100,6294.415303
-0.523527,100,6297.790246
-0.408437,100,6371.38069
-0.505026,100,6374.829491
-0.358392,100,6378.023352
-0.381116,100,6454.318959
-0.335542,100,6457.858014
-0.344827,100,6461.480728
-0.400795,100,6535.722647
-0.453333,100,6539.133001
-0.403655,100,6542.68037
-0.827613,100,6618.948221
-0.728705,100,6622.223418
-0.689006,100,6625.677049
-0.507346,100,6698.849876
-0.485291,100,6702.25049
-0.537778,100,6705.539517
-0.58315,100,6778.35105
-0.721299,100,6781.561061
-0.585361,100,6784.95884
-0.457664,100,6856.857593
-0.34312,100,6860.181548
-0.388863,100,6863.628321
-0.400567,100,6935.445857
-0.472535,100,6938.410844
-0.386729,100,6942.002547
-0.356326,100,7014.549172
-0.390568,100,7020.816634
-0.442265,100,7023.699658
-0.38865,100,7095.679691
-0.42496,100,7099.257648
-0.385806,100,7102.528819
-0.378669,100,7175.087318
-0.394121,100,7178.395035
-0.42562,100,7181.827935
-0.398621,100,7254.017724
-0.442841,100,7257.278797
-0.42577,100,7260.874688
-0.382363,100,7328.955262
-0.426562,100,7332.293008
-0.434244,100,7335.741112
-0.478964,100,7404.153137
-0.363677,100,7407.280544
-0.409758,100,7410.285902
-0.374306,100,7476.362275
-0.359692,100,7479.501387
-0.330112,100,7482.830382
-0.467081,100,7548.19319
-0.347983,100,7551.410213
-0.383486,100,7554.621216
-0.458312,100,7621.530529
-0.425641,100,7624.620782
-1.044958,100,7627.505363
-0.43482,100,7693.0581
-0.487099,100,7696.267135
-0.387548,100,7699.582806
-0.376229,100,7765.108217
-0.42826,100,7768.143654
-0.444455,100,7770.964106
-2.498801,100,7837.729666
-2.309618,100,7840.872394
-1.76497,100,7844.012743
-0.629244,100,7910.375942
-0.464395,100,7913.492545
-0.436621,100,7916.800491
-0.62382,100,7983.418975
-0.579103,100,7986.621714
-0.473796,100,7989.781072
-0.458341,100,8057.529723
-0.37001,100,8060.522187
-0.469595,100,8063.459054
-0.382613,100,8129.62272
-0.336003,100,8132.929177
-0.464982,100,8135.662879
-0.348686,100,8200.41267
-0.429208,100,8203.385131
-0.348327,100,8206.376328
-0.352189,100,8271.834561
-0.380665,100,8274.686909
-0.377339,100,8277.701597
-0.339576,100,8342.654171
-0.362749,100,8345.516262
-0.331892,100,8348.884645
-0.69191,100,8414.509172
-0.719628,100,8417.378153
-0.627144,100,8420.156307
-0.511159,100,8485.509065
-0.400177,100,8488.436853
-0.57229,100,8491.242386
-0.462627,100,8554.911802
-0.542017,100,8557.959675
-0.472646,100,8560.606413
-0.469222,100,8624.055148
-0.780867,100,8626.862855
-0.425241,100,8630.016101
-1.979485,100,8693.981795
-2.334069,100,8696.648716
-2.227803,100,8699.741709
-0.709623,100,8765.20479
-0.68712,100,8768.254778
-0.678859,100,8770.840281
-0.723836,100,8830.827223
-0.539266,100,8833.71692
-0.548224,100,8836.573643
-0.504616,100,8898.361286
-0.495411,100,8900.908513
-0.504308,100,8903.480569
-1.884926,100,8965.03612
-1.478762,100,8967.654245
-1.95616,100,8970.392521
-0.728279,100,9029.336666
-0.691506,100,9032.229696
-0.981805,100,9035.173529
-0.618587,100,9094.375057
-0.614258,100,9097.200652
-0.607835,100,9099.979316
-0.620663,100,9159.98145
-0.627395,100,9163.042834
-0.670415,100,9166.056288
-0.565195,100,9225.850832
-0.640936,100,9228.722644
-0.678781,100,9231.160928
-0.524857,100,9292.835186
-0.53574,100,9295.463858
-0.533335,100,9298.315151
-0.749252,100,9352.885189
-0.599574,100,9355.324246
-0.654579,100,9360.142223
-0.575402,100,9413.164746
-0.549447,100,9415.955484
-0.558083,100,9418.663923
-0.660118,100,9472.357222
-0.732258,100,9474.909793
-0.632436,100,9477.46414
-0.462983,100,9532.133815
-0.411296,100,9534.462569
-0.427575,100,9537.18419
-0.358827,100,9590.058666
-0.400587,100,9592.601167
-0.389471,100,9594.892267
-0.462629,100,9649.371382
-0.404023,100,9651.338618
-0.364888,100,9653.956287
-0.353637,100,9703.91668
-0.370587,100,9706.400832
-0.427817,100,9708.541072
-0.407389,100,9757.892715
-0.418929,100,9760.396962
-0.451735,100,9762.899767
-0.419003,100,9814.15666
-0.36424,100,9816.464757
-0.474491,100,9819.207748
-0.440016,100,9869.034823
-0.388842,100,9871.558679
