number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
0,1.0591140985488892,2020-06-21 06:42:33.323288,2020-06-21 07:04:57.218501,0 days 00:22:23.895213000,256,0.2,0.007780457995118617,0.995,0.98,2.830696619808857e-05,256,50,COMPLETE
1,1.1537970304489136,2020-06-21 06:42:33.325582,2020-06-21 07:03:08.244190,0 days 00:20:34.918608000,128,0.4,4.162281676680183e-06,0.9,0.8,0.0004377704079690211,2048,10,COMPLETE
2,4.653741359710693,2020-06-21 06:42:33.327558,2020-06-21 07:14:21.459469,0 days 00:31:48.131911000,32,0.4,0.0006417416433632822,0.99,0.8,0.02077464691931884,2048,50,COMPLETE
3,0.4960464835166931,2020-06-21 06:42:33.329607,2020-06-21 07:03:20.755061,0 days 00:20:47.425454000,64,0.1,8.975461376823902e-06,0.9999,0.9,0.00027911100978754015,256,5,COMPLETE
4,0.5336936116218567,2020-06-21 06:42:33.331660,2020-06-21 07:06:28.520455,0 days 00:23:55.188795000,128,0.4,1.7360029837542615e-08,0.98,0.92,0.00034743071240300293,256,50,COMPLETE
5,0.3850402235984802,2020-06-21 06:42:33.333613,2020-06-21 07:06:54.615637,0 days 00:24:21.282024000,64,0.4,0.0007373626555223939,0.98,0.99,0.5893347955648005,256,30,COMPLETE
6,0.9178665280342102,2020-06-21 06:42:33.335545,2020-06-21 07:05:10.058453,0 days 00:22:36.722908000,256,0.1,2.270210457914245e-06,0.98,0.99,0.00032577089895146727,128,30,COMPLETE
7,1.5984019041061401,2020-06-21 06:42:33.337485,2020-06-21 07:03:50.643973,0 days 00:21:17.306488000,128,0.4,3.27427756385665e-07,0.9,0.95,0.033579061377546765,64,5,COMPLETE
8,4.354750633239746,2020-06-21 06:42:33.339497,2020-06-21 07:03:25.531614,0 days 00:20:52.192117000,64,0.1,0.00017716039471161581,0.999,0.92,0.24802741675830697,128,5,COMPLETE
9,0.4905502200126648,2020-06-21 06:42:33.341445,2020-06-21 07:09:45.879899,0 days 00:27:12.538454000,32,0.3,0.0009802750828355902,0.9999,0.99,2.8413286788100023e-05,32,30,COMPLETE
10,0.7051401734352112,2020-06-21 06:42:33.343420,2020-06-21 07:02:44.108915,0 days 00:20:10.765495000,128,0.4,0.00034856999538668607,0.995,0.98,0.09825072838747807,1024,5,COMPLETE
11,3.3822860717773438,2020-06-21 06:42:33.345463,2020-06-21 07:04:03.494473,0 days 00:21:30.149010000,256,0.1,0.00010269605907826449,0.999,0.95,1.9681112193483325e-05,2048,30,COMPLETE
12,0.9787089228630066,2020-06-21 06:42:33.347456,2020-06-21 07:15:03.595368,0 days 00:32:30.247912000,32,0.2,1.2930498316331247e-06,0.99,1.0,0.010967706597216742,512,50,COMPLETE
13,1.5684961080551147,2020-06-21 06:42:33.349442,2020-06-21 07:03:17.779290,0 days 00:20:44.429848000,64,0.2,1.0367964425104475e-05,0.995,0.95,0.0005537890740947089,2048,5,COMPLETE
14,1.3891322612762451,2020-06-21 06:42:33.351478,2020-06-21 07:02:47.506045,0 days 00:20:14.154567000,256,0.1,3.168320403815194e-05,0.995,0.92,0.05923658234602413,512,10,COMPLETE
15,1.085057020187378,2020-06-21 06:42:33.353558,2020-06-21 07:15:05.061498,0 days 00:32:31.707940000,32,0.1,0.0003623309884429968,0.9,1.0,0.0026640208169712307,512,50,COMPLETE
16,0.6327215433120728,2020-06-21 06:42:33.355768,2020-06-21 07:03:19.908395,0 days 00:20:46.552627000,128,0.3,7.77017114313262e-06,0.999,0.98,0.0003345017213675193,256,10,COMPLETE
17,2.573157548904419,2020-06-21 06:42:33.357720,2020-06-21 07:04:29.209920,0 days 00:21:55.852200000,256,0.2,6.629408984214199e-07,0.9,0.95,0.00016716820738128278,32,10,PRUNED
18,0.4909575581550598,2020-06-21 06:42:33.359982,2020-06-21 07:05:32.773142,0 days 00:22:59.413160000,32,0.1,0.00047262453949762663,0.995,0.92,2.115053788219261e-05,32,10,COMPLETE
19,1.028480887413025,2020-06-21 06:42:33.362043,2020-06-21 07:03:51.713276,0 days 00:21:18.351233000,32,0.2,2.2931624045486405e-06,0.95,0.9,7.99718618897733e-05,1024,5,COMPLETE
20,3.445082187652588,2020-06-21 06:42:33.364242,2020-06-21 07:02:25.656809,0 days 00:19:52.292567000,256,0.2,0.024571149006063005,0.999,0.9,0.052150130424682625,512,1,COMPLETE
21,0.7186299562454224,2020-06-21 06:42:33.366392,2020-06-21 07:24:25.992044,0 days 00:41:52.625652000,256,0.3,0.00015828245991979646,0.9999,0.98,0.0001521867067723234,16,50,COMPLETE
22,0.7082230448722839,2020-06-21 06:42:33.368427,2020-06-21 07:02:55.036661,0 days 00:20:21.668234000,128,0.2,3.8814627519478554e-08,0.98,0.98,0.0016411667982393014,1024,5,COMPLETE
23,2.2089176177978516,2020-06-21 06:42:33.370755,2020-06-21 07:04:57.245502,0 days 00:22:23.874747000,32,0.4,1.971635503241257e-06,0.9999,0.92,0.36895794842719715,256,10,COMPLETE
24,1.7679862976074219,2020-06-21 06:42:33.372867,2020-06-21 07:02:46.123120,0 days 00:20:12.750253000,64,0.4,0.0026413449314829545,0.99,0.9,0.00012108214260943659,64,1,COMPLETE
25,0.28551357984542847,2020-06-21 06:42:33.375269,2020-06-21 07:03:17.542724,0 days 00:20:44.167455000,256,0.3,0.004507482802317943,0.999,0.8,0.012856704951056681,512,20,COMPLETE
26,0.8899762034416199,2020-06-21 06:42:33.377411,2020-06-21 07:03:48.028977,0 days 00:21:14.651566000,256,0.2,0.0036386097631479096,0.95,0.95,0.014823436196697348,256,30,COMPLETE
27,3.304049253463745,2020-06-21 06:42:33.379765,2020-06-21 07:05:01.934118,0 days 00:22:28.554353000,128,0.2,4.0046739045794996e-08,0.9999,0.8,0.06853457529044873,1024,30,COMPLETE
28,2.444488286972046,2020-06-21 06:42:33.381874,2020-06-21 07:03:54.281532,0 days 00:21:20.899658000,128,0.1,5.811934167809167e-06,0.99,1.0,0.2525667555153651,512,20,COMPLETE
29,2.259216785430908,2020-06-21 06:42:33.384562,2020-06-21 07:09:43.826230,0 days 00:27:10.441668000,64,0.2,0.004274301197977016,0.99,1.0,4.438912333146554e-05,1024,50,COMPLETE
30,0.5006518959999084,2020-06-21 06:42:33.387177,2020-06-21 07:10:35.443529,0 days 00:28:02.056352000,128,0.3,0.004415710034852939,0.98,1.0,0.24260110503205887,16,20,COMPLETE
31,0.6580188274383545,2020-06-21 06:42:33.390094,2020-06-21 07:05:00.499997,0 days 00:22:27.109903000,128,0.1,8.80004601037931e-08,0.95,1.0,0.08074331163210062,512,30,COMPLETE
32,2.213630199432373,2020-06-21 07:02:25.658790,2020-06-21 07:20:46.267826,0 days 00:18:20.609036000,64,0.4,3.5489320070542196e-06,0.9999,0.99,0.02293627503342142,2048,5,COMPLETE
33,1.3832356929779053,2020-06-21 07:02:44.113377,2020-06-21 07:10:42.110705,0 days 00:07:57.997328000,256,0.1,0.006867144221117596,0.9999,0.98,0.0006486859034285953,32,10,PRUNED
34,0.35710564255714417,2020-06-21 07:02:46.129462,2020-06-21 07:23:37.432248,0 days 00:20:51.302786000,64,0.3,2.6815938403623477e-05,0.99,0.9,0.3878857093861598,16,5,COMPLETE
35,3.514455795288086,2020-06-21 07:02:47.513839,2020-06-21 07:13:14.152621,0 days 00:10:26.638782000,128,0.3,4.414457253646563e-05,0.98,0.99,0.00413584446094887,16,20,PRUNED
36,2.244016647338867,2020-06-21 07:02:55.041765,2020-06-21 07:09:54.114077,0 days 00:06:59.072312000,256,0.3,1.4320485272832018e-08,0.9999,0.9,0.004603888593324798,256,5,PRUNED
37,2.9994637966156006,2020-06-21 07:03:08.258431,2020-06-21 07:11:35.104062,0 days 00:08:26.845631000,256,0.1,0.005285844297232968,0.99,0.98,0.00017332609575295945,128,50,PRUNED
38,3.001939296722412,2020-06-21 07:03:17.544025,2020-06-21 07:22:13.279992,0 days 00:18:55.735967000,256,0.2,2.8125117678381145e-07,0.98,0.99,0.5943980412504191,1024,30,COMPLETE
39,1.6736829280853271,2020-06-21 07:03:17.786925,2020-06-21 07:10:39.588513,0 days 00:07:21.801588000,128,0.4,5.681451620805979e-06,0.98,0.98,0.6170767594253351,2048,10,PRUNED
40,0.3850402235984802,2020-06-21 07:03:19.911218,2020-06-21 07:39:41.031959,0 days 00:36:21.120741000,256,0.2,0.0035935414923536062,0.995,1.0,0.8223763166843855,16,50,COMPLETE
41,1.757682204246521,2020-06-21 07:03:20.765421,2020-06-21 07:12:17.985093,0 days 00:08:57.219672000,32,0.3,0.07498943542831396,0.95,0.99,1.0410844126015095e-05,32,20,PRUNED
42,2.147141218185425,2020-06-21 07:03:25.538157,2020-06-21 07:13:47.002220,0 days 00:10:21.464063000,32,0.3,5.148389416977283e-07,0.9999,0.8,1.37878737761972e-05,16,20,PRUNED
43,1.7267625331878662,2020-06-21 07:03:48.033195,2020-06-21 07:32:35.931092,0 days 00:28:47.897897000,32,0.3,1.7357011675292876e-07,0.9999,1.0,2.5631121447931504e-05,16,20,COMPLETE
44,4.073922634124756,2020-06-21 07:03:50.645230,2020-06-21 07:14:26.533014,0 days 00:10:35.887784000,32,0.3,0.05457843275811422,0.9999,0.8,1.62211545509589e-05,16,20,PRUNED
45,10.964914321899414,2020-06-21 07:03:51.714681,2020-06-21 07:14:17.812492,0 days 00:10:26.097811000,32,0.3,0.055549641390160345,0.9999,0.8,1.5312676821303184e-05,16,20,PRUNED
46,1.4862409830093384,2020-06-21 07:03:54.285836,2020-06-21 07:15:27.025649,0 days 00:11:32.739813000,32,0.3,0.07970554923482942,0.9999,0.8,2.4261574319979426e-05,32,50,PRUNED
47,4.451695919036865,2020-06-21 07:04:03.499710,2020-06-21 07:19:28.935060,0 days 00:15:25.435350000,32,0.3,0.0946523808430579,0.9999,0.99,0.004849986999094305,16,50,PRUNED
48,2.4706854820251465,2020-06-21 07:04:30.107729,2020-06-21 07:19:57.205553,0 days 00:15:27.097824000,32,0.3,0.02762688023968174,0.9999,0.8,0.005176787516451415,16,50,PRUNED
49,0.7930773496627808,2020-06-21 07:04:57.222152,2020-06-21 07:33:38.465640,0 days 00:28:41.243488000,64,0.3,0.0007943097153389513,0.9999,0.8,0.005614635678820824,16,20,COMPLETE
50,4.076255798339844,2020-06-21 07:04:57.247790,2020-06-21 07:15:21.213700,0 days 00:10:23.965910000,64,0.3,0.0005582692805786826,0.9999,0.8,0.006577235517367766,16,20,PRUNED
51,1.0682859420776367,2020-06-21 07:05:00.501395,2020-06-21 07:33:32.092692,0 days 00:28:31.591297000,64,0.3,0.00125043545023569,0.9999,0.8,0.005715267007239651,16,20,COMPLETE
52,1.5373828411102295,2020-06-21 07:05:01.937071,2020-06-21 07:15:17.156095,0 days 00:10:15.219024000,64,0.3,3.4398923787472345e-05,0.999,0.99,0.005811855539817863,16,20,PRUNED
53,1.2266919612884521,2020-06-21 07:05:10.069364,2020-06-21 07:33:20.025974,0 days 00:28:09.956610000,64,0.3,2.9420281534208994e-05,0.999,0.8,0.006456065779457565,16,20,COMPLETE
54,1.2045066356658936,2020-06-21 07:05:32.784153,2020-06-21 07:16:04.201639,0 days 00:10:31.417486000,32,0.3,0.09355423628018936,0.9999,0.8,0.006917659167967197,16,20,PRUNED
55,1.7028640508651733,2020-06-21 07:06:28.523092,2020-06-21 07:16:50.068008,0 days 00:10:21.544916000,32,0.3,0.001426067004509132,0.9999,0.8,0.0034947733243600645,16,20,PRUNED
56,3.059126853942871,2020-06-21 07:06:54.619158,2020-06-21 07:15:37.580385,0 days 00:08:42.961227000,32,0.3,0.000927430703517451,0.98,0.99,0.002743552882275917,32,20,PRUNED
57,1.1239750385284424,2020-06-21 07:09:43.830270,2020-06-21 07:36:29.226806,0 days 00:26:45.396536000,32,0.3,0.0008519235815483912,0.98,0.99,0.005760056212096157,16,20,COMPLETE
