number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
0,0.2822851836681366,2020-06-21 07:48:14.395742,2020-06-21 16:53:42.180434,0 days 09:05:27.784692000,256,10000,0.1,0.9999,10000,0.0031847975306385713,big,,300,COMPLETE
1,3.2823498249053955,2020-06-21 07:48:14.397872,2020-06-21 10:36:39.484294,0 days 02:48:25.086422000,64,100000,0.1,0.995,0,0.23777805412175657,medium,,100,PRUNED
2,2.488647937774658,2020-06-21 07:48:14.399940,2020-06-21 10:38:23.650905,0 days 02:50:09.250965000,32,10000,0.05,0.995,1000,1.1596094532935347e-05,medium,,1,PRUNED
3,0.3151005506515503,2020-06-21 07:48:14.400613,2020-06-21 10:31:26.665122,0 days 02:43:12.264509000,32,1000000,0.0001,0.9999,10000,0.0021791961226561235,medium,,1,COMPLETE
4,0.36602163314819336,2020-06-21 07:48:14.402540,2020-06-21 15:57:18.233710,0 days 08:09:03.831170000,256,100000,0.01,0.9999,20000,9.041032797360641e-05,small,,1,COMPLETE
5,3.980900526046753,2020-06-21 07:48:14.404378,2020-06-21 10:01:32.514333,0 days 02:13:18.109955000,16,1000000,0.1,0.9,10000,0.19906232831482062,medium,,10,COMPLETE
6,2.0660934448242188,2020-06-21 07:48:14.406623,2020-06-21 10:33:34.043697,0 days 02:45:19.637074000,32,10000,0.5,0.9,1000,0.0005602509654727135,big,,10,PRUNED
7,0.5047053694725037,2020-06-21 07:48:14.408480,2020-06-21 10:18:41.517570,0 days 02:30:27.109090000,16,1000000,0.05,0.99,1000,0.02265328618858553,big,,100,COMPLETE
8,0.5458194613456726,2020-06-21 07:48:14.410182,2020-06-21 13:45:54.061303,0 days 05:57:39.651121000,128,1000000,0.0001,0.999,1000,3.738243070181001e-05,big,,1,COMPLETE
9,3.834972858428955,2020-06-21 07:48:14.412483,2020-06-21 09:50:21.126168,0 days 02:02:06.713685000,16,1000000,0.1,0.99,20000,0.000912443205678786,big,,100,COMPLETE
10,0.31797197461128235,2020-06-21 07:48:14.416013,2020-06-21 11:39:47.665764,0 days 03:51:33.249751000,64,100000,0.5,0.99,1000,0.19033078894589706,small,,1,COMPLETE
11,0.480601966381073,2020-06-21 07:48:14.418497,2020-06-21 10:54:18.538039,0 days 03:06:04.119542000,64,1000000,auto,0.95,20000,0.09781834069642055,big,-100,100,PRUNED
12,1.4061213731765747,2020-06-21 07:48:14.420663,2020-06-21 10:35:35.922658,0 days 02:47:21.501995000,64,100000,0.1,0.9999,10000,1.8978091723397534e-05,medium,,1,PRUNED
13,2.384448289871216,2020-06-21 07:48:14.423190,2020-06-21 10:14:44.639743,0 days 02:26:30.216553000,16,10000,0.05,0.995,1000,0.8867270095646336,small,,300,COMPLETE
14,0.7444909811019897,2020-06-21 07:48:14.425169,2020-06-21 10:13:14.096146,0 days 02:24:59.670977000,16,100000,0.5,0.99,1000,0.00021616704811711863,big,,1,COMPLETE
15,0.1081649512052536,2020-06-21 07:48:14.427300,2020-06-21 10:32:56.726124,0 days 02:44:42.298824000,32,100000,0.0001,0.95,0,0.0014704926021044404,medium,,1,COMPLETE
16,0.4988061487674713,2020-06-21 07:48:14.429876,2020-06-21 13:28:00.256206,0 days 05:39:45.826330000,128,1000000,0.05,0.99,0,0.00019733499543266007,big,,1,COMPLETE
17,0.9889747500419617,2020-06-21 07:48:14.432497,2020-06-21 10:37:14.293104,0 days 02:48:59.860607000,64,10000,0.5,0.99,0,0.01846834123584171,medium,,10,PRUNED
18,0.38603898882865906,2020-06-21 07:48:14.434488,2020-06-21 10:42:54.486218,0 days 02:54:40.051730000,32,10000,0.05,0.95,0,1.4942705360476362e-05,medium,,300,COMPLETE
19,0.46360987424850464,2020-06-21 07:48:14.436488,2020-06-21 10:11:01.237428,0 days 02:22:46.800940000,16,100000,0.0001,0.9999,10000,0.03676916143359568,small,,10,COMPLETE
20,0.3850402235984802,2020-06-21 07:48:14.438282,2020-06-21 10:52:29.276102,0 days 03:04:14.837820000,128,100000,auto,0.95,20000,0.07360686006086294,medium,-50,300,PRUNED
21,0.7280582189559937,2020-06-21 07:48:14.440788,2020-06-22 02:13:47.861846,0 days 18:25:33.421058000,512,10000,0.1,0.98,1000,4.860566239687498e-05,big,,1,COMPLETE
22,0.36403709650039673,2020-06-21 07:48:14.466301,2020-06-21 10:21:58.530626,0 days 02:33:44.064325000,16,1000000,0.01,0.95,0,7.921919374644082e-05,small,,10,COMPLETE
23,0.8453253507614136,2020-06-21 07:48:14.468680,2020-06-21 10:35:54.279431,0 days 02:47:39.810751000,32,100000,auto,0.95,0,0.010341733770771322,small,auto,1,PRUNED
24,0.47429078817367554,2020-06-21 07:48:14.472297,2020-06-21 11:02:01.317350,0 days 03:13:46.845053000,64,10000,0.0001,0.99,20000,0.0029434592863229014,big,,1,COMPLETE
25,1.212056279182434,2020-06-21 07:48:14.474704,2020-06-21 10:34:55.372002,0 days 02:46:40.897298000,32,1000000,0.0001,0.999,0,0.0007333985713123716,big,,100,PRUNED
26,3.980900526046753,2020-06-21 07:48:14.477069,2020-06-21 13:10:04.114859,0 days 05:21:49.637790000,512,10000,0.1,0.9,0,0.11168642877016201,big,,100,PRUNED
27,0.4410780370235443,2020-06-21 07:48:14.559132,2020-06-21 22:43:04.557784,0 days 14:54:49.998652000,512,10000,0.05,0.9999,20000,0.01451006856003854,small,,10,COMPLETE
28,3.334224224090576,2020-06-21 07:48:14.611200,2020-06-21 10:39:35.422897,0 days 02:51:20.811697000,32,100000,0.05,0.98,0,0.00015738914411701817,big,,300,PRUNED
29,0.5959278345108032,2020-06-21 07:48:14.621785,2020-06-22 02:32:12.478678,0 days 18:43:57.856893000,512,1000000,0.5,0.95,0,8.632477567526731e-05,big,,1,COMPLETE
30,0.8453253507614136,2020-06-21 07:48:14.630455,2020-06-21 10:36:05.301381,0 days 02:47:50.670926000,128,1000000,auto,0.999,20000,0.10860894341298265,small,auto,300,PRUNED
31,0.33797329664230347,2020-06-21 07:48:14.644267,2020-06-21 09:49:30.034202,0 days 02:01:15.389935000,16,100000,0.1,0.99,20000,1.2964888670502532e-05,big,,1,COMPLETE
32,4.500011920928955,2020-06-21 09:49:30.040572,2020-06-21 10:36:18.899617,0 days 00:46:48.859045000,16,10000,0.01,0.999,1000,0.2693979290176745,big,,100,PRUNED
33,0.3078576922416687,2020-06-21 09:50:21.132729,2020-06-21 13:08:16.029243,0 days 03:17:54.896514000,64,1000000,auto,0.999,10000,0.17998561140112232,big,-10,100,COMPLETE
34,0.9585561752319336,2020-06-21 10:01:32.527098,2020-06-21 10:53:14.012182,0 days 00:51:41.485084000,32,10000,0.0001,0.9999,1000,0.0009887464483820155,medium,,1,PRUNED
35,0.3595128059387207,2020-06-21 10:11:01.247503,2020-06-21 19:25:43.097155,0 days 09:14:41.849652000,256,1000000,0.01,0.95,20000,6.676238727962598e-05,small,,300,COMPLETE
36,0.21968629956245422,2020-06-21 10:13:14.115648,2020-06-22 07:03:02.547360,0 days 20:49:48.431712000,512,10000,0.0001,0.9,1000,0.002598122499738498,small,,100,COMPLETE
37,0.3748169243335724,2020-06-21 10:14:44.647853,2020-06-21 11:25:10.903770,0 days 01:10:26.255917000,16,100000,0.5,0.95,20000,3.267321355718826e-05,medium,,100,COMPLETE
38,0.6308262944221497,2020-06-21 10:18:41.530048,2020-06-21 11:59:18.746318,0 days 01:40:37.216270000,128,100000,auto,0.9999,10000,0.0016654837835425066,big,-100,10,PRUNED
39,0.7752083539962769,2020-06-21 10:21:58.537422,2020-06-21 12:09:40.086837,0 days 01:47:41.549415000,256,1000000,0.1,0.9999,20000,0.0002408117158116414,medium,,1,PRUNED
40,0.9462555646896362,2020-06-21 10:31:26.671093,2020-06-21 13:32:01.213583,0 days 03:00:34.542490000,128,1000000,0.01,0.999,1000,3.708570172743824e-05,small,,1,PRUNED
41,1.9133155345916748,2020-06-21 10:32:56.741482,2020-06-21 14:37:09.337020,0 days 04:04:12.595538000,256,100000,auto,0.98,0,0.01235313099207317,medium,-50,1,PRUNED
42,0.8828700184822083,2020-06-21 10:33:35.277918,2020-06-21 12:32:42.601129,0 days 01:59:07.323211000,32,100000,0.0001,0.9999,0,0.005075897490856497,medium,,1,COMPLETE
43,0.41766080260276794,2020-06-21 10:34:57.049908,2020-06-21 15:13:31.914140,0 days 04:38:34.864232000,128,100000,auto,0.95,0,0.006143014810510637,medium,-10,1,PRUNED
44,0.5949264764785767,2020-06-21 10:35:37.594215,2020-06-22 06:45:45.618711,0 days 20:10:08.024496000,512,100000,auto,0.98,0,0.004668563265855039,medium,-1,1,COMPLETE
45,0.38454893231391907,2020-06-21 10:35:56.244592,2020-06-21 16:04:11.147011,0 days 05:28:14.902419000,128,100000,0.0001,0.98,10000,0.0049475008327833645,medium,,1,COMPLETE
46,0.9191164970397949,2020-06-21 10:36:06.915640,2020-06-22 05:24:27.024404,0 days 18:48:20.108764000,512,10000,0.0001,0.98,10000,0.003980943120335553,medium,,1,COMPLETE
47,0.6493307948112488,2020-06-21 10:36:20.341591,2020-06-21 20:41:35.446907,0 days 10:05:15.105316000,256,100000,0.0001,0.98,10000,0.005361984277752286,medium,,1,COMPLETE
48,0.2956560254096985,2020-06-21 10:36:41.186864,2020-06-21 20:44:02.632625,0 days 10:07:21.445761000,256,100000,0.0001,0.98,10000,0.004741314069566453,medium,,1,COMPLETE
49,0.3352338969707489,2020-06-21 10:37:15.731357,2020-06-22 05:33:18.893293,0 days 18:56:03.161936000,512,100000,0.0001,0.98,10000,0.0033434334645460182,medium,,1,COMPLETE
50,1.0422359704971313,2020-06-21 10:38:25.191636,2020-06-22 05:41:51.759531,0 days 19:03:26.567895000,512,100000,0.0001,0.98,10000,0.0015441427705373326,medium,,1,COMPLETE
51,4.208396911621094,2020-06-21 10:39:37.064445,2020-06-22 05:17:35.600265,0 days 18:37:58.535820000,512,1000000,0.0001,0.9999,10000,0.0031686221118983303,medium,,1,COMPLETE
52,0.4151824116706848,2020-06-21 10:42:54.491897,2020-06-22 03:36:21.374090,0 days 16:53:26.882193000,512,100000,0.0001,0.9999,20000,0.0019658242645945244,medium,,1,COMPLETE
53,0.8992301225662231,2020-06-21 10:52:30.981161,2020-06-21 15:24:58.777912,0 days 04:32:27.796751000,256,100000,0.0001,0.9999,10000,0.0029905154119868184,medium,,1,PRUNED
54,0.7696728706359863,2020-06-21 10:53:15.651038,2020-06-21 13:47:18.404832,0 days 02:54:02.753794000,256,100000,0.0001,0.9999,10000,0.0033700449530823366,medium,,1,PRUNED
55,0.3701595067977905,2020-06-21 10:54:20.409015,2020-06-22 05:45:55.679746,0 days 18:51:35.270731000,512,100000,0.0001,0.98,10000,0.004144505643983763,medium,,1,COMPLETE
56,0.9028359651565552,2020-06-21 11:02:01.320815,2020-06-21 21:01:10.529715,0 days 09:59:09.208900000,256,100000,0.0001,0.98,10000,0.005194346945484254,medium,,1,COMPLETE
57,0.39993593096733093,2020-06-21 11:25:10.921144,2020-06-22 06:24:49.113932,0 days 18:59:38.192788000,512,100000,0.0001,0.98,10000,0.00310325322015034,medium,,1,COMPLETE
58,0.5042445659637451,2020-06-21 11:39:47.671491,2020-06-21 14:29:36.008410,0 days 02:49:48.336919000,256,100000,0.0001,0.98,10000,0.0037176376680122594,small,,1,PRUNED
59,0.238823801279068,2020-06-21 11:59:20.255611,2020-06-21 22:04:45.670754,0 days 10:05:25.415143000,256,100000,0.0001,0.98,10000,0.005870333670910626,small,,1,COMPLETE
60,0.739307701587677,2020-06-21 12:09:41.922136,2020-06-22 06:22:37.599469,0 days 18:12:55.677333000,512,100000,0.0001,0.9999,10000,0.00600746266612456,small,,1,COMPLETE
61,0.1489722579717636,2020-06-21 12:32:42.613368,2020-06-22 06:57:47.851813,0 days 18:25:05.238445000,512,100000,0.0001,0.98,10000,0.0061035225362838065,small,,1,COMPLETE
62,0.5411098599433899,2020-06-21 13:08:16.038622,2020-06-22 07:38:09.577990,0 days 18:29:53.539368000,512,1000000,0.0001,0.999,10000,0.9696862332925823,small,,1,COMPLETE
63,0.9396732449531555,2020-06-21 13:10:05.793908,2020-06-21 13:58:53.966556,0 days 00:48:48.172648000,64,1000000,0.0001,0.999,10000,0.8733861102370652,small,,1,PRUNED
64,0.42525187134742737,2020-06-21 13:28:00.273410,2020-06-21 16:19:35.317266,0 days 02:51:35.043856000,64,1000000,0.0001,0.98,10000,0.00449511829692986,small,,1,COMPLETE
65,4.061398506164551,2020-06-21 13:32:03.177986,2020-06-21 14:21:27.383765,0 days 00:49:24.205779000,64,1000000,0.0001,0.98,10000,0.4895962459170589,medium,,1,PRUNED
66,4.9102463722229,2020-06-21 13:45:54.072532,2020-06-21 14:36:02.290300,0 days 00:50:08.217768000,64,100000,0.5,0.98,10000,0.737053551349552,medium,,1,PRUNED
67,2.384448289871216,2020-06-21 13:47:20.215938,2020-06-21 14:38:14.959637,0 days 00:50:54.743699000,64,1000000,0.5,0.98,10000,0.5726009089836106,small,,1,PRUNED
68,0.5314540266990662,2020-06-21 13:58:55.818034,2020-06-21 19:09:45.628461,0 days 05:10:49.810427000,512,1000000,0.5,0.98,10000,0.3004653161192761,medium,,1,PRUNED
69,0.6610519289970398,2020-06-21 14:21:29.226625,2020-06-21 15:09:49.290241,0 days 00:48:20.063616000,64,100000,0.5,0.995,10000,0.008313299394695085,medium,,100,PRUNED
