#{"t_start": 1592876781.1690996, "env_id": "widowx_reacher-v5"}
r,l,t
-0.466096,100,10.150052
-0.566206,100,10.450022
-0.713029,100,10.816678
-0.441599,100,11.160768
-0.370236,100,11.500237
-0.670687,100,11.841986
-0.507575,100,12.076005
-0.434221,100,12.399252
-0.431177,100,12.770166
-0.465735,100,13.118211
-0.342601,100,13.449757
-0.379274,100,13.770609
-0.412241,100,14.141057
-0.416933,100,14.447402
-0.30494,100,14.684458
-0.461071,100,15.016173
-0.433735,100,15.310358
-0.395422,100,15.547503
-0.312386,100,15.892243
-0.415183,100,16.218098
-0.491084,100,16.539365
-0.570114,100,16.883415
-0.449493,100,17.259463
-0.382568,100,17.599833
-0.56292,100,17.924914
-0.366253,100,18.284563
-0.462216,100,18.678067
-0.448325,100,18.973616
-0.493941,100,19.237299
-0.321499,100,19.623507
-0.442773,100,19.911066
-0.290339,100,20.193513
-0.384627,100,20.462916
-0.759031,100,20.738743
-0.454233,100,21.077704
-0.667785,100,21.406793
-0.484458,100,21.722472
-0.34836,100,22.099375
-0.490093,100,22.480217
-0.520552,100,22.758563
-0.419376,100,22.992426
-0.392892,100,23.291127
-0.417239,100,23.692362
-0.408601,100,23.94184
-0.555352,100,24.219789
-0.389335,100,24.555557
-0.447323,100,24.833289
-0.333213,100,25.272081
-0.438388,100,25.649456
-0.538426,100,25.974902
-0.403897,100,27.927852
-0.532554,100,28.197402
-0.359165,100,28.436101
-0.523329,100,28.704246
-0.393391,100,28.951232
-0.486919,100,29.16432
-0.358058,100,29.450963
-0.427362,100,29.693457
-0.405475,100,29.948253
-0.465168,100,30.207427
-0.5548,100,30.467715
-0.504165,100,30.687988
-0.663806,100,30.925047
-0.654679,100,31.166531
-0.375075,100,31.420651
-0.387042,100,31.770248
-0.760669,100,32.013599
-0.388932,100,32.349479
-0.506327,100,32.642613
-0.444131,100,32.875196
-0.421229,100,33.106618
-0.529821,100,33.342846
-0.380165,100,33.597116
-0.645643,100,33.877069
-0.506685,100,34.174882
-0.303557,100,34.569404
-0.59286,100,34.802942
-0.36538,100,35.053989
-1.192201,100,35.300557
-0.387339,100,35.657621
-0.378106,100,35.987216
-0.510901,100,36.279094
-0.52593,100,36.613408
-0.52711,100,36.931881
-0.45748,100,37.208419
-0.416895,100,37.453006
-0.510868,100,37.667804
-0.373215,100,38.019152
-0.357162,100,38.447455
-0.957283,100,38.84719
-0.503212,100,39.205348
-0.599948,100,39.50083
-0.522166,100,39.75814
-0.345529,100,40.009776
-0.460725,100,40.317231
-0.461041,100,40.652618
-0.590387,100,41.060642
-0.442514,100,41.457492
-0.37962,100,41.847379
-0.435314,100,42.209608
-0.558448,100,59.978985
-0.338077,100,75.849869
-0.182617,100,91.573357
-0.340808,100,107.826401
-0.187759,100,122.892626
-0.196573,100,137.869847
-0.294078,100,152.914059
-0.610173,100,167.280782
-0.236753,100,182.331352
-0.254081,100,197.38169
-0.2233,100,212.178375
-0.23673,100,228.751987
-0.223065,100,243.612221
-0.322713,100,258.560757
-0.376472,100,273.232115
-0.209688,100,288.069423
-0.674002,100,303.807278
-0.563924,100,318.090694
-1.090528,100,333.182014
-0.502703,100,348.170947
-0.477448,100,363.094887
-0.596246,100,377.941077
-0.523236,100,392.756181
-0.758243,100,407.2881
-0.680802,100,424.222533
-0.452537,100,440.810195
-0.434691,100,456.175622
-1.133204,100,472.421207
-0.641697,100,487.228067
-0.584463,100,502.463215
-0.607234,100,517.243363
-0.333891,100,532.205673
-0.76799,100,547.850401
-0.615069,100,564.600318
-0.409181,100,582.472234
-0.41244,100,598.41292
-0.408967,100,614.188832
-0.460259,100,629.390197
-0.387283,100,644.385583
-0.566456,100,659.512241
-0.376672,100,674.741745
-0.395822,100,689.725014
-0.561646,100,705.747396
-0.422688,100,720.808709
-0.570128,100,736.098792
-1.090047,100,752.090754
-0.329311,100,767.608059
-0.560995,100,782.935454
-0.51859,100,797.762364
-0.523787,100,812.916656
-0.267079,100,830.393375
-0.311181,100,846.021817
-0.521031,100,860.618339
-0.259991,100,875.672306
-0.26958,100,891.99072
-0.360178,100,907.332209
-0.232141,100,923.588254
-0.780793,100,939.097511
-0.356029,100,953.956825
-0.732766,100,968.972541
-0.207401,100,984.334011
-0.26283,100,999.653805
-0.306556,100,1014.570274
-0.943886,100,1029.652989
-0.292748,100,1045.268494
-0.336747,100,1061.218991
-1.688151,100,1076.888698
-0.566527,100,1091.630189
-0.459292,100,1107.434521
-0.65787,100,1122.628272
-1.168568,100,1138.583996
-0.960355,100,1153.694335
-0.663156,100,1169.714586
-1.927991,100,1185.149855
-1.735979,100,1200.177704
-2.071672,100,1215.190155
-1.417514,100,1230.135486
-1.823212,100,1246.171565
-2.555739,100,1261.031415
-2.654107,100,1276.189171
-1.168961,100,1290.926618
-2.396624,100,1306.258934
-1.940165,100,1321.473239
-3.140083,100,1336.670208
-2.129884,100,1352.623116
-1.516768,100,1367.170502
-2.345551,100,1382.19618
-0.962893,100,1397.165286
-2.522053,100,1411.738908
-1.215139,100,1428.797585
-1.133753,100,1444.107011
-0.900927,100,1459.633862
-1.47607,100,1474.725521
-1.826183,100,1489.697297
-2.065309,100,1504.247714
-2.575464,100,1519.41049
-0.98697,100,1534.363536
-2.578421,100,1549.329105
-1.093987,100,1564.206645
-1.566271,100,1579.721992
-1.232413,100,1596.509838
-1.200426,100,1611.691426
-1.525318,100,1626.466737
-1.71846,100,1641.720772
-1.589912,100,1657.837343
-1.840511,100,1673.434469
-1.20784,100,1688.481059
-2.173979,100,1704.717864
-1.206626,100,1719.705923
-1.111394,100,1734.882769
-0.652616,100,1750.081483
-0.680177,100,1765.33625
-1.217927,100,1781.941393
-0.521602,100,1796.310357
-0.742169,100,1810.653587
-0.298746,100,1825.078687
-0.463502,100,1841.255932
-0.416241,100,1857.193451
-0.505414,100,1871.565451
-0.575804,100,1886.542984
-0.606623,100,1901.358622
-0.477387,100,1916.143035
-0.929087,100,1930.813263
-0.494292,100,1945.685322
-0.552332,100,1959.840156
-0.552046,100,1976.652262
-0.58867,100,1992.346718
-0.644852,100,2007.505715
-0.490769,100,2022.939336
-0.418225,100,2037.468473
-0.601822,100,2051.824704
-0.618749,100,2065.687011
-0.50002,100,2080.395205
-0.693363,100,2094.560923
-0.321571,100,2110.506554
-0.525218,100,2124.789421
-0.398377,100,2139.245593
-0.430747,100,2154.714061
-0.334525,100,2169.529162
-0.333871,100,2184.126341
-0.365284,100,2199.514684
-0.389166,100,2214.42342
-0.401369,100,2229.2596
-0.4691,100,2243.797627
-0.398273,100,2259.392853
-0.33052,100,2273.911995
-0.365775,100,2287.807953
-0.2778,100,2302.593445
-0.310206,100,2317.46185
-0.383016,100,2332.601434
-0.314377,100,2348.757399
-0.341601,100,2363.31743
-0.262075,100,2377.95784
-0.358334,100,2392.284726
-0.34015,100,2406.568725
-0.321587,100,2421.167171
-0.333798,100,2435.561831
-0.286243,100,2450.387858
-0.29198,100,2465.507347
-0.338082,100,2480.224407
-0.323756,100,2494.55764
