number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
0,8.428422927856445,2020-06-27 14:30:25.962396,2020-06-27 17:24:13.377008,0 days 02:53:47.414612000,32,1000000,0.9999,0.06299187350651982,2,0.6095304929977196,normal,0.1754551202569843,1,COMPLETE
1,1.6414072513580322,2020-06-27 14:30:25.962839,2020-06-28 03:14:18.640797,0 days 12:43:52.677958000,256,1000000,0.995,0.031707569310706805,1,0.4820703574231834,normal,0.48865410730095626,1,COMPLETE
2,1.641275405883789,2020-06-27 14:30:25.963151,2020-06-27 19:07:05.143093,0 days 04:36:39.179942000,64,10000,0.999,3.2510125717598704e-05,4,0.7395862974756885,ornstein-uhlenbeck,0.5136860435881286,2000,COMPLETE
3,3.4476304054260254,2020-06-27 14:30:25.963424,2020-06-28 04:20:09.758818,0 days 13:49:43.795394000,256,1000000,0.95,0.0011329533728258248,8,0.09244908326104684,ornstein-uhlenbeck,0.034148019073707236,1000,COMPLETE
4,8.428411483764648,2020-06-27 14:30:25.963709,2020-06-27 21:23:36.342303,0 days 06:53:10.378594000,100,100000,0.999,0.004152496500056225,8,0.7030352361069573,normal,0.4804203438079563,10,COMPLETE
5,1.6411449909210205,2020-06-27 14:30:25.964908,2020-06-27 17:36:37.750662,0 days 03:06:11.785754000,32,1000000,0.9999,5.130091403146033e-05,4,0.6884316673580115,ornstein-uhlenbeck,0.9179670027930694,10,COMPLETE
6,8.428422927856445,2020-06-27 14:30:25.965191,2020-06-27 17:12:48.897651,0 days 02:42:22.932460000,32,100000,0.995,0.09643656042993784,1,0.46841928836230684,normal,0.30121810737577404,10,COMPLETE
7,7.854564666748047,2020-06-27 14:30:25.965462,2020-06-28 13:20:01.426578,0 days 22:49:35.461116000,512,1000000,0.999,0.0001191728943461185,4,0.9976503612875093,normal,0.3455692544005684,100,COMPLETE
8,8.428422927856445,2020-06-27 14:30:25.965720,2020-06-27 17:38:56.926129,0 days 03:08:30.960409000,100,100000,0.95,0.01853932253842054,2,0.2834168230827129,ornstein-uhlenbeck,0.531266162976831,2000,PRUNED
9,8.428422927856445,2020-06-27 14:30:25.965968,2020-06-27 17:35:29.472573,0 days 03:05:03.506605000,100,1000000,0.99,0.137639769870851,1,0.24626917813493543,ornstein-uhlenbeck,0.46285045751857623,1,PRUNED
10,1.6414072513580322,2020-06-27 14:30:25.966230,2020-06-27 20:58:05.738189,0 days 06:27:39.771959000,100,10000,0.999,0.0015313452220858965,6,0.8828154743384977,normal,0.9383917748929902,2000,COMPLETE
11,8.428422927856445,2020-06-27 14:30:25.966517,2020-06-27 17:31:37.125627,0 days 03:01:11.159110000,32,10000,0.999,0.03225949251896458,8,0.7932758739713487,ornstein-uhlenbeck,0.052561185792044274,10,PRUNED
12,8.279950141906738,2020-06-27 14:30:25.966766,2020-06-27 17:43:56.914878,0 days 03:13:30.948112000,128,100000,0.999,1.3788298627147715e-05,4,0.3132319139885823,ornstein-uhlenbeck,0.47820500139736233,100,PRUNED
13,8.428422927856445,2020-06-27 14:30:25.967022,2020-06-27 17:20:11.471873,0 days 02:49:45.504851000,32,1000000,0.98,0.2569547673072696,2,0.15674978176347576,normal,0.7233211250302379,1,COMPLETE
14,2.4071412086486816,2020-06-27 14:30:25.967282,2020-06-28 03:54:26.616002,0 days 13:24:00.648720000,256,100000,0.99,0.0003655402316468839,6,0.747807174621498,normal,0.2868275957900055,2000,COMPLETE
15,1.6413856744766235,2020-06-27 14:30:25.967577,2020-06-27 18:43:15.141234,0 days 04:12:49.173657000,64,1000000,0.9,0.00334017374985409,1,0.22735945976190808,ornstein-uhlenbeck,0.9997231115717791,2000,COMPLETE
16,1.6414072513580322,2020-06-27 14:30:25.967850,2020-06-27 17:07:51.675061,0 days 02:37:25.707211000,16,100000,0.98,0.8857810927088174,6,0.46145263299864325,normal,0.23787524028519913,10,COMPLETE
17,0.2664170265197754,2020-06-27 14:30:25.968106,2020-06-27 21:54:07.944248,0 days 07:23:41.976142000,128,10000,0.9999,2.465617656214891e-05,4,0.9088912514650789,normal,0.5533817222350345,1,COMPLETE
18,1.6414072513580322,2020-06-27 14:30:25.968391,2020-06-27 20:36:49.618680,0 days 06:06:23.650289000,100,100000,0.95,0.11841159754701464,2,0.8801734815571629,ornstein-uhlenbeck,0.028961513620635815,1,COMPLETE
19,1.6369311809539795,2020-06-27 14:30:25.968651,2020-06-27 19:35:21.341805,0 days 05:04:55.373154000,64,10000,0.999,2.322976923716219e-05,8,0.3415355077979443,normal,0.5989411483317958,10,COMPLETE
20,1.6414072513580322,2020-06-27 14:30:25.968945,2020-06-27 21:43:06.115614,0 days 07:12:40.146669000,128,10000,0.98,0.017092929382852066,2,0.15861032825477261,ornstein-uhlenbeck,0.5333776026773561,2000,COMPLETE
21,3.0007197856903076,2020-06-27 14:30:25.969229,2020-06-27 21:28:17.756930,0 days 06:57:51.787701000,128,10000,0.9999,0.0009982190478938463,1,0.8542630890869426,ornstein-uhlenbeck,0.9764150960711532,1,COMPLETE
22,1.055300235748291,2020-06-27 14:30:25.969546,2020-06-28 14:25:35.097091,0 days 23:55:09.127545000,512,1000000,0.99,8.254420348675142e-05,8,0.9569308191015726,ornstein-uhlenbeck,0.28883725763839196,1000,COMPLETE
23,1.714159369468689,2020-06-27 14:30:25.969815,2020-06-27 16:48:28.989904,0 days 02:18:03.020089000,16,1000000,0.9,1.201679505730335e-05,4,0.24060368705872448,normal,0.08551941674260988,10,COMPLETE
24,1.6384086608886719,2020-06-27 14:30:25.970184,2020-06-27 20:59:08.366762,0 days 06:28:42.396578000,100,10000,0.95,1.94404416491949e-05,6,0.8028577452604787,ornstein-uhlenbeck,0.06831471803003886,10,COMPLETE
25,1.6414072513580322,2020-06-27 14:30:25.970502,2020-06-27 17:20:21.071374,0 days 02:49:55.100872000,32,1000000,0.9,0.2886573049200034,2,0.26813152400859086,ornstein-uhlenbeck,0.7682298614769737,1000,COMPLETE
