number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0.8779336214065552,2020-06-22 23:57:52.638061,2020-06-22 23:58:33.458712,0 days 00:00:40.820651000,5.767989936188226e-06,0.95,0.6361100701718335,constant,32,0.21992631903626592,COMPLETE
1,1.7134301662445068,2020-06-22 23:58:33.459637,2020-06-22 23:59:11.921184,0 days 00:00:38.461547000,6.066022335858976e-07,0.95,0.10400334976608581,constant,128,0.5761143609680798,COMPLETE
2,1.454171061515808,2020-06-22 23:59:11.922122,2020-06-22 23:59:48.415527,0 days 00:00:36.493405000,0.0008431158732666831,0.9,0.004996892513461565,constant,128,0.830341145405121,COMPLETE
3,1.9781043529510498,2020-06-22 23:59:48.416480,2020-06-23 00:00:25.318695,0 days 00:00:36.902215000,5.412541800151543e-06,0.9,0.002175659507978225,constant,16,0.6368260365370676,COMPLETE
4,1.6381919384002686,2020-06-23 00:00:25.319636,2020-06-23 00:01:02.929453,0 days 00:00:37.609817000,0.018770531062227716,0.9,0.003340050355659866,linear,1024,0.20808872313576499,COMPLETE
5,2.075455904006958,2020-06-23 00:01:02.930431,2020-06-23 00:01:39.341734,0 days 00:00:36.411303000,2.0660933616435974e-08,0.9999,0.00026164356281689784,linear,128,0.7363945908175984,COMPLETE
6,1.5669816732406616,2020-06-23 00:01:39.342675,2020-06-23 00:02:13.682504,0 days 00:00:34.339829000,0.00647523961700381,0.999,0.07017782102201953,constant,1024,0.3828925082754644,COMPLETE
7,1.356285810470581,2020-06-23 00:02:13.683441,2020-06-23 00:02:50.682209,0 days 00:00:36.998768000,0.002265213859403541,0.99,0.005312390712906294,constant,64,0.30679663539091206,COMPLETE
8,1.685302734375,2020-06-23 00:02:50.683137,2020-06-23 00:03:28.429604,0 days 00:00:37.746467000,3.9823257357494826e-08,0.9,0.001762647845395378,constant,512,0.8606644158469621,COMPLETE
9,1.4068818092346191,2020-06-23 00:03:28.430611,2020-06-23 00:04:06.238971,0 days 00:00:37.808360000,4.8890627147554504e-08,0.95,0.13580386346825338,constant,2048,0.01963966037695619,COMPLETE
10,0.9441871643066406,2020-06-23 00:04:06.239924,2020-06-23 00:04:38.609051,0 days 00:00:32.369127000,7.495802809598791e-05,0.995,1.1504025793612865e-05,linear,32,0.007029415572626874,PRUNED
11,1.2708077430725098,2020-06-23 00:04:38.697958,2020-06-23 00:05:06.404599,0 days 00:00:27.706641000,7.776180511925088e-05,0.99,0.7529674503474014,constant,64,0.32234397956120786,PRUNED
12,0.9438009262084961,2020-06-23 00:05:06.494135,2020-06-23 00:05:40.335859,0 days 00:00:33.841724000,5.1226874548287935e-06,0.98,3.156542723946314e-05,constant,64,0.17376401705968364,PRUNED
13,4.110772132873535,2020-06-23 00:05:40.456453,2020-06-23 00:06:10.035752,0 days 00:00:29.579299000,0.0019808567884677065,0.99,0.025061824306255958,constant,32,0.42584554191977836,PRUNED
14,2.2183265686035156,2020-06-23 00:06:10.125567,2020-06-23 00:06:29.609594,0 days 00:00:19.484027000,0.00037018952114469217,0.99,0.8635536685618175,constant,256,0.16082754900239724,PRUNED
15,1.1455384492874146,2020-06-23 00:06:29.698893,2020-06-23 00:07:00.526053,0 days 00:00:30.827160000,1.4343309756465176e-06,0.95,0.00016846711344587208,constant,64,0.3125043660902338,PRUNED
16,4.9073805809021,2020-06-23 00:07:00.615912,2020-06-23 00:07:31.360636,0 days 00:00:30.744724000,0.04791271424773533,0.95,0.013021029689697882,constant,32,0.09219173920420964,PRUNED
17,1.4382989406585693,2020-06-23 00:07:31.482160,2020-06-23 00:08:02.573959,0 days 00:00:31.091799000,2.310719609836516e-05,0.999,0.00047755439648975643,linear,8,0.2658875710221361,PRUNED
18,4.220379829406738,2020-06-23 00:08:02.665620,2020-06-23 00:08:24.316446,0 days 00:00:21.650826000,4.001565916684877e-07,0.99,0.3252429098463966,constant,32,0.508008793635348,PRUNED
19,0.9830074310302734,2020-06-23 00:08:24.406264,2020-06-23 00:08:57.661054,0 days 00:00:33.254790000,0.00028121655497669794,0.98,6.566560361833377e-05,constant,512,0.43475744943245975,PRUNED
