number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
0,1.0442602634429932,2020-06-28 23:28:59.618867,2020-06-29 00:32:03.982707,0 days 01:03:04.363840000,256,1000000,auto,0.95,20000,0.5337417140875109,6,big,0.07732409615147551,auto,100,COMPLETE
1,0.8312775492668152,2020-06-29 00:32:03.984093,2020-06-29 00:53:25.792816,0 days 00:21:21.808723000,32,100000,auto,0.995,20000,4.3847879052649935e-05,1,medium,0.30665756120624366,-1,1,COMPLETE
2,3.3722128868103027,2020-06-29 00:53:25.794134,2020-06-29 01:16:20.945700,0 days 00:22:55.151566000,16,1000000,0.0001,0.999,1000,0.04164502471858184,6,big,0.7315363627998728,,300,COMPLETE
3,1.1154218912124634,2020-06-29 01:16:20.946955,2020-06-29 01:37:56.014042,0 days 00:21:35.067087000,32,10000,0.0001,0.995,1000,0.007192884044955923,4,big,0.3280236956484641,,100,COMPLETE
4,1.488250970840454,2020-06-29 01:37:56.015231,2020-06-29 01:50:31.273192,0 days 00:12:35.257961000,16,100000,0.1,0.95,0,1.4807893709024365e-05,2,medium,0.10917797496805959,,100,COMPLETE
5,1.5235300064086914,2020-06-29 01:50:31.274438,2020-06-29 02:41:11.659148,0 days 00:50:40.384710000,256,100000,0.01,0.9999,0,0.014552416900662552,1,medium,0.683294151018779,,1,COMPLETE
6,2.9748897552490234,2020-06-29 02:41:11.660375,2020-06-29 03:45:31.118434,0 days 01:04:19.458059000,256,10000,auto,0.9,0,0.00011317706981602306,2,big,0.5279764965279974,-10,300,COMPLETE
7,2.8521273136138916,2020-06-29 03:45:31.119623,2020-06-29 04:08:25.981790,0 days 00:22:54.862167000,64,100000,0.01,0.999,10000,0.0001431607986418203,8,big,0.23814275804335516,,1,COMPLETE
8,2.5666065216064453,2020-06-29 04:08:25.983039,2020-06-29 04:18:55.653526,0 days 00:10:29.670487000,128,100000,0.01,0.9999,1000,0.0007547564881376088,2,small,0.9696480289657625,,300,COMPLETE
9,2.2153477668762207,2020-06-29 04:18:55.654776,2020-06-29 04:49:14.688995,0 days 00:30:19.034219000,512,10000,0.5,0.95,10000,0.21951824192542888,8,small,0.6018122749699578,,1,COMPLETE
10,1.3701938390731812,2020-06-29 04:49:14.690175,2020-06-29 05:04:40.959347,0 days 00:15:26.269172000,32,100000,0.05,0.99,20000,2.5695416390578346e-05,1,medium,0.3434984888481025,,10,COMPLETE
11,1.0442602634429932,2020-06-29 05:04:40.960596,2020-06-29 05:20:46.136815,0 days 00:16:05.176219000,32,1000000,auto,0.995,20000,0.7372288812042652,6,medium,0.05562995377205609,-50,100,COMPLETE
12,2.8654797077178955,2020-06-29 05:20:46.138108,2020-06-29 05:57:33.311941,0 days 00:36:47.173833000,256,1000000,auto,0.98,20000,0.0016132856029157847,6,medium,0.021007663101014873,-10,10,COMPLETE
