#{"t_start": 1593570924.5221314, "env_id": "widowx_reacher-v8"}
r,l,t
-1.071904,100,1.078879
-1.456368,100,1.119547
-3.627377,100,1.160087
-0.850111,100,1.200557
-1.127191,100,1.241069
-0.27078,100,1.281551
-2.662901,100,1.322101
-1.290428,100,1.362565
-1.503571,100,1.403032
-2.350027,100,1.443529
-0.197943,100,1.484142
-2.215153,100,1.524648
-1.194732,100,1.565064
-1.448162,100,1.60587
-0.631852,100,1.646532
-0.584727,100,1.686999
-3.306025,100,1.812827
-0.698273,100,1.85349
-0.975367,100,1.894184
-0.799306,100,1.934851
-2.031777,100,1.975494
-0.436008,100,2.016211
-1.235488,100,2.056972
-1.663698,100,2.097591
-1.529865,100,2.138296
-4.978029,100,2.17908
-2.134914,100,2.219866
-3.771276,100,2.260622
-1.684393,100,2.30145
-1.195913,100,2.342206
-2.225922,100,2.383116
-0.231438,100,2.423874
-1.13764,100,2.464717
-1.093338,100,2.505427
-0.86818,100,2.546198
-0.442957,100,2.587188
-2.675881,100,2.627986
-2.364444,100,2.668788
-1.377381,100,2.709833
-1.544964,100,2.750641
-1.701767,100,2.791651
-1.047091,100,2.832471
-1.87056,100,2.873279
-0.951413,100,2.91397
-3.413173,100,2.95479
-3.528166,100,2.995813
-2.367836,100,3.036601
-2.138495,100,3.077374
-1.572666,100,3.118249
-1.26774,100,3.15914
-1.264604,100,3.505082
-2.110604,100,3.546046
-0.468205,100,3.587216
-0.919667,100,3.628205
-1.257999,100,3.669115
-2.46106,100,3.710263
-1.361361,100,3.751167
-0.809233,100,3.792093
-1.726766,100,3.833063
-0.972932,100,3.873956
-1.808877,100,3.914835
-2.490907,100,3.955654
-1.166442,100,3.996616
-2.327975,100,4.037489
-1.122923,100,4.07834
-1.102361,100,4.11934
-1.577107,100,4.160283
-3.216405,100,4.201183
-2.315495,100,4.242131
-0.802498,100,4.283139
-1.560147,100,4.324095
-1.314403,100,4.365082
-1.448144,100,4.406106
-0.827249,100,4.447094
-1.854018,100,4.488069
-2.164661,100,4.528917
-4.254679,100,4.569843
-2.160091,100,4.610985
-2.382011,100,4.651926
-0.597694,100,4.692993
