#{"t_start": 1592916067.9374444, "env_id": "widowx_reacher-v7"}
r,l,t
-3.486525,100,17.924126
-0.385005,100,18.130545
-1.600821,100,18.746091
-0.916007,100,18.986329
-2.54948,100,19.220733
-0.244062,100,19.573456
-1.002319,100,20.328134
-1.700919,100,20.700733
-0.201879,100,20.910684
-1.160058,100,21.116669
-0.810329,100,21.505515
-1.457683,100,21.735738
-2.754884,100,22.551781
-1.396948,100,22.751402
-0.194749,100,22.949771
-4.119577,100,23.31242
-1.512729,100,23.521922
-2.255972,100,23.8851
-1.150778,100,24.588646
-2.529956,100,24.825646
-3.46707,100,25.218425
-2.649851,100,25.457489
-1.242573,100,25.702997
-3.027155,100,26.085632
-0.96519,100,26.299196
-3.924671,100,27.13929
-1.483017,100,27.356826
-0.107108,100,27.561697
-1.082078,100,27.928565
-0.814547,100,28.146578
-0.243003,100,28.506006
-0.296557,100,29.166628
-3.912315,100,29.389064
-2.167309,100,29.747603
-1.45659,100,29.952164
-0.155677,100,30.307152
-2.506835,100,30.519789
-2.641241,100,31.184657
-1.92115,100,31.548586
-1.946364,100,31.771051
-0.543375,100,32.142041
-2.463503,100,32.368535
-1.487477,100,32.592289
-0.403332,100,33.425374
-1.944248,100,33.651071
-0.538322,100,33.875265
-0.636763,100,34.24377
-2.286429,100,34.465416
-1.421291,100,34.813273
-0.824934,100,35.016432
-0.361766,100,35.680831
-1.767117,100,36.025914
-0.902843,100,36.224518
-2.161471,100,36.569827
-1.701547,100,36.770566
-2.179094,100,36.966737
-1.369836,100,37.751302
-0.527126,100,37.946787
-1.536914,100,38.289259
-1.579113,100,38.488074
-1.740792,100,38.695565
-0.743881,100,39.064679
-1.571919,100,39.747895
-0.751386,100,39.996786
-0.718801,100,40.366981
-0.391925,100,40.584311
-2.240194,100,40.936154
-0.570276,100,41.145221
-1.38227,100,41.80229
-1.290324,100,42.140373
-1.292072,100,42.344288
-1.579159,100,42.710163
-1.298646,100,42.924938
-1.620575,100,43.132824
-2.787925,100,43.491477
-1.617842,100,44.141356
-0.543735,100,44.497596
-2.2873,100,44.711701
-1.826552,100,44.932406
-3.467275,100,45.304947
-1.878738,100,45.531038
-1.556655,100,46.352552
-0.712522,100,46.567001
-1.153777,100,46.79673
-0.441102,100,47.17111
-0.211558,100,47.400591
-1.453598,100,47.622694
-1.372426,100,48.424241
-0.863978,100,48.653912
-1.669993,100,49.025937
-0.234429,100,49.239164
-1.823475,100,49.468017
-1.23683,100,49.829947
-0.571752,100,50.486999
-2.393326,100,50.83921
-1.753852,100,51.069774
-0.34433,100,51.29494
-0.33569,100,51.647741
-1.151906,100,51.864934
-0.272784,100,52.246063
-0.686972,100,52.919002
-2.952354,100,53.140131
-2.812448,100,53.514982
-1.152784,100,53.742392
-2.445237,100,54.092582
-1.463022,100,54.307693
-1.767959,100,54.995005
-2.03467,100,55.364007
-1.722297,100,55.582783
-2.128705,100,55.817565
-1.680362,100,56.194594
-0.944185,100,56.404561
-1.692341,100,57.206676
-0.803206,100,57.449878
-2.077445,100,57.684387
-0.481894,100,58.050974
-0.756056,100,58.281826
-0.545156,100,58.66542
-1.388464,100,59.338135
-1.810666,100,59.557875
-0.81523,100,59.915262
-1.762266,100,60.120905
